"Country","Total","Diarrhoea","HIV","Infections","Injury","Malaria","Measles","Meningitis","NCD","Pertussis","Pneumonia"
"Malawi",39154,5927,7693,5411,1299,9376,0,1590,1262,353,6243
"Malaysia",1771,35,131,282,297,6,9,13,891,9,98
"Maldives",72,13,0,16,7,0,0,4,14,0,18
"Mali",71942,18548,1116,9827,2314,20918,9,1062,2401,2114,13633
"Malta",19,0,0,4,4,0,0,1,8,0,2
"Mauritania",7512,1836,67,1172,294,1645,0,274,285,148,1791
"Mauritius",125,5,2,30,11,0,0,4,54,0,19
"Mexico",21635,1950,79,3607,3120,0,0,129,8848,6,3896
"Micronesia, Fed. Sts.",68,5,0,12,4,0,0,5,14,0,28
"Moldova",446,17,0,16,107,0,0,13,173,0,120
"Mongolia",1352,92,2,377,97,0,0,74,217,1,492
"Montenegro",25,0,0,5,4,0,0,0,13,0,3
"Morocco",8505,2762,22,1815,593,0,3,319,582,201,2208
"Mozambique",72857,12373,15504,9442,1916,13789,0,2590,1941,1229,14073
"Myanmar",74443,14497,663,9778,27599,2168,409,1971,2099,948,14311
"Namibia",1391,148,441,115,34,124,158,50,31,60,230
"Nepal",14244,5072,279,2113,770,8,74,785,552,764,3827
"Netherlands",328,0,0,54,47,0,0,13,202,0,12
"New Zealand",116,1,0,20,28,0,0,7,49,1,10
"Nicaragua",2083,343,25,466,169,0,0,103,383,22,572
"Niger",94065,24159,577,14385,1989,21714,106,2835,2359,3429,22512
"Nigeria",778459,192178,29457,97805,15138,217357,707,17637,14453,32353,161374
"Norway",110,6,0,27,18,0,0,4,55,0,0
"Oman",267,13,0,51,48,0,0,4,128,0,23
"Pakistan",180736,66821,425,26573,7441,539,275,6218,13043,7180,52221
"Panama",920,91,11,248,74,0,0,19,260,25,192
"Papua New Guinea",8665,650,362,1612,416,1018,286,658,818,63,2782
"Paraguay",1979,365,43,459,160,0,0,74,345,3,530
"Peru",7122,658,191,1726,798,17,0,461,1799,0,1472
"Philippines",39973,4852,32,9196,3091,40,216,2481,6443,77,13545
"Poland",1085,6,0,221,140,0,0,18,601,0,99
"Portugal",191,0,4,29,30,0,0,5,114,0,9
"Qatar",65,2,0,11,13,0,0,0,35,0,4
"Romania",1399,32,0,55,215,0,0,15,385,0,697
"Russia",7570,183,15,506,2025,0,0,279,3694,2,866
"Rwanda",27036,9044,281,5179,1666,2436,468,1155,1096,142,5569
"Saint Lucia",12,0,0,8,1,0,0,0,3,0,0
"Saint Vincent and the Grenadines",8,1,0,3,2,0,0,0,2,0,0
"Samoa",62,8,0,13,6,0,0,3,16,0,16
"Sao Tome and Principe",326,70,0,53,14,4,3,18,49,1,114
