"Country","Energy_Consumption_per_Person"
"Albania",0.65565127521023
"Algeria",1.08761925022252
"Angola",0.657618232301606
"Argentina",1.93017265469479
"Armenia",0.973201146963369
"Australia",5.77881731283578
"Austria",4.02380085897368
"Azerbaijan",1.5154813200356
"Bahrain",8.78470750000713
"Bangladesh",0.191053023028177
"Belarus",2.93119579254322
"Belgium",5.46958157597596
"Benin",0.392489450668862
"Bolivia",0.617864844560453
"Bosnia and Herzegovina",1.5775687013071
"Botswana",1.10067208165245
"Brazil",1.29654122948752
"Brunei",9.43350966349966
"Bulgaria",2.59611957664531
"Cambodia",0.254186246856969
"Cameroon",0.340917516055683
"Canada",7.94584649320339
"Chile",1.80463244137912
"China",1.57483130701956
"Colombia",0.648981524196158
"Congo, Dem. Rep.",0.355988687361025
"Congo, Rep.",0.328359146571771
"Costa Rica",1.01446090377
"Cote d'Ivoire",0.541320704205776
"Croatia",2.04319418132612
"Cuba",0.932904821687944
"Cyprus",2.40126239437104
"Czech Republic",4.30430676831599
"Denmark",3.4950989520391
"Dominican Republic",0.847459189640751
"Ecuador",0.784493844234154
"Egypt",0.917523723273246
"El Salvador",0.733985161905421
"Eritrea",0.13688552307307
"Estonia",4.05787234042553
"Ethiopia",0.395909373838486
"Finland",6.63882253149067
"France",4.11362153930258
"Gabon",1.37170880708262
"Georgia",0.685393389146155
"Germany",4.06895399234518
"Ghana",0.385049356572956
"Greece",2.7069802922357
"Guatemala",0.595795468008332
"Haiti",0.284842587537072
"Honduras",0.636409173431021
"Hong Kong, China",2.02624274474397
"Hungary",2.63577998339939
"Iceland",16.8684683095264
"India",0.525737714602009
"Indonesia",0.795563970713674
"Iran",2.81920322057108
"Iraq",0.942801998204537
"Ireland",3.37930506997451
"Israel",3.13097526269702
"Italy",2.94163598821965
"Jamaica",1.58665972015481
"Japan",3.87890711210076
"Jordan",1.22152652496976
"Kazakhstan",4.47904226611218
"Kenya",0.461009577376067
"North Korea",0.835761254851494
"South Korea",4.63638327647143
"Kosovo",1.20931358494388
"Kuwait",10.9350650675672
"Kyrgyz Republic",0.513276364525166
"Latvia",1.97895850745821
"Lebanon",1.30190752631143
"Libya",3.97938571814193
"Lithuania",2.80839548377587
"Luxembourg",8.6097963777755
"Macedonia, FYR",1.4668213380209
"Malaysia",2.65458089460231
"Malta",2.03077315208156
"Mexico",1.63692824866747
"Moldova",0.798450858755774
"Mongolia",1.18311481199067
"Montenegro",1.31137423810167
"Morocco",0.478550723684498
"Mozambique",0.420605250549638
"Myanmar",0.318153625007579
"Namibia",0.738270658991775
"Nepal",0.332069300093083
"Netherlands",4.8371668932826
"New Zealand",4.07914216777156
"Nicaragua",0.540914089187318
"Nigeria",0.738125378611314
"Norway",6.25002516666625
"Oman",6.02556956620172
"Pakistan",0.487399250194058
"Panama",0.914719768488769
"Paraguay",0.697873694151848
"Peru",0.528553397356276
"Philippines",0.44369547787396
"Poland",2.56761348672429
"Portugal",2.29987941534565
"Qatar",15.3104307837772
"Romania",1.83841897937967
"Russia",4.85017759070095
"Saudi Arabia",5.88824579266753
"Senegal",0.261036726264755
"Serbia",2.29464324950229
"Singapore",4.92368992023805
"Slovak Republic",3.38548847284795
"Slovenia",3.82902574362445
"South Africa",3.02759624111825
"Spain",3.05189880014179
"Sri Lanka",0.442296285304447
"Sudan",0.36427407931
"Sweden",5.3799591025113
"Switzerland",3.50133367330594
"Syria",1.17385156038036
"Tajikistan",0.369288802250525
"Tanzania",0.448657102366213
"Thailand",1.57695718909635
"Togo",0.443614905527021
"Trinidad and Tobago",14.5308255198942
"Tunisia",0.912673953663991
"Turkey",1.38884019495309
"Turkmenistan",4.4937471484606
"Ukraine",2.94314450194776
"United Arab Emirates",9.39784694511008
"United Kingdom",3.39436448025191
"United States",7.48793030309585
"Uruguay",1.24567553235522
"Uzbekistan",1.84971962479901
"Venezuela",2.51181449794165
"Vietnam",0.575456290537262
"Yemen",0.315670652168389
"Zambia",0.617251413049133
"Zimbabwe",0.744783277060522
