"Country","Total","Agriculture_Land","Child_per_Women","Energy_Consumption_per_Person","Energy_Production_per_Person","GDP_per_Person","Health_Spending_per_Person","Water_per_Person","Years_in_School"
"Albania",10.5263157894737,43.1021897810219,1.761,0.65565127521023,0.000362527216817,6365.53035936449,275.14252038,13145.63,10.1
"Algeria",18.0905858970411,17.344042590711,2.725,1.08761925022252,0.004706747653394,6162.71983982498,185.84823354,349.8231,4.6
"Angola",166.795058383764,46.274163792412,6.434,0.657618232301606,0.005864105117407,5488.45774780583,148.87881676,8938.79,5
"Argentina",6.30683697689669,51.5220942086974,2.241,1.93017265469479,0.002086386721477,13457.9487462775,698.45126835,20800.16,9.7
"Armenia",9.87135396764743,61.3412921348315,1.4,0.973201146963369,0.000258865371456,5346.9806575419,142.71827452,2581.4499,11.2
"Australia",2.2673022096843,54.3181078583237,1.956,5.77881731283578,0.013992916970522,34444.3330639544,4229.03306558,23964.43,11.8
"Austria",1.93778012127603,38.4596725288053,1.411,4.02380085897368,0.001345537165453,36700.3072450903,5153.35866142,9330.59,11.8
"Azerbaijan",18.4659948102106,57.5647542967804,1.986,1.5154813200356,0.006555938660047,8330.51262498759,233.86044575,4125.016,12
"Bahrain",6.36805953062393,9.21052631578947,2.229,8.78470750000713,0.016622412123619,31538.9359959238,793.46605183,156.9873,8.9
"Belarus",6.41711229946524,43.9477575160177,1.416,2.93119579254322,0.000416531156354,11533.7399896272,373.3470911,5953.52,11.7
"Belgium",2.48007532703366,45.3434610303831,1.819,5.46958157597596,0.001371882087879,33506.6017580775,4754.27522232,1754.5,12
"Benin",82.2726288499915,30.6906526848671,5.273,0.392489450668862,0.0002321532603,1447.6369264305,33,3013.0182,3.6
"Bolivia",29.1606097737322,33.9878150096926,3.477,0.617864844560453,0.001680905978147,3956.39668706737,85.35091165,66553.4797,8.3
"Bosnia and Herzegovina",6.60613468366218,41.7647058823529,1.218,1.5775687013071,0.001152223909719,7739.97652360728,505.60255386,9550.71,9.2
"Botswana",14.952241777326,45.6160782030244,2.86,1.10067208165245,0.000530446761905,13240.0610624653,535.99084407,6587.15,5.1
"Brazil",10.7937164357063,31.290561291436,1.897,1.29654122948752,0.001191397585079,9681.54835486593,714.98985619,43486.53,6.7
"Bulgaria",6.36942675159236,46.9662093729859,1.433,2.59611957664531,0.001349447171389,11426.8799052783,474.17284604,2768.91,11.8
"Cambodia",58.3697758095765,31.4695218672105,3.051,0.254186246856969,0.000261025965799,1797.20037839448,38.85543014,33536.877,5.3
"Cameroon",95.8742671666522,19.4897505870407,5.167,0.340917516055683,0.000495881874608,2020.09822964906,63.83446755,15708.65,6.5
"Canada",2.52616077370754,7.43387316888638,1.6808,7.94584649320339,0.012184057353176,35978.2095484015,4622.62643606,89081.63,14.1
"Chile",4.23136785036164,21.1652522426802,1.888,1.80463244137912,0.000539191798706,13653.2996248994,764.79717839,55996.14,10.1
"China",9.02064577429856,56.0219909343145,1.63,1.57483130701956,0.001497995339858,6481.59866430443,156.59905287,2129.9392,7.6
"Colombia",7.6834384176276,38.408292023434,2.43,0.648981524196158,0.002079636278734,7186.0910111867,376.99900347,46797.02,6.5
"Congo, Dem. Rep.",135.422798862811,9.90273703711872,6.454,0.355988687361025,0.000362710778845,359.658528305841,13.70413496,21156.29,7.5
"Congo, Rep.",89.840376187582,30.8931185944363,5.101,0.328359146571771,0.003452943548524,3668.40677919881,80.40646768,225517.09,8
"Costa Rica",3.72501193064319,35.2526439482961,1.909,1.01446090377,0.00059047319357,9831.54755185184,617.698283,25552.59,8.3
"Cote d'Ivoire",69.1246346295039,63.8364779874214,4.913,0.541320704205776,0.000601209079451,1509.22750818159,71.8341187,4289.836,4
"Croatia",2.08679155797961,23.0164403145104,1.432,2.04319418132612,0.000895155630324,14918.4507352992,1224.05169259,23156.17,10.9
"Cuba",3.11468155359635,61.3491168733559,1.498,0.932904821687944,0.000505826222907,9259.94522002074,584.63866145,3383.421,10.4
"Cyprus",2.11672210462655,12.4458874458874,1.493,2.40126239437104,7.6948860772e-05,25900.624193734,1917.63775016,922.416,12.2
"Denmark",1.7808724670699,62.880037709168,1.8923,3.4950989520391,0.004842909407361,34629.1011975181,6345.45678188,1104.96,12.8
