"Country","NCD","Agriculture_Land","Energy_Consumption_per_Person","Energy_Production_per_Person","GDP_per_Person","Health_Spending_per_Person","Water_per_Person","Years_in_School"
"Chile",2.34058729634303,21.1652522426802,1.80463244137912,0.000539191798706,13653.2996248994,764.79717839,55996.14,10.1
"China",2.0499362100527,56.0219909343145,1.57483130701956,0.001497995339858,6481.59866430443,156.59905287,2129.9392,7.6
"Colombia",1.99135735664459,38.408292023434,0.648981524196158,0.002079636278734,7186.0910111867,376.99900347,46797.02,6.5
"Congo, Dem. Rep.",3.57372408452339,9.90273703711872,0.355988687361025,0.000362710778845,359.658528305841,13.70413496,21156.29,7.5
"Congo, Rep.",2.15124276254758,30.8931185944363,0.328359146571771,0.003452943548524,3668.40677919881,80.40646768,225517.09,8
"Costa Rica",2.28007847711968,35.2526439482961,1.01446090377,0.00059047319357,9831.54755185184,617.698283,25552.59,8.3
"Cote d'Ivoire",1.30355881252857,63.8364779874214,0.541320704205776,0.000601209079451,1509.22750818159,71.8341187,4289.836,4
"Croatia",1.20939056201091,23.0164403145104,2.04319418132612,0.000895155630324,14918.4507352992,1224.05169259,23156.17,10.9
"Cuba",1.71903189570072,61.3491168733559,0.932904821687944,0.000505826222907,9259.94522002074,584.63866145,3383.421,10.4
"Cyprus",1.31035177905453,12.4458874458874,2.40126239437104,7.6948860772e-05,25900.624193734,1917.63775016,922.416,12.2
"Denmark",1.20329220747966,62.880037709168,3.4950989520391,0.004842909407361,34629.1011975181,6345.45678188,1104.96,12.8
"Ecuador",3.4717400361061,29.9766468030279,0.784493844234154,0.002030823789869,7091.73586355785,270.06460048,32146.65,8.4
"Egypt",2.40585384735632,3.55818976342358,0.917523723273246,0.00111700021876,5762.2594433321,101.23318902,772.58,7.8
"El Salvador",2.88733753699653,74.9517374517375,0.733985161905421,0.000507348406787,5827.17660993382,215.93487107,3730.968,7.3
"Eritrea",1.90063940585792,74.970297029703,0.13688552307307,0.000110275630968,562.014933000928,10.65961855,1342.67,3.8
"Estonia",1.25517760763148,21.3965557914602,4.05787234042553,0.003148217964527,18983.7765250644,1057.76180424,9558.4086,11
"Ethiopia",3.23656925598673,34.513,0.395909373838486,0.000372341011368,765.941212073413,14.04323536,1505.78,2.2
"Finland",1.03372309778004,7.55511681474169,6.63882253149067,0.003105915655412,33162.4027330664,4253.8644363,20907.6,11.8
"France",1.01498128337266,53.5350399883139,4.11362153930258,0.002210556443689,30459.7213215217,4940.96210783,3321.38,10.4
"Gabon",0.78391705651789,19.9479954981178,1.37170880708262,0.009315025063607,12453.3906250536,263.33276432,125112.52,7.5
"Georgia",1.97416337639437,36.3073823571737,0.685393389146155,0.000245451884812,4345.65577490643,261.87692087,14286.097,12.4
"Germany",1.05871434535412,48.5385652410865,4.06895399234518,0.001619068047682,33157.2439621593,4718.15917267,1863.48,12.3
"Ghana",0.74552388254033,68.1198910081744,0.385049356572956,0.000294805842253,1391.187032899,68.51149554,2312.19,7.7
"Greece",1.07788921173493,63.8401861908456,2.7069802922357,0.000873416894214,27256.4673706908,3078.40821387,6675.65,10.6
"Guatemala",2.80120708166358,39.3617021276596,0.595795468008332,0.000393332961309,5261.71061883662,198.5067007,8540.46,4.9
"Haiti",1.93276326578423,64.2235123367199,0.284842587537072,0.000204309384684,1191.83611868498,35.33440734,1484.7637,4.5
"Honduras",2.46597500285299,28.4565197962284,0.636409173431021,0.00028455476039,3620.99921333898,115.68858452,13765.7208,5.8
"Hungary",1.65317754924035,64.6133244057583,2.63577998339939,0.001047357353696,17922.2716764316,1118.72597813,10339.58,11.2
"India",2.75708526063505,60.4428240374816,0.525737714602009,0.000393236635946,2605.77092476447,43.12475092,1646.761,6.1
"Indonesia",1.08632851768767,28.7043834905634,0.795563970713674,0.001378172511551,3686.60305387481,53.36093578,12400.35,7.2
"Iran",2.54239853105863,29.6546007184305,2.81920322057108,0.004769087429561,11679.1893016507,276.56244084,1956.9468,7.2
"Iraq",0.92684786983878,21.6064201934289,0.942801998204537,0.003955705711546,3496.68419227387,160.73176522,2652.438,6.1
"Ireland",1.56292962475217,60.9667586006677,3.37930506997451,0.000348353475618,38163.91179621,5241.04343506,12318.71,11.1
"Israel",1.65127383981929,23.7985212569316,3.13097526269702,0.000549924820129,26036.3923440958,2073.08312967,261.38,12.5
"Italy",1.29694083165415,49.1160671788944,2.94163598821965,0.000450335597824,27950.9520435783,3471.67858616,3254.57,10.6
"Jamaica",3.72137404580153,41.4589104339797,1.58665972015481,0.000181491110113,7274.02173559466,272.32557757,3484.766,9.8
"Japan",1.37732253914827,12.6968449931413,3.87890711210076,0.000700872285069,31079.6707954382,3253.10202246,3360.6,12.1
"Jordan",2.19867060090623,11.0154125113327,1.22152652496976,4.7101087511e-05,5037.16615728507,329.55214282,163.5548,10.4
"Kazakhstan",4.52893192141087,76.9715153535578,4.47904226611218,0.009084521867771,10477.1827452162,329.80684978,7157.341,11.8
"Kenya",2.95292710226767,47.7914045753242,0.461009577376067,0.000393453557051,1436.09866877488,32.99259206,839.86,7.5
"Kuwait",2.98281973309574,8.47362514029181,10.9350650675672,0.060153133536157,45620.5963949171,1116.62940353,7.197,7.4
"Latvia",2.16178823122487,29.34555394758,1.97895850745821,0.000787664923974,15987.0100149469,974.29906376,15486.0326,11.9
"Lebanon",2.09290686564448,67.1554252199414,1.30190752631143,3.9791068452e-05,12016.9832476878,555.76301814,1110.3984,8.7
"Lithuania",1.94168576521518,42.6360299984043,2.80839548377587,0.001146803722485,17445.1557543887,934.40671484,7306.02,12.2
"Luxembourg",0.73367571533382,50.5791505791506,8.6097963777755,0.000208005242604,73998.7104751099,8054.81635894,6719.3,11.5
"Macedonia, FYR",1.79831857213505,42.1323820848197,1.4668213380209,0.000791222416888,8601.9909002895,326.64042808,3142.83,10.6
"Malaysia",1.61813767064451,23.9537361132248,2.65458089460231,0.003385857389031,12969.6741467774,306.35306225,22210.53,8.2
"Mexico",4.31896282411746,52.9344890557885,1.63692824866747,0.00210930015033,11870.9570323346,597.703288,4340.3532,8.2
"Moldova",3.85034831185596,75.4332623897841,0.798450858755774,2.7942875205e-05,2769.37034345943,193.56839177,3039.625,11.2
"Mongolia",4.37165075144043,74.5545714359278,1.18311481199067,0.001914705447926,3300.27451367588,120.31288077,13360.82,9
"Morocco",0.90030025477569,67.1767869146314,0.478550723684498,2.0217165532e-05,4011.37704345564,147.36903771,939.94,4.6
"Mozambique",2.21449197317966,62.3744245784481,0.420605250549638,0.000516198836694,872.109691194885,18.09859681,10352.646,3.5
"Myanmar",2.05844452594974,18.7859591137226,0.318153625007579,0.00048660132742,1445.05661058846,10.65229369,21612.6118,5
"Namibia",0.52774041980899,47.1377036038334,0.738270658991775,0.000147017253963,5025.94060935855,275.23664539,8656.0097,6.8
"Netherlands",1.09145530976798,57.1386255924171,4.8371668932826,0.004035977309457,37692.2980578829,5236.86553894,5555.89,11.7
"New Zealand",0.84104289318755,43.1962325775702,4.07914216777156,0.003503843907009,25160.5345750121,2820.19798906,78993.42,12.4
"Nicaragua",2.73630063585054,42.7621738407844,0.540914089187318,0.000300124548028,2904.07317946706,105.21340786,35552.613,5.6
"Nigeria",2.39767893133162,85.0928335364582,0.738125378611314,0.001514915681224,2100.10575071392,79.29829413,1977.61,6.6
"Norway",0.94714908126539,3.35221134644973,6.25002516666625,0.045823006642242,48321.9058439174,8070.92644725,81822.22,13.5
"Oman",2.08574361648389,5.7092084006462,6.02556956620172,0.024056725862289,24358.5450044704,479.01366884,549.81,6.6
"Pakistan",2.44391392731141,34.0909090909091,0.487399250194058,0.000377815318281,2660.74984002263,22.06499551,1399.687,5.3
"Panama",3.70671342828222,29.9973096583266,0.914719768488769,0.000204879689839,10674.4244869141,493.08817356,45012.407,9.2
"Paraguay",2.24483687518707,52.4465139692927,0.697873694151848,0.001208979843801,4318.76231813703,162.0668094,55853.83,6.8
"Peru",2.95426068764153,16.7421875,0.528553397356276,0.00044437739523,7912.55775926635,256.32945861,69340.29,9.6
"Philippines",2.88174126409282,39.5747392427139,0.44369547787396,0.000254834136361,3228.11859624304,64.67885035,5552.74,8.8
"Poland",1.61457577760226,53.099730458221,2.56761348672429,0.001867107969965,16210.6003726298,972.5138999,1615.09,12.3
"Portugal",1.08952242600327,40.8002623811086,2.29987941534565,0.000421913277137,20601.2286182922,2383.88095707,6494.2,7.5
"Qatar",2.33660457974498,5.52200172562554,15.3104307837772,0.095367656117932,73806.5681349922,1635.51268344,70.6186,7.7
"Romania",1.80239226609864,58.9212701174424,1.83841897937967,0.001340226037197,11590.7804628416,516.84724414,9842.682,12.1
"Russia",2.39038307603605,13.1584362579663,4.85017759070095,0.008758698749887,14756.2168715368,560.70749417,31470.529,12.6
"Saudi Arabia",3.59789578123439,80.7232670757179,5.88824579266753,0.02213965133237,23293.7748532448,581.01746674,99.27,8.3
"Senegal",1.8544353329477,48.3249363735522,0.261036726264755,0.000104380432782,1723.33796731707,65.58605669,3213.92,3.2
"Singapore",0.99502487562189,0,4.92368992023805,6.775468671e-06,44103.9681300732,1434.29888612,136.92,8
"Slovak Republic",2.1655656857928,40.2702702702703,3.38548847284795,0.001179875632753,20044.241683273,1398.66914518,9298.23,12.7
"Slovenia",0.56488471216556,24.428997020854,3.82902574362445,0.00181952677968,26755.7402528574,2257.5292104,15928.381,11.9
"South Africa",2.42361045570291,81.8282872364076,3.02759624111825,0.003284120660682,9385.98429139242,481.77771676,1035.57,8.4
"Spain",1.30272738190471,56.4194065757819,3.05189880014179,0.000674164002695,28204.1788697614,3131.31302629,2540.62,8.9
"Sri Lanka",2.42967486681934,42.1782809759209,0.442296285304447,0.0002477254954,4142.53174537974,67.73599135,2603.15,9.1
"Sudan",2.14821279344054,56.8371212121212,0.36427407931,0.000823217208601,2535.41404842076,96.75328571,1710.53,5.5
"Sweden",1.08115161287316,7.53765170346542,5.3799591025113,0.00359787664049,33563.3383888872,4865.99115069,19166.84,12.3
"Switzerland",1.00598076234049,38.125,3.50133367330594,0.001690749252232,38181.484831268,6998.97074141,7176.58,13.4
"Syria",2.97517692645247,75.6806795905032,1.17385156038036,0.00120615809917,4373.58162307192,89.88517194,865.4875,7.3
"Tajikistan",2.35434438768896,33.7739354101172,0.369288802250525,0.000222377296524,1650.42895299145,43.07761038,2406.685,11.5
"Tanzania",1.8336059090886,39.4558591104087,0.448657102366213,0.000413324728805,1149.13887173643,26.75674493,2439.765,5.6
"Thailand",1.55606491657137,38.6247528822251,1.57695718909635,0.000943237123957,7652.23167390354,158.41721834,6461.5144,7
"Togo",1.24088723437258,62.6034197462769,0.443614905527021,0.00037013074802,897.758461395814,37.45616559,2293.13,5.1
"Trinidad and Tobago",4.49881211140879,10.5263157894737,14.5308255198942,0.032103501021757,18620.5047789313,909.22308459,2890.625,9.5
"Tunisia",2.85466281969778,63.6006694129763,0.912673953663991,0.000736968038,7361.40337456853,246.21716072,449.8189,8
"Turkey",2.64448023167576,50.8322180788171,1.38884019495309,0.000408588874274,8456.75389653093,623.77323607,2889.0272,8
"Turkmenistan",1.60842889027443,69.399697827336,4.4937471484606,0.013909086417604,5726.43628207836,83.6494936,5045.458,11.4
"Ukraine",3.89111844041357,71.2766691983705,2.94314450194776,0.001767466086839,6730.01074147509,259.64421464,2997.373,12
"United Arab Emirates",1.47044720774862,6.80622009569378,9.39784694511008,0.030131013757401,35246.6937703782,1526.89647496,35.306,9.3
"United Kingdom",1.47646074727487,73.0955234985326,3.39436448025191,0.002722567883522,32623.5160500435,3801.44539817,2429.26,13
"United States",1.66586949840233,44.2049233554379,7.48793030309585,0.005579862997973,42226.580034574,7719.62742794,10074.58,13.7
"Uruguay",3.35610453570577,85.0759913152783,1.24567553235522,0.000413863316644,10920.6417529365,720.56841515,41726.76,9.4
"Uzbekistan",1.06272998705927,62.5763986835919,1.84971962479901,0.002313162208795,2428.749951047,57.40209764,1868.385,11.8
"Venezuela",2.56296729459922,24.2049770421178,2.51181449794165,0.007412662147017,11862.3220001628,598.30683221,45351.788,8.5
"Vietnam",1.49958660949493,33.0248008514206,0.575456290537262,0.000830691957149,2577.73250955309,70.09052721,10338.159,8
"Zambia",2.67665558152739,31.0563768681311,0.617251413049133,0.00056819834095,1302.85927025632,72.58389754,8994.4,7.4
