"Country","Pneumonia","Agriculture_Land","Energy_Consumption_per_Person","Energy_Production_per_Person","GDP_per_Person","Health_Spending_per_Person","Water_per_Person","Years_in_School"
"Albania",2.30059685295713,43.1021897810219,0.65565127521023,0.000362527216817,6365.53035936449,275.14252038,13145.63,10.1
"Algeria",5.18433502225457,17.344042590711,1.08761925022252,0.004706747653394,6162.71983982498,185.84823354,349.8231,4.6
"Angola",38.6596938762321,46.274163792412,0.657618232301606,0.005864105117407,5488.45774780583,148.87881676,8938.79,5
"Argentina",0.92273943347281,51.5220942086974,1.93017265469479,0.002086386721477,13457.9487462775,698.45126835,20800.16,9.7
"Armenia",2.58990362161933,61.3412921348315,0.973201146963369,0.000258865371456,5346.9806575419,142.71827452,2581.4499,11.2
"Australia",0.11224268364774,54.3181078583237,5.77881731283578,0.013992916970522,34444.3330639544,4229.03306558,23964.43,11.8
"Austria",0.039546533087266,38.4596725288053,4.02380085897368,0.001345537165453,36700.3072450903,5153.35866142,9330.59,11.8
"Azerbaijan",6.47516746122744,57.5647542967804,1.5154813200356,0.006555938660047,8330.51262498759,233.86044575,4125.016,12
"Bahrain",0.14310246136234,9.21052631578947,8.78470750000713,0.016622412123619,31538.9359959238,793.46605183,156.9873,8.9
"Belarus",0.10383676859976,43.9477575160177,2.93119579254322,0.000416531156354,11533.7399896272,373.3470911,5953.52,11.7
"Belgium",0.042035175034469,45.3434610303831,5.46958157597596,0.001371882087879,33506.6017580775,4754.27522232,1754.5,12
"Benin",16.4065380361313,30.6906526848671,0.392489450668862,0.0002321532603,1447.6369264305,33,3013.0182,3.6
"Bolivia",8.6305967593403,33.9878150096926,0.617864844560453,0.001680905978147,3956.39668706737,85.35091165,66553.4797,8.3
"Bosnia and Herzegovina",1.42599383039404,41.7647058823529,1.5775687013071,0.001152223909719,7739.97652360728,505.60255386,9550.71,9.2
"Botswana",2.16023889700743,45.6160782030244,1.10067208165245,0.000530446761905,13240.0610624653,535.99084407,6587.15,5.1
"Brazil",1.66931734808182,31.290561291436,1.29654122948752,0.001191397585079,9681.54835486593,714.98985619,43486.53,6.7
"Bulgaria",2.03601546271203,46.9662093729859,2.59611957664531,0.001349447171389,11426.8799052783,474.17284604,2768.91,11.8
"Cambodia",23.62856352062,31.4695218672105,0.254186246856969,0.000261025965799,1797.20037839448,38.85543014,33536.877,5.3
"Cameroon",20.3865753591931,19.4897505870407,0.340917516055683,0.000495881874608,2020.09822964906,63.83446755,15708.65,6.5
"Canada",0.022656150436839,7.43387316888638,7.94584649320339,0.012184057353176,35978.2095484015,4622.62643606,89081.63,14.1
"Chile",0.41796201720411,21.1652522426802,1.80463244137912,0.000539191798706,13653.2996248994,764.79717839,55996.14,10.1
"China",3.10796424454201,56.0219909343145,1.57483130701956,0.001497995339858,6481.59866430443,156.59905287,2129.9392,7.6
"Colombia",1.91405480206735,38.408292023434,0.648981524196158,0.002079636278734,7186.0910111867,376.99900347,46797.02,6.5
"Congo, Dem. Rep.",30.5325763626252,9.90273703711872,0.355988687361025,0.000362710778845,359.658528305841,13.70413496,21156.29,7.5
"Congo, Rep.",17.393877355171,30.8931185944363,0.328359146571771,0.003452943548524,3668.40677919881,80.40646768,225517.09,8
"Costa Rica",0.34466302561111,35.2526439482961,1.01446090377,0.00059047319357,9831.54755185184,617.698283,25552.59,8.3
"Cote d'Ivoire",12.5105628437253,63.8364779874214,0.541320704205776,0.000601209079451,1509.22750818159,71.8341187,4289.836,4
"Croatia",0.11856770215793,23.0164403145104,2.04319418132612,0.000895155630324,14918.4507352992,1224.05169259,23156.17,10.9
"Cuba",0.35742247336352,61.3491168733559,0.932904821687944,0.000505826222907,9259.94522002074,584.63866145,3383.421,10.4
"Cyprus",0.1007962906965,12.4458874458874,2.40126239437104,7.6948860772e-05,25900.624193734,1917.63775016,922.416,12.2
"Denmark",0.048131688299187,62.880037709168,3.4950989520391,0.004842909407361,34629.1011975181,6345.45678188,1104.96,12.8
"Ecuador",3.03020591869363,29.9766468030279,0.784493844234154,0.002030823789869,7091.73586355785,270.06460048,32146.65,8.4
"Egypt",1.46792815191419,3.55818976342358,0.917523723273246,0.00111700021876,5762.2594433321,101.23318902,772.58,7.8
"El Salvador",1.8498262771844,74.9517374517375,0.733985161905421,0.000507348406787,5827.17660993382,215.93487107,3730.968,7.3
"Eritrea",9.50319702928962,74.970297029703,0.13688552307307,0.000110275630968,562.014933000928,10.65961855,1342.67,3.8
"Estonia",0.062758880381574,21.3965557914602,4.05787234042553,0.003148217964527,18983.7765250644,1057.76180424,9558.4086,11
"Ethiopia",12.7681380108565,34.513,0.395909373838486,0.000372341011368,765.941212073413,14.04323536,1505.78,2.2
"Finland",0.08473140145738,7.55511681474169,6.63882253149067,0.003105915655412,33162.4027330664,4253.8644363,20907.6,11.8
"France",0.06518228425329,53.5350399883139,4.11362153930258,0.002210556443689,30459.7213215217,4940.96210783,3321.38,10.4
"Gabon",6.06903527626754,19.9479954981178,1.37170880708262,0.009315025063607,12453.3906250536,263.33276432,125112.52,7.5
"Georgia",4.08249319584467,36.3073823571737,0.685393389146155,0.000245451884812,4345.65577490643,261.87692087,14286.097,12.4
"Germany",0.060068899027184,48.5385652410865,4.06895399234518,0.001619068047682,33157.2439621593,4718.15917267,1863.48,12.3
"Ghana",5.43148516552877,68.1198910081744,0.385049356572956,0.000294805842253,1391.187032899,68.51149554,2312.19,7.7
"Greece",0.25306964101603,63.8401861908456,2.7069802922357,0.000873416894214,27256.4673706908,3078.40821387,6675.65,10.6
"Guatemala",5.91832316386178,39.3617021276596,0.595795468008332,0.000393332961309,5261.71061883662,198.5067007,8540.46,4.9
"Haiti",12.8301803912381,64.2235123367199,0.284842587537072,0.000204309384684,1191.83611868498,35.33440734,1484.7637,4.5
"Honduras",4.10830443131242,28.4565197962284,0.636409173431021,0.00028455476039,3620.99921333898,115.68858452,13765.7208,5.8
"Hungary",0.34483458082314,64.6133244057583,2.63577998339939,0.001047357353696,17922.2716764316,1118.72597813,10339.58,11.2
"India",7.56471575911604,60.4428240374816,0.525737714602009,0.000393236635946,2605.77092476447,43.12475092,1646.761,6.1
"Indonesia",7.26707329731513,28.7043834905634,0.795563970713674,0.001378172511551,3686.60305387481,53.36093578,12400.35,7.2
"Iran",3.69685500689647,29.6546007184305,2.81920322057108,0.004769087429561,11679.1893016507,276.56244084,1956.9468,7.2
"Iraq",6.01127047009724,21.6064201934289,0.942801998204537,0.003955705711546,3496.68419227387,160.73176522,2652.438,6.1
"Ireland",0,60.9667586006677,3.37930506997451,0.000348353475618,38163.91179621,5241.04343506,12318.71,11.1
"Israel",0.071483716009493,23.7985212569316,3.13097526269702,0.000549924820129,26036.3923440958,2073.08312967,261.38,12.5
"Italy",0.054955119985345,49.1160671788944,2.94163598821965,0.000450335597824,27950.9520435783,3471.67858616,3254.57,10.6
"Jamaica",6.27862595419847,41.4589104339797,1.58665972015481,0.000181491110113,7274.02173559466,272.32557757,3484.766,9.8
"Japan",0.2089197109944,12.6968449931413,3.87890711210076,0.000700872285069,31079.6707954382,3253.10202246,3360.6,12.1
"Jordan",1.17899727874682,11.0154125113327,1.22152652496976,4.7101087511e-05,5037.16615728507,329.55214282,163.5548,10.4
"Kazakhstan",4.27257728434988,76.9715153535578,4.47904226611218,0.009084521867771,10477.1827452162,329.80684978,7157.341,11.8
"Kenya",18.6987735527139,47.7914045753242,0.461009577376067,0.000393453557051,1436.09866877488,32.99259206,839.86,7.5
"Kuwait",0.3486412675047,8.47362514029181,10.9350650675672,0.060153133536157,45620.5963949171,1116.62940353,7.197,7.4
"Latvia",0.30265035237148,29.34555394758,1.97895850745821,0.000787664923974,15987.0100149469,974.29906376,15486.0326,11.9
"Lebanon",0.57630768764123,67.1554252199414,1.30190752631143,3.9791068452e-05,12016.9832476878,555.76301814,1110.3984,8.7
"Lithuania",0.2864782276547,42.6360299984043,2.80839548377587,0.001146803722485,17445.1557543887,934.40671484,7306.02,12.2
