"Country","Total","Diarrhoea","HIV","Infections","Injury","Malaria","Measles","Meningitis","NCD","Pertussis","Pneumonia","Agriculture_Land","Energy_Consumption_per_Person","Energy_Production_per_Person","GDP_per_Person","Health_Spending_per_Person","Water_per_Person","Years_in_School"
"Albania",10.5480195333695,0.26044492674986,0,2.14867064568638,1.4758545849159,0,0,0.15192620727075,4.21052631578947,0,2.30059685295713,43.1021897810219,0.65565127521023,0.000362527216817,6365.53035936449,275.14252038,13145.63,10.1
"Algeria",18.0933852140078,5.16194048652129,0.054586680849873,4.26196008174006,0.90277972174789,0,0.30792486633261,0.44369173921563,1.1869103938639,0.58925622148196,5.18433502225457,17.344042590711,1.08761925022252,0.004706747653394,6162.71983982498,185.84823354,349.8231,4.6
"Angola",166.795058383764,52.4019160524976,3.8142680250338,33.1315256813593,6.2067485788588,17.9804413745324,1.45927095908613,3.47045396381422,6.99131675615311,2.67942311619623,38.6596938762321,46.274163792412,0.657618232301606,0.005864105117407,5488.45774780583,148.87881676,8938.79,5
"Argentina",6.30828782506252,0.12042039776453,0.021762722487566,1.30576334925397,0.9416004596287,0,0,0.12042039776453,2.80303865639853,0.072542408291887,0.92273943347281,51.5220942086974,1.93017265469479,0.002086386721477,13457.9487462775,698.45126835,20800.16,9.7
"Armenia",9.89258268585744,0.3821169277799,0.084914872839978,1.74075489321955,1.01897847407974,0,0,1.37986668364964,2.6960472126693,0,2.58990362161933,61.3412921348315,0.973201146963369,0.000258865371456,5346.9806575419,142.71827452,2581.4499,11.2
"Australia",2.2673022096843,0.01870711394129,0,0.4714192713205,0.40407366113186,0,0,0.044897073459095,1.21596240618382,0,0.11224268364774,54.3181078583237,5.77881731283578,0.013992916970522,34444.3330639544,4229.03306558,23964.43,11.8
"Austria",1.93778012127603,0.013182177695755,0,0.3822831531769,0.31637226469813,0,0,0.092275243870287,1.09412074874769,0,0.039546533087266,38.4596725288053,4.02380085897368,0.001345537165453,36700.3072450903,5153.35866142,9330.59,11.8
"Azerbaijan",18.4659948102106,4.16993542936455,0.060346388268662,3.85613421036751,0.89916118520307,0,0.024138555307465,1.03795787822099,1.72590670448374,0.21724699776718,6.47516746122744,57.5647542967804,1.5154813200356,0.006555938660047,8330.51262498759,233.86044575,4125.016,12
"Bahrain",6.29650829994277,0.071551230681168,0,1.28792215226102,1.21637092157985,0,0,0,3.57756153405839,0,0.14310246136234,9.21052631578947,8.78470750000713,0.016622412123619,31538.9359959238,793.46605183,156.9873,8.9
"Belarus",6.42749597632521,0.051918384299881,0,0.76839208763823,1.98328228025544,0,0,0.2595919214994,3.2604745340325,0,0.10383676859976,43.9477575160177,2.93119579254322,0.000416531156354,11533.7399896272,373.3470911,5953.52,11.7
"Belgium",2.48848236204056,0.06725628005515,0,0.49601506540673,0.45397989037226,0,0,0.16814070013788,1.24424118102028,0.016814070013788,0.042035175034469,45.3434610303831,5.46958157597596,0.001371882087879,33506.6017580775,4754.27522232,1754.5,12
"Benin",82.2726288499915,14.5309199014496,1.55082310667907,11.2829696214236,2.51350386535344,26.8175354202145,0.28675597066896,2.94656390269024,1.87269205334831,4.06432697203251,16.4065380361313,30.6906526848671,0.392489450668862,0.0002321532603,1447.6369264305,33,3013.0182,3.6
"Bolivia",29.1606097737323,7.87713196288996,0.10655057727581,5.87169788344889,1.49170808186129,0.011416133279551,0,1.36613061578623,2.80836878676946,0.99700897308076,8.6305967593403,33.9878150096926,0.617864844560453,0.001680905978147,3956.39668706737,85.35091165,66553.4797,8.3
"Bosnia and Herzegovina",6.60613468366218,0.174611489436,0,1.33868808567604,0.93126127699203,0,0,0.087305744718002,2.64827425644607,0,1.42599383039404,41.7647058823529,1.5775687013071,0.001152223909719,7739.97652360728,505.60255386,9550.71,9.2
"Botswana",14.9734205900417,2.0755236461444,0,2.5414575258911,1.5036957028189,0.31768219073639,0,2.94385496749052,3.43096765995298,0,2.16023889700743,45.6160782030244,1.10067208165245,0.000530446761905,13240.0610624653,535.99084407,6587.15,5.1
"Brazil",10.7937164357063,1.11889030816829,0.047989250407909,4.04430213001415,0.86058575228142,0.012238869231547,0,0.29888606965463,2.7299119896472,0.01159471821936,1.66931734808182,31.290561291436,1.29654122948752,0.001191397585079,9681.54835486593,714.98985619,43486.53,6.7
"Bulgaria",6.35566989035782,0.19259605728357,0,1.19684692740504,0.57778817185071,0,0,0.17883919604903,2.17358407505744,0,2.03601546271203,46.9662093729859,2.59611957664531,0.001349447171389,11426.8799052783,474.17284604,2768.91,11.8
"Cambodia",58.3670080265707,5.87600332133961,0.29615278162192,15.3362856352062,3.03072239136452,0.6947135344589,0.47605867699972,3.19125380570163,5.80404096318849,0.033213396069748,23.62856352062,31.4695218672105,0.254186246856969,0.000261025965799,1797.20037839448,38.85543014,33536.877,5.3
"Cameroon",95.8742671666522,20.0756225799993,6.19349782120073,14.978268802349,2.32291665187629,24.1918422461298,1.02089063123414,3.41480106831448,2.33569553321302,0.95415647314234,20.3865753591931,19.4897505870407,0.340917516055683,0.000495881874608,2020.09822964906,63.83446755,15708.65,6.5
"Canada",2.52332875490293,0.002832018804605,0,0.74765296441568,0.33134620013877,0,0,0.042480282069073,1.37636113903796,0,0.022656150436839,7.43387316888638,7.94584649320339,0.012184057353176,35978.2095484015,4622.62643606,89081.63,14.1
"Chile",4.23136785036163,0.023883543840235,0.011941771920118,0.76427340288752,0.51349619256505,0,0,0.099514766000979,2.34058729634303,0.059708859600588,0.41796201720411,21.1652522426802,1.80463244137912,0.000539191798706,13653.2996248994,764.79717839,55996.14,10.1
