"Country","Meningitis","Water_per_Person"
"Sri Lanka",0.09029197140207,2603.15
"Sudan",1.91440946139583,1710.53
"Suriname",0.71618579905873,267971.08
"Swaziland",1.79794520547945,3978.426
"Sweden",0.046601362623843,19166.84
"Switzerland",0.013780558388226,7176.58
"Syria",0.21686938871635,865.4875
"Tajikistan",1.9394819405191,2406.685
"Tanzania",3.05638620437367,2439.765
"Thailand",0.037877895995487,6461.5144
"Togo",1.76262391246105,2293.13
"Trinidad and Tobago",0,2890.625
"Tunisia",0.92914078928065,449.8189
"Turkey",0.52370351853102,2889.0272
"Turkmenistan",1.14758690485872,5045.458
"Uganda",2.79810839412049,2207.46
"Ukraine",0.33134453946379,2997.373
"United Arab Emirates",0.063932487293418,35.306
"United Kingdom",0.092867631323579,2429.26
"United States",0.036600025824614,10074.58
"Uruguay",0.13901024704107,41726.76
"Uzbekistan",1.13863927184922,1868.385
"Venezuela",0.17543126853515,45351.788
"Vietnam",0.47866269008432,10338.159
"Yemen, Rep.",1.32885180819608,96.63
"Zambia",2.8167560114145,8994.4
"Zimbabwe",2.10751503854952,1511.92
