"Country","Total","Diarrhoea","HIV","Infections","Injury","Malaria","Measles","Meningitis","NCD","Pertussis","Pneumonia","Agriculture_Land"
"Afghanistan",195.187281697813,69.5508502700227,0.013400630775573,38.4803054082581,9.50735339907,0.036260530333904,1.43623231018204,5.95697451594163,12.0243071676821,0.86158173162951,57.3200157339171,58.123668031216
"Albania",10.5480195333695,0.26044492674986,0,2.14867064568638,1.4758545849159,0,0,0.15192620727075,4.21052631578947,0,2.30059685295713,43.1021897810219
"Algeria",18.0933852140078,5.16194048652129,0.054586680849873,4.26196008174006,0.90277972174789,0,0.30792486633261,0.44369173921563,1.1869103938639,0.58925622148196,5.18433502225457,17.344042590711
"Angola",166.795058383764,52.4019160524976,3.8142680250338,33.1315256813593,6.2067485788588,17.9804413745324,1.45927095908613,3.47045396381422,6.99131675615311,2.67942311619623,38.6596938762321,46.274163792412
"Argentina",6.30828782506252,0.12042039776453,0.021762722487566,1.30576334925397,0.9416004596287,0,0,0.12042039776453,2.80303865639853,0.072542408291887,0.92273943347281,51.5220942086974
"Armenia",9.89258268585744,0.3821169277799,0.084914872839978,1.74075489321955,1.01897847407974,0,0,1.37986668364964,2.6960472126693,0,2.58990362161933,61.3412921348315
"Australia",2.2673022096843,0.01870711394129,0,0.4714192713205,0.40407366113186,0,0,0.044897073459095,1.21596240618382,0,0.11224268364774,54.3181078583237
"Austria",1.93778012127603,0.013182177695755,0,0.3822831531769,0.31637226469813,0,0,0.092275243870287,1.09412074874769,0,0.039546533087266,38.4596725288053
"Azerbaijan",18.4659948102106,4.16993542936455,0.060346388268662,3.85613421036751,0.89916118520307,0,0.024138555307465,1.03795787822099,1.72590670448374,0.21724699776718,6.47516746122744,57.5647542967804
"Bahamas",7.97024442082891,0.17711654268509,0.17711654268509,1.77116542685087,1.41693234148069,0,0,0.17711654268509,3.36521431101665,0,0.88558271342543,1.2987012987013
"Bahrain",6.29650829994277,0.071551230681168,0,1.28792215226102,1.21637092157985,0,0,0,3.57756153405839,0,0.14310246136234,9.21052631578947
"Bangladesh",20.1344728055445,5.35348607874931,0.017495052544932,3.88565117022949,1.20103535720961,0.94589917426268,0.47294958713134,1.14067742592959,0.80972934862129,0.5047322659213,5.80281734494499,69.0020742106476
