"Country","Injury","Health_Spending_per_Person"
"Afghanistan",9.50735339907,31.80972721
"Albania",1.4758545849159,275.14252038
"Algeria",0.90277972174789,185.84823354
"Angola",6.2067485788588,148.87881676
"Argentina",0.9416004596287,698.45126835
"Armenia",1.01897847407974,142.71827452
"Australia",0.40407366113186,4229.03306558
"Austria",0.31637226469813,5153.35866142
"Azerbaijan",0.89916118520307,233.86044575
"Bahamas",1.41693234148069,1833.42556935
"Bahrain",1.21637092157985,793.46605183
"Barbados",0.69954529555789,958.17848445
"Belarus",1.98328228025544,373.3470911
"Belgium",0.45397989037226,4754.27522232
"Belize",2.01748486886348,218.95707454
"Benin",2.51350386535344,33
"Bhutan",2.78041502780415,94.06479136
"Bolivia",1.49170808186129,85.35091165
"Bosnia and Herzegovina",0.93126127699203,505.60255386
"Botswana",1.5036957028189,535.99084407
"Brazil",0.86058575228142,714.98985619
"Brunei",0.77170418006431,877.06180369
"Bulgaria",0.57778817185071,474.17284604
"Burkina Faso",4.05528393924427,36.5127274
"Burundi",6.13297972008821,18.31932186
"Cambodia",3.03072239136452,38.85543014
"Cameroon",2.32291665187629,63.83446755
"Canada",0.33134620013877,4622.62643606
"Cape Verde",0.83084081090063,155.65526461
"Chad",2.79678750634494,28.03009406
"Chile",0.51349619256505,764.79717839
"China",2.0026762274843,156.59905287
"Colombia",0.9820690736432,376.99900347
"Comoros",1.8183513614323,34.45666035
"Congo, Dem. Rep.",3.6250049808303,13.70413496
"Congo, Rep.",1.78337225296696,80.40646768
"Costa Rica",0.31815048517949,617.698283
"Cote d'Ivoire",1.37559394350783,71.8341187
"Croatia",0.33198956604221,1224.05169259
"Cuba",0.4510331211492,584.63866145
"Cyprus",0.40318516278601,1917.63775016
"Denmark",0.19252675319675,6345.45678188
"Djibouti",2.10900669919775,82.4769433
"Ecuador",1.54893016995503,270.06460048
"Egypt",0.99846904721141,101.23318902
"El Salvador",1.18228027280916,215.93487107
"Equatorial Guinea",1.79540376635812,750.74928627
"Eritrea",2.54334117026653,10.65961855
"Estonia",0.94138320572361,1057.76180424
"Ethiopia",2.6038686232861,14.04323536
"Fiji",1.24455507156192,153.0510915
"Finland",0.18640908320624,4253.8644363
"France",0.2647198891103,4940.96210783
"Gabon",0.70805411556455,263.33276432
"Gambia",2.81524158701061,26.37122177
"Georgia",1.05416490972515,261.87692087
"Germany",0.24027559610874,4718.15917267
"Ghana",1.36943748636841,68.51149554
"Greece",0.28118849001781,3078.40821387
"Grenada",0.49701789264414,474.09007171
"Guatemala",1.68337523361802,198.5067007
"Guinea",1.88438206802645,25.97621308
"Guinea-Bissau",3.72405090562147,33.13959396
"Guyana",2.71619439142564,153.50783449
"Haiti",1.68384678458475,35.33440734
"Honduras",1.15111911601991,115.68858452
"Hungary",0.33469238726952,1118.72597813
"Iceland",0,4929.15294483
"India",1.8173851724764,43.12475092
"Indonesia",0.82635853865116,53.36093578
"Iran",1.19048820105126,276.56244084
"Iraq",2.15240556744275,160.73176522
"Ireland",0.26048827079203,5241.04343506
"Israel",0.20015440482658,2073.08312967
"Italy",0.18867924528302,3471.67858616
"Jamaica",1.52671755725191,272.32557757
"Japan",0.34723229743977,3253.10202246
"Jordan",0.88584119862599,329.55214282
"Kazakhstan",1.86350101555875,329.80684978
"Kenya",4.25611862694201,32.99259206
"Kuwait",0.48422398264541,1116.62940353
"Latvia",0.73500799861646,974.29906376
"Lebanon",0.94029149036201,555.76301814
"Lesotho",1.48280452255379,66.26062832
"Liberia",1.91150685873414,27.47533374
"Libya",1.20603425954947,468.62516883
"Lithuania",1.14591291061879,934.40671484
"Luxembourg",0.36683785766691,8054.81635894
"Macedonia, FYR",0.31470575012363,326.64042808
"Madagascar",1.99349857544883,21.642137
"Malawi",2.16988223502882,21.2317324
"Malaysia",0.53937922354817,306.35306225
"Maldives",1.22270742358079,454.99057309
"Mali",4.26661749792569,33.62161099
"Malta",1.08695652173913,1596.18750451
"Mauritania",2.72318037828125,47.27623307
"Mauritius",0.60800353747513,395.07092927
"Mexico",1.52296157450797,597.703288
"Micronesia, Fed. Sts.",1.43472022955524,306.0551423
"Moldova",2.3814293027086,193.56839177
"Mongolia",1.95414803174987,120.31288077
"Montenegro",0.52749571409732,573.91692048
"Morocco",0.91731623897248,147.36903771
"Mozambique",2.18596940783732,18.09859681
"Myanmar",27.0657505820328,10.65229369
"Namibia",0.57881207333889,275.23664539
"Netherlands",0.25395247306483,5236.86553894
"New Zealand",0.48059593896432,2820.19798906
"Nicaragua",1.20740158605415,105.21340786
"Niger",2.515817140949,19.45087717
"Nigeria",2.51131693506525,79.29829413
"Norway",0.30997606295958,8070.92644725
"Oman",0.78215385618146,479.01366884
"Pakistan",1.39424699326261,22.06499551
"Panama",1.05498766804956,493.08817356
"Papua New Guinea",2.0105942852724,39.89054017
"Paraguay",1.0410837682027,162.0668094
"Peru",1.31045026611337,256.32945861
"Philippines",1.38250228888886,64.67885035
"Poland",0.37610750227008,972.5138999
"Portugal",0.2867164278956,2383.88095707
"Qatar",0.86788170104813,1635.51268344
"Romania",1.00653074600314,516.84724414
"Russia",1.31037512966243,560.70749417
"Rwanda",4.13392323210267,44.07976003
"Samoa",1.42450142450142,168.19193756
"Sao Tome and Principe",2.72055965798679,82.83053087
"Saudi Arabia",1.48995213528765,581.01746674
"Senegal",1.70982340331417,65.58605669
"Serbia",0.22704052673402,673.41551388
"Sierra Leone",4.68246606892411,47.99418931
"Singapore",0.13446282102999,1434.29888612
"Slovak Republic",0.56413896016451,1398.66914518
"Slovenia",0.15405946695424,2257.5292104
"Solomon Islands",1.02827763496144,72.22520387
"South Africa",1.15270395208857,481.77771676
"Spain",0.27072303405207,3131.31302629
"Sri Lanka",2.7087591420621,67.73599135
"Sudan",2.81644277875646,96.75328571
"Suriname",2.04624514016779,403.79343468
"Swaziland",0.7134703196347,162.10472067
"Sweden",0.093202725247686,4865.99115069
"Switzerland",0.24805005098807,6998.97074141
"Syria",1.15889579595301,89.88517194
"Tajikistan",1.84095210931626,43.07761038
"Tanzania",3.2364724990163,26.75674493
"Thailand",0.61321242435938,158.41721834
"Togo",1.48530441690051,37.45616559
"Tonga",1.39811254806012,206.86163349
"Trinidad and Tobago",2.78016478794925,909.22308459
"Tunisia",1.17365152330187,246.21716072
"Turkey",1.04592345768943,623.77323607
"Turkmenistan",1.35541760416384,83.6494936
"Uganda",4.49362152735371,45.31764489
"Ukraine",1.88343211905732,259.64421464
"United Arab Emirates",0.5274430201707,1526.89647496
"United Kingdom",0.22476658595707,3801.44539817
"United States",0.87180806855526,7719.62742794
"Uruguay",1.46953689729129,720.56841515
"Uzbekistan",0.93079242063865,57.40209764
"Vanuatu",1.1321822813473,110.77253678
"Venezuela",1.64404160227225,598.30683221
"Vietnam",0.60786814349169,70.09052721
"Zambia",4.16983121585052,72.58389754
