"Country","Injury","Energy_Production_per_Person"
"Albania",1.4758545849159,0.000362527216817
"Algeria",0.90277972174789,0.004706747653394
"Angola",6.2067485788588,0.005864105117407
"Argentina",0.9416004596287,0.002086386721477
"Armenia",1.01897847407974,0.000258865371456
"Australia",0.40407366113186,0.013992916970522
"Austria",0.31637226469813,0.001345537165453
"Azerbaijan",0.89916118520307,0.006555938660047
"Bahrain",1.21637092157985,0.016622412123619
"Bangladesh",1.20103535720961,0.000160813647121
"Belarus",1.98328228025544,0.000416531156354
"Belgium",0.45397989037226,0.001371882087879
"Benin",2.51350386535344,0.0002321532603
"Bolivia",1.49170808186129,0.001680905978147
"Bosnia and Herzegovina",0.93126127699203,0.001152223909719
"Botswana",1.5036957028189,0.000530446761905
"Brazil",0.86058575228142,0.001191397585079
"Brunei",0.77170418006431,0.054917269525208
"Bulgaria",0.57778817185071,0.001349447171389
"Cambodia",3.03072239136452,0.000261025965799
"Cameroon",2.32291665187629,0.000495881874608
"Canada",0.33134620013877,0.012184057353176
"Chile",0.51349619256505,0.000539191798706
"China",2.0026762274843,0.001497995339858
"Colombia",0.9820690736432,0.002079636278734
"Congo, Dem. Rep.",3.6250049808303,0.000362710778845
"Congo, Rep.",1.78337225296696,0.003452943548524
"Costa Rica",0.31815048517949,0.00059047319357
"Cote d'Ivoire",1.37559394350783,0.000601209079451
"Croatia",0.33198956604221,0.000895155630324
"Cuba",0.4510331211492,0.000505826222907
"Cyprus",0.40318516278601,7.6948860772e-05
"Czech Rep.",0.439995600044,0.00316256053202
"Denmark",0.19252675319675,0.004842909407361
"Dominican Rep.",0.90106968569619,0.000194718171272
"Ecuador",1.54893016995503,0.002030823789869
"Egypt",0.99846904721141,0.00111700021876
"El Salvador",1.18228027280916,0.000507348406787
"Eritrea",2.54334117026653,0.000110275630968
"Estonia",0.94138320572361,0.003148217964527
"Ethiopia",2.6038686232861,0.000372341011368
"Finland",0.18640908320624,0.003105915655412
"France",0.2647198891103,0.002210556443689
"Gabon",0.70805411556455,0.009315025063607
"Georgia",1.05416490972515,0.000245451884812
"Germany",0.24027559610874,0.001619068047682
"Ghana",1.36943748636841,0.000294805842253
"Greece",0.28118849001781,0.000873416894214
"Guatemala",1.68337523361802,0.000393332961309
"Haiti",1.68384678458475,0.000204309384684
"Honduras",1.15111911601991,0.00028455476039
"Hungary",0.33469238726952,0.001047357353696
"Iceland",0,0.014018708194653
"India",1.8173851724764,0.000393236635946
"Indonesia",0.82635853865116,0.001378172511551
"Iran",1.19048820105126,0.004769087429561
"Iraq",2.15240556744275,0.003955705711546
"Ireland",0.26048827079203,0.000348353475618
"Israel",0.20015440482658,0.000549924820129
"Italy",0.18867924528302,0.000450335597824
"Jamaica",1.52671755725191,0.000181491110113
"Japan",0.34723229743977,0.000700872285069
"Jordan",0.88584119862599,4.7101087511e-05
"Kazakhstan",1.86350101555875,0.009084521867771
"Kenya",4.25611862694201,0.000393453557051
"Korea, Dem. Rep.",1.31731768445504,0.000862664643262
"Korea, Rep.",0.63764072930158,0.000937088488652
"Kuwait",0.48422398264541,0.060153133536157
"Kyrgyzstan",1.04772120637613,0.000228701232719
"Latvia",0.73500799861646,0.000787664923974
"Lebanon",0.94029149036201,3.9791068452e-05
"Libya",1.20603425954947,0.016349233123348
"Lithuania",1.14591291061879,0.001146803722485
"Luxembourg",0.36683785766691,0.000208005242604
"Macedonia, FYR",0.31470575012363,0.000791222416888
"Malaysia",0.53937922354817,0.003385857389031
"Malta",1.08695652173913,2.191107053e-06
"Mexico",1.52296157450797,0.00210930015033
"Moldova",2.3814293027086,2.7942875205e-05
"Mongolia",1.95414803174987,0.001914705447926
"Morocco",0.91731623897248,2.0217165532e-05
"Mozambique",2.18596940783732,0.000516198836694
"Myanmar",27.0657505820328,0.00048660132742
"Namibia",0.57881207333889,0.000147017253963
"Nepal",1.05229639772977,0.00029900930478
"Netherlands",0.25395247306483,0.004035977309457
"New Zealand",0.48059593896432,0.003503843907009
"Nicaragua",1.20740158605415,0.000300124548028
"Nigeria",2.51131693506525,0.001514915681224
"Norway",0.30997606295958,0.045823006642242
"Oman",0.78215385618146,0.024056725862289
"Pakistan",1.39424699326261,0.000377815318281
"Panama",1.05498766804956,0.000204879689839
"Paraguay",1.0410837682027,0.001208979843801
"Peru",1.31045026611337,0.00044437739523
"Philippines",1.38250228888886,0.000254834136361
"Poland",0.37610750227008,0.001867107969965
"Portugal",0.2867164278956,0.000421913277137
"Qatar",0.86788170104813,0.095367656117932
"Romania",1.00653074600314,0.001340226037197
"Russia",1.31037512966243,0.008758698749887
"Saudi Arabia",1.48995213528765,0.02213965133237
"Senegal",1.70982340331417,0.000104380432782
"Serbia",0.22704052673402,0.001096556573482
"Singapore",0.13446282102999,6.775468671e-06
"Slovak Republic",0.56413896016451,0.001179875632753
"Slovenia",0.15405946695424,0.00181952677968
"South Africa",1.15270395208857,0.003284120660682
"Spain",0.27072303405207,0.000674164002695
"Sri Lanka",2.7087591420621,0.0002477254954
"Sudan",2.81644277875646,0.000823217208601
"Sweden",0.093202725247686,0.00359787664049
"Switzerland",0.24805005098807,0.001690749252232
"Syria",1.15889579595301,0.00120615809917
"Tajikistan",1.84095210931626,0.000222377296524
"Tanzania",3.2364724990163,0.000413324728805
"Thailand",0.61321242435938,0.000943237123957
"Togo",1.48530441690051,0.00037013074802
"Trinidad and Tobago",2.78016478794925,0.032103501021757
"Tunisia",1.17365152330187,0.000736968038
"Turkey",1.04592345768943,0.000408588874274
"Turkmenistan",1.35541760416384,0.013909086417604
"Ukraine",1.88343211905732,0.001767466086839
"United Arab Emirates",0.5274430201707,0.030131013757401
"United Kingdom",0.22476658595707,0.002722567883522
"United States",0.87180806855526,0.005579862997973
"Uruguay",1.46953689729129,0.000413863316644
"Uzbekistan",0.93079242063865,0.002313162208795
"Venezuela",1.64404160227225,0.007412662147017
"Vietnam",0.60786814349169,0.000830691957149
"Yemen, Rep.",1.60549889282054,0.000674913790608
"Zambia",4.16983121585052,0.00056819834095
"Zimbabwe",1.67065576548335,0.000685276997397
