"Country","Pertussis","Agriculture_Land"
"Afghanistan",0.86158173162951,58.123668031216
"Albania",0,43.1021897810219
"Algeria",0.58925622148196,17.344042590711
"Angola",2.67942311619623,46.274163792412
"Argentina",0.072542408291887,51.5220942086974
"Armenia",0,61.3412921348315
"Australia",0,54.3181078583237
"Austria",0,38.4596725288053
"Azerbaijan",0.21724699776718,57.5647542967804
"Bahamas",0,1.2987012987013
"Bahrain",0,9.21052631578947
"Bangladesh",0.5047322659213,69.0020742106476
"Barbados",0,44.1860465116279
"Belarus",0,43.9477575160177
"Belgium",0.016814070013788,45.3434610303831
"Belize",0,6.66374397194213
"Benin",4.06432697203251,30.6906526848671
"Bhutan",0.47470500474705,13.0763219588434
"Bolivia",0.99700897308076,33.9878150096926
"Bosnia and Herzegovina",0,41.7647058823529
"Botswana",0,45.6160782030244
"Brazil",0.01159471821936,31.290561291436
"Brunei",0,2.08728652751423
"Bulgaria",0,46.9662093729859
"Burkina Faso",1.13348168948429,45.1754385964912
"Burundi",0.56573314691766,85.2803738317757
"Cambodia",0.033213396069748,31.4695218672105
"Cameroon",0.95415647314234,19.4897505870407
"Canada",0,7.43387316888638
"Cape Verde",0.33233632436025,23.0769230769231
"Central African Rep.",5.30681441738712,8.36302931073229
"Chad",8.57293616543179,39.09625158831
"Chile",0.059708859600588,21.1652522426802
"China",0.022113480758377,56.0219909343145
"Colombia",0.019597830737891,38.408292023434
"Comoros",1.21223424095487,80.6451612903226
"Congo, Dem. Rep.",3.76498796804646,9.90273703711872
"Congo, Rep.",0.86369597901539,30.8931185944363
"Costa Rica",0.092793891510684,35.2526439482961
"Cote d'Ivoire",1.28416473880339,63.8364779874214
"Croatia",0,23.0164403145104
"Cuba",0,61.3491168733559
"Cyprus",0,12.4458874458874
"Czech Rep.",0,54.9385113268608
"Denmark",0,62.880037709168
"Djibouti",0.86841452319907,73.3822260569456
"Dominican Rep.",0.040146669164682,50.6415562913907
"Ecuador",0,29.9766468030279
"Egypt",0.076919832165889,3.55818976342358
"El Salvador",0,74.9517374517375
"Equatorial Guinea",5.98467922119374,11.0516934046346
"Eritrea",0.37353606820329,74.970297029703
"Estonia",0,21.3965557914602
"Ethiopia",1.14287007490891,34.513
"Fiji",0,23.4263820470717
"Finland",0,7.55511681474169
"France",0.001330250699047,53.5350399883139
"Gabon",2.50347705146036,19.9479954981178
"Gambia",0.42555977478067,65.5
"Georgia",0,36.3073823571737
"Germany",0,48.5385652410865
"Ghana",0.79971976761862,68.1198910081744
"Greece",0,63.8401861908456
"Grenada",0,35.2941176470588
"Guatemala",0.68925600116643,39.3617021276596
"Guinea",4.10790191013614,57.9521406478919
"Guinea-Bissau",4.3549851499623,57.9658605974396
"Guyana",0,8.50901701803404
"Haiti",5.64088672835891,64.2235123367199
"Honduras",0.019846881310688,28.4565197962284
"Hungary",0,64.6133244057583
"Iceland",0,22.7531172069825
"India",3.19873315497486,60.4428240374816
"Indonesia",0.067303075703163,28.7043834905634
"Iran",0.007926979546952,29.6546007184305
"Iraq",2.46276719700019,21.6064201934289
"Ireland",0.014471570599557,60.9667586006677
"Israel",0.035741858004746,23.7985212569316
"Italy",0,49.1160671788944
"Jamaica",0.019083969465649,41.4589104339797
"Japan",0,12.6968449931413
"Jordan",0,11.0154125113327
"Kazakhstan",0,76.9715153535578
"Kenya",0.95067257429121,47.7914045753242
"Korea, Dem. Rep.",0.70908979766489,24.4996262768873
"Korea, Rep.",0,18.6024940739977
"Kuwait",0,8.47362514029181
"Kyrgyzstan",0.016630495339304,55.9280500521376
"Laos",0.26501454635399,9.86568457538995
"Latvia",0,29.34555394758
"Lebanon",0.06066396712013,67.1554252199414
"Lesotho",0.96045292938143,77.7997364953887
"Liberia",4.47622649293499,27.0971760797342
"Libya",0,8.83753708355593
"Lithuania",0,42.6360299984043
"Luxembourg",0,50.5791505791506
"Macedonia, FYR",0,42.1323820848197
"Madagascar",1.08696601157684,70.2359253017849
"Malawi",0.58966006848743,58.0398812049215
"Malaysia",0.016344824956005,23.9537361132248
"Maldives",0,26.6666666666667
"Mali",3.89785194062874,33.1923716798204
"Malta",0,28.125
"Mauritania",1.3708527074341,38.4796740079558
"Mauritius",0,48.2758620689655
"Mexico",0.002928772258669,52.9344890557885
"Micronesia, Fed. Sts.",0,31.4285714285714
"Moldova",0,75.4332623897841
"Mongolia",0.020145855997421,74.5545714359278
"Montenegro",0,38.1412639405204
"Morocco",0.31092843850501,67.1767869146314
"Mozambique",1.40216931222968,62.3744245784481
"Myanmar",0.92968337808497,18.7859591137226
"Namibia",1.02143307059805,47.1377036038334
"Nepal",1.04409668553967,29.3686780606906
"Netherlands",0,57.1386255924171
"New Zealand",0.017164140677297,43.1962325775702
"Nicaragua",0.15717653782953,42.7621738407844
"Niger",4.33722321584421,34.5638272677035
"Nigeria",5.36719756904255,85.0928335364582
"Norway",0,3.35221134644973
"Oman",0,5.7092084006462
"Pakistan",1.34534248241171,34.0909090909091
"Panama",0.35641475271944,29.9973096583266
"Papua New Guinea",0.30448903839462,2.62774367354149
"Paraguay",0.019520320653801,52.4465139692927
"Peru",0,16.7421875
"Philippines",0.034439558797943,39.5747392427139
"Poland",0,53.099730458221
"Portugal",0,40.8002623811086
"Qatar",0,5.52200172562554
"Romania",0,58.9212701174424
"Russia",0.001294197658926,13.1584362579663
"Rwanda",0.35235119985509,81.0701256586948
"Saint Lucia",0,18.0327868852459
"Saint Vincent and the Grenadines",0,25.6410256410256
"Samoa",0,23.321554770318
"Sao Tome and Principe",0.1943256898562,57.2916666666667
