"Country","Malaria","Agriculture_Land"
"Grenada",0,35.2941176470588
"Guatemala",0,39.3617021276596
"Guinea",32.7204204288435,57.9521406478919
"Guinea-Bissau",33.0394103073111,57.9658605974396
"Guyana",0.51387461459404,8.50901701803404
"Haiti",0.6076490570458,64.2235123367199
"Honduras",0.009923440655344,28.4565197962284
"Hungary",0,64.6133244057583
"Iceland",0,22.7531172069825
"India",0.23379173407253,60.4428240374816
"Indonesia",0.32916891602709,28.7043834905634
"Iran",0.000720634504268,29.6546007184305
"Iraq",0,21.6064201934289
"Ireland",0,60.9667586006677
"Israel",0,23.7985212569316
"Italy",0,49.1160671788944
"Jamaica",0,41.4589104339797
"Japan",0,12.6968449931413
"Jordan",0,11.0154125113327
"Kazakhstan",0,76.9715153535578
"Kenya",13.7196923326132,47.7914045753242
"Korea, Dem. Rep.",0,24.4996262768873
"Korea, Rep.",0,18.6024940739977
"Kuwait",0,8.47362514029181
"Kyrgyzstan",0,55.9280500521376
"Laos",0.1118950306828,9.86568457538995
"Latvia",0,29.34555394758
"Lebanon",0,67.1554252199414
"Lesotho",0,77.7997364953887
"Liberia",21.7485474610651,27.0971760797342
"Libya",0,8.83753708355593
"Lithuania",0,42.6360299984043
"Luxembourg",0,50.5791505791506
"Macedonia, FYR",0,42.1323820848197
"Madagascar",3.62904047238641,70.2359253017849
"Malawi",15.6619059550656,58.0398812049215
"Malaysia",0.01089654997067,23.9537361132248
"Maldives",0,26.6666666666667
"Mali",38.5691896376878,33.1923716798204
"Malta",0,28.125
"Mauritania",15.2368425927641,38.4796740079558
"Mauritius",0,48.2758620689655
"Mexico",0,52.9344890557885
"Micronesia, Fed. Sts.",0,31.4285714285714
"Moldova",0,75.4332623897841
"Mongolia",0,74.5545714359278
"Montenegro",0,38.1412639405204
"Morocco",0,67.1767869146314
"Mozambique",15.7319061402238,62.3744245784481
"Myanmar",2.12611135410149,18.7859591137226
"Namibia",2.11096167923597,47.1377036038334
"Nepal",0.010932949586803,29.3686780606906
"Netherlands",0,57.1386255924171
"New Zealand",0,43.1962325775702
"Nicaragua",0,42.7621738407844
"Niger",27.465285771024,34.5638272677035
"Nigeria",36.0584169015047,85.0928335364582
"Norway",0,3.35221134644973
