"Country","Diarrhoea","Energy_Production_per_Person"
"Albania",0.26044492674986,0.000362527216817
"Algeria",5.16194048652129,0.004706747653394
"Angola",52.4019160524976,0.005864105117407
"Argentina",0.12042039776453,0.002086386721477
"Armenia",0.3821169277799,0.000258865371456
"Australia",0.01870711394129,0.013992916970522
"Austria",0.013182177695755,0.001345537165453
"Azerbaijan",4.16993542936455,0.006555938660047
"Bahrain",0.071551230681168,0.016622412123619
"Bangladesh",5.35348607874931,0.000160813647121
"Belarus",0.051918384299881,0.000416531156354
"Belgium",0.06725628005515,0.001371882087879
"Benin",14.5309199014496,0.0002321532603
"Bolivia",7.87713196288996,0.001680905978147
"Bosnia and Herzegovina",0.174611489436,0.001152223909719
"Botswana",2.0755236461444,0.000530446761905
"Brazil",1.11889030816829,0.001191397585079
"Brunei",0.12861736334405,0.054917269525208
"Bulgaria",0.19259605728357,0.001349447171389
"Cambodia",5.87600332133961,0.000261025965799
"Cameroon",20.0756225799993,0.000495881874608
"Canada",0.002832018804605,0.012184057353176
"Chile",0.023883543840235,0.000539191798706
"China",0.5730755412495,0.001497995339858
"Colombia",0.80459982862786,0.002079636278734
"Congo, Dem. Rep.",33.993690370799,0.000362710778845
"Congo, Rep.",17.1939477303989,0.003452943548524
"Costa Rica",0.13256270215812,0.00059047319357
"Cote d'Ivoire",13.7254630335102,0.000601209079451
"Croatia",0.023713540431586,0.000895155630324
"Cuba",0.085100588896075,0.000505826222907
"Cyprus",0,7.6948860772e-05
"Czech Rep.",0.045832875004583,0.00316256053202
"Denmark",0.016043896099729,0.004842909407361
"Dominican Rep.",2.93070684902176,0.000194718171272
"Ecuador",1.38157449641966,0.002030823789869
"Egypt",1.06496748276127,0.00111700021876
"El Salvador",0.65950328143096,0.000507348406787
"Eritrea",11.9366746500846,0.000110275630968
"Estonia",0,0.003148217964527
"Ethiopia",22.9362870139569,0.000372341011368
"Finland",0,0.003105915655412
"France",0.029265515379028,0.002210556443689
"Gabon",4.19774939941838,0.009315025063607
"Georgia",1.62916395139341,0.000245451884812
"Germany",0.010512057329757,0.001619068047682
"Ghana",6.43476996490486,0.000294805842253
"Greece",0,0.000873416894214
"Guatemala",6.48828485713402,0.000393332961309
"Haiti",13.8953965093124,0.000204309384684
"Honduras",2.92741499332649,0.00028455476039
"Hungary",0.020284387107244,0.001047357353696
"Iceland",0,0.014018708194653
"India",7.55052179178996,0.000393236635946
"Indonesia",6.08192301002105,0.001378172511551
"Iran",3.1434077076184,0.004769087429561
"Iraq",4.8831642056649,0.003955705711546
"Ireland",0,0.000348353475618
"Israel",0,0.000549924820129
"Italy",0.001831837332845,0.000450335597824
"Jamaica",4.40839694656489,0.000181491110113
"Japan",0.0435249397905,0.000700872285069
"Jordan",0.75838203335606,4.7101087511e-05
"Kazakhstan",0.68361236549598,0.009084521867771
"Kenya",25.1835289337729,0.000393453557051
"Korea, Dem. Rep.",6.33901827740082,0.000862664643262
"Korea, Rep.",0.011070151550375,0.000937088488652
"Kuwait",0.038737918611633,0.060153133536157
"Kyrgyzstan",5.33838900391648,0.000228701232719
"Latvia",0.086471529248995,0.000787664923974
"Lebanon",0.31848582738068,3.9791068452e-05
"Libya",0.60642400621414,0.016349233123348
"Lithuania",0,0.001146803722485
"Luxembourg",0,0.000208005242604
"Macedonia, FYR",0.40462167873039,0.000791222416888
"Malaysia",0.063563208162242,0.003385857389031
"Malta",0,2.191107053e-06
"Mexico",0.95185098406748,0.00210930015033
"Moldova",0.37835792659856,2.7942875205e-05
"Mongolia",1.85341875176276,0.001914705447926
"Morocco",4.2725589410489,2.0217165532e-05
"Mozambique",14.1163880392334,0.000516198836694
"Myanmar",14.2168986625504,0.00048660132742
"Namibia",2.51953490747519,0.000147017253963
"Nepal",6.931490038033,0.00029900930478
"Netherlands",0,0.004035977309457
"New Zealand",0.017164140677297,0.003503843907009
"Nicaragua",2.45052511252411,0.000300124548028
"Nigeria",31.88134931609,0.001514915681224
"Norway",0.10332535431986,0.045823006642242
"Oman",0.21183333604915,0.024056725862289
"Pakistan",12.5204916458541,0.000377815318281
"Panama",1.29734969989878,0.000204879689839
"Paraguay",2.37497234621241,0.001208979843801
"Peru",1.08054671065488,0.00044437739523
"Philippines",2.17013947126779,0.000254834136361
"Poland",0.016118892954432,0.001867107969965
"Portugal",0,0.000421913277137
"Qatar",0.13352026169971,0.095367656117932
"Romania",0.14980922731209,0.001340226037197
"Russia",0.11841908579172,0.008758698749887
"Saudi Arabia",1.01079707359856,0.02213965133237
"Senegal",14.9226751505665,0.000104380432782
"Serbia",0.026196983853926,0.001096556573482
"Singapore",0,6.775468671e-06
"Slovak Republic",0.018198030973049,0.001179875632753
"Slovenia",0,0.00181952677968
"South Africa",5.66914097899202,0.003284120660682
"Spain",0,0.000674164002695
"Sri Lanka",0.55269630979449,0.0002477254954
"Sudan",10.7024825592745,0.000823217208601
"Sweden",0.027960817574306,0.00359787664049
"Switzerland",0,0.001690749252232
"Syria",0.76073715260658,0.00120615809917
"Tajikistan",11.6628205460627,0.000222377296524
"Tanzania",10.830581701313,0.000413324728805
"Thailand",0.27231136039999,0.000943237123957
"Togo",10.4488345530691,0.00037013074802
"Trinidad and Tobago",0,0.032103501021757
"Tunisia",1.02083231453861,0.000736968038
"Turkey",0.28855618797247,0.000408588874274
"Turkmenistan",6.00901804512637,0.013909086417604
"Ukraine",0.098095422867569,0.001767466086839
"United Arab Emirates",0.063932487293418,0.030131013757401
"United Kingdom",0.005383630801367,0.002722567883522
"United States",0.007274539294333,0.005579862997973
