"Country","Meningitis","Health_Spending_per_Person"
"Afghanistan",5.95697451594163,31.80972721
"Albania",0.15192620727075,275.14252038
"Algeria",0.44369173921563,185.84823354
"Angola",3.47045396381422,148.87881676
"Argentina",0.12042039776453,698.45126835
"Armenia",1.37986668364964,142.71827452
"Australia",0.044897073459095,4229.03306558
"Austria",0.092275243870287,5153.35866142
"Azerbaijan",1.03795787822099,233.86044575
"Bahamas",0.17711654268509,1833.42556935
"Bahrain",0,793.46605183
"Barbados",0,958.17848445
"Belarus",0.2595919214994,373.3470911
"Belgium",0.16814070013788,4754.27522232
"Belize",0.13449899125757,218.95707454
"Benin",2.94656390269024,33
"Bhutan",2.9838600298386,94.06479136
"Bolivia",1.36613061578623,85.35091165
"Bosnia and Herzegovina",0.087305744718002,505.60255386
"Botswana",2.94385496749052,535.99084407
"Brazil",0.29888606965463,714.98985619
"Brunei",0.12861736334405,877.06180369
"Bulgaria",0.17883919604903,474.17284604
"Burkina Faso",1.95203027797355,36.5127274
"Burundi",3.69348073624584,18.31932186
"Cambodia",3.19125380570163,38.85543014
"Cameroon",3.41480106831448,63.83446755
"Canada",0.042480282069073,4622.62643606
"Cape Verde",1.08009305417082,155.65526461
"Chad",3.07365743165024,28.03009406
"Chile",0.099514766000979,764.79717839
"China",0.41045046704388,156.59905287
"Colombia",0.2874348508224,376.99900347
"Comoros",4.14957105557628,34.45666035
"Congo, Dem. Rep.",3.67697886222244,13.70413496
"Congo, Rep.",2.44713860721026,80.40646768
"Costa Rica",0.06628135107906,617.698283
"Cote d'Ivoire",2.66252926427196,71.8341187
"Croatia",0.023713540431586,1224.05169259
"Cuba",0.085100588896075,584.63866145
"Cyprus",0,1917.63775016
"Denmark",0.016043896099729,6345.45678188
"Djibouti",1.44735753866512,82.4769433
"Ecuador",0.54835688775419,270.06460048
"Egypt",0.9146016173015,101.23318902
"El Salvador",0.804272294428,215.93487107
"Equatorial Guinea",2.43376954995212,750.74928627
"Eritrea",1.04370371997978,10.65961855
"Estonia",0.062758880381574,1057.76180424
"Ethiopia",2.19747889650802,14.04323536
"Fiji",0.11314137014199,153.0510915
"Finland",0.033892560582952,4253.8644363
"France",0.046558774466636,4940.96210783
"Gabon",1.84599822986471,263.33276432
"Gambia",1.0966348042425,26.37122177
"Georgia",0.49833250277916,261.87692087
"Germany",0.070580956356941,4718.15917267
"Ghana",0.78517940820737,68.51149554
"Greece",0.018745899334521,3078.40821387
"Grenada",0,474.09007171
"Guatemala",1.10899523264599,198.5067007
"Guinea",2.59070660502689,25.97621308
"Guinea-Bissau",5.46296723758521,33.13959396
"Guyana",0.80751725150492,153.50783449
"Haiti",1.79366287923158,35.33440734
"Honduras",0.69960256620175,115.68858452
"Hungary",0.13184851619708,1118.72597813
"Iceland",0.21630975556998,4929.15294483
"India",1.11006485305417,43.12475092
"Indonesia",0.71829444526862,53.36093578
"Iran",0.32356489241647,276.56244084
"Iraq",1.03065483126073,160.73176522
"Ireland",0.14471570599557,5241.04343506
"Israel",0.050038601206645,2073.08312967
"Italy",0.036636746656897,3471.67858616
"Jamaica",0.47709923664122,272.32557757
"Japan",0.012573871495033,3253.10202246
"Jordan",0.28678312185733,329.55214282
"Kazakhstan",0.66717937594079,329.80684978
"Kenya",2.43908592035329,32.99259206
"Kuwait",0,1116.62940353
"Latvia",0.043235764624497,974.29906376
"Lebanon",0.37914979450081,555.76301814
"Lesotho",2.10625642408209,66.26062832
"Liberia",2.38594561144154,27.47533374
"Libya",0.068137528788106,468.62516883
"Lithuania",0.12732365673542,934.40671484
"Luxembourg",0,8054.81635894
"Macedonia, FYR",0,326.64042808
"Madagascar",2.91603733226237,21.642137
"Malawi",2.65597594587823,21.2317324
"Malaysia",0.023609191603119,306.35306225
"Maldives",0.69868995633188,454.99057309
"Mali",1.9581451092468,33.62161099
"Malta",0.27173913043478,1596.18750451
"Mauritania",2.53793001241177,47.27623307
"Mauritius",0.2210921954455,395.07092927
"Mexico",0.062968603561387,597.703288
"Micronesia, Fed. Sts.",1.79340028694405,306.0551423
"Moldova",0.28933253210478,193.56839177
"Mongolia",1.49079334380918,120.31288077
"Montenegro",0,573.91692048
"Morocco",0.49346354170695,147.36903771
"Mozambique",2.95493776946694,18.09859681
"Myanmar",1.93291765633489,10.65229369
"Namibia",0.85119422549837,275.23664539
"Netherlands",0.07024217340091,5236.86553894
"New Zealand",0.12014898474108,2820.19798906
"Nicaragua",0.73587197256555,105.21340786
"Niger",3.58589320994994,19.45087717
"Nigeria",2.92588828007305,79.29829413
"Norway",0.068883569546574,8070.92644725
"Oman",0.065179488015122,479.01366884
"Pakistan",1.16508907460111,22.06499551
"Panama",0.27087521206678,493.08817356
"Papua New Guinea",3.1802188454549,39.89054017
"Paraguay",0.48150124279375,162.0668094
"Peru",0.75703956475973,256.32945861
"Philippines",1.10966942048957,64.67885035
"Poland",0.048356678863296,972.5138999
"Portugal",0.047786071315933,2383.88095707
"Qatar",0,1635.51268344
"Romania",0.070223075302544,516.84724414
"Russia",0.18054057342016,560.70749417
"Rwanda",2.86595518191992,44.07976003
"Samoa",0.71225071225071,168.19193756
"Sao Tome and Principe",3.49786241741158,82.83053087
"Saudi Arabia",0.079576989043772,581.01746674
"Senegal",0.98038381707442,65.58605669
"Serbia",0.078590951561777,673.41551388
"Sierra Leone",2.78259466870992,47.99418931
"Singapore",0.026892564205997,1434.29888612
"Slovak Republic",0.072792123892195,1398.66914518
"Slovenia",0,2257.5292104
"Solomon Islands",1.67095115681234,72.22520387
"South Africa",0.55619340136547,481.77771676
"Spain",0.095669042108627,3131.31302629
"Sri Lanka",0.09029197140207,67.73599135
"Sudan",1.91440946139583,96.75328571
"Suriname",0.71618579905873,403.79343468
"Swaziland",1.79794520547945,162.10472067
"Sweden",0.046601362623843,4865.99115069
"Switzerland",0.013780558388226,6998.97074141
"Syria",0.21686938871635,89.88517194
"Tajikistan",1.9394819405191,43.07761038
"Tanzania",3.05638620437367,26.75674493
"Thailand",0.037877895995487,158.41721834
"Togo",1.76262391246105,37.45616559
