"Country","NCD","GDP_per_Person"
"Afghanistan",12.0243071676821,984.805841434435
"Albania",4.21052631578947,6365.53035936449
"Algeria",1.1869103938639,6162.71983982498
"Angola",6.99131675615311,5488.45774780583
"Argentina",2.80303865639853,13457.9487462775
"Armenia",2.6960472126693,5346.9806575419
"Australia",1.21596240618382,34444.3330639544
"Austria",1.09412074874769,36700.3072450903
"Azerbaijan",1.72590670448374,8330.51262498759
"Bahamas",3.36521431101665,22560.0774446243
"Bahrain",3.57756153405839,31538.9359959238
"Bangladesh",0.80972934862129,1470.33214791842
"Barbados",1.04931794333683,16959.9006892376
"Belarus",3.2604745340325,11533.7399896272
"Belgium",1.24424118102028,33506.6017580775
"Belize",2.55548083389375,7297.02262590738
"Benin",1.87269205334831,1447.6369264305
"Bhutan",4.068900040689,4579.65710375918
"Bolivia",2.80836878676946,3956.39668706737
"Bosnia and Herzegovina",2.64827425644607,7739.97652360728
"Botswana",3.43096765995298,13240.0610624653
"Brazil",2.7299119896472,9681.54835486593
"Brunei",1.67202572347267,46525.232469598
"Bulgaria",2.17358407505744,11426.8799052783
"Burkina Faso",4.184309394718,1220.95336872295
"Burundi",4.06463050779054,457.404497558135
"Cambodia",5.80404096318849,1797.20037839448
"Cameroon",2.33569553321302,2020.09822964906
"Canada",1.37636113903796,35978.2095484015
"Cape Verde",1.66168162180126,3444.57053913748
"Central African Rep.",2.54623164212454,711.440652945228
"Chad",2.69847861982349,1656.47627304093
"Chile",2.34058729634303,13653.2996248994
"China",2.0499362100527,6481.59866430443
"Colombia",1.99135735664459,7186.0910111867
"Comoros",2.89071242073853,1026.02534523246
"Congo, Dem. Rep.",3.57372408452339,359.658528305841
"Congo, Rep.",2.15124276254758,3668.40677919881
"Costa Rica",2.28007847711968,9831.54755185184
"Cote d'Ivoire",1.30355881252857,1509.22750818159
"Croatia",1.20939056201091,14918.4507352992
"Cuba",1.71903189570072,9259.94522002074
"Cyprus",1.31035177905453,25900.624193734
"Czech Rep.",0.769992300077,23294.8763238796
"Denmark",1.20329220747966,34629.1011975181
"Djibouti",3.80448267306261,2105.68582245068
"Dominican Rep.",2.01179419925238,6195.69108185505
"Ecuador",3.4717400361061,7091.73586355785
"Egypt",2.40585384735632,5762.2594433321
"El Salvador",2.88733753699653,5827.17660993382
"Equatorial Guinea",1.1171401212895,15059.5907096556
"Eritrea",1.90063940585792,562.014933000928
"Estonia",1.25517760763148,18983.7765250644
"Ethiopia",3.23656925598673,765.941212073413
"Fiji",3.11138767890479,4185.99726160958
"Finland",1.03372309778004,33162.4027330664
"France",1.01498128337266,30459.7213215217
"Gabon",0.78391705651789,12453.3906250536
"Gambia",1.554929946314,739.335423557237
"Georgia",1.97416337639437,4345.65577490643
"Germany",1.05871434535412,33157.2439621593
"Ghana",0.74552388254033,1391.187032899
"Greece",1.07788921173493,27256.4673706908
"Grenada",0.99403578528827,9298.8476250119
"Guatemala",2.80120708166358,5261.71061883662
"Guinea",1.80788482575203,970.901874681017
"Guinea-Bissau",3.37011218318637,582.437533438509
"Guyana",5.57921010130671,3669.78460650045
"Haiti",1.93276326578423,1191.83611868498
"Honduras",2.46597500285299,3620.99921333898
"Hungary",1.65317754924035,17922.2716764316
"Iceland",1.08154877784988,37921.9535050198
"India",2.75708526063505,2605.77092476447
"Indonesia",1.08632851768767,3686.60305387481
"Iran",2.54239853105863,11679.1893016507
"Iraq",0.92684786983878,3496.68419227387
"Ireland",1.56292962475217,38163.91179621
"Israel",1.65127383981929,26036.3923440958
"Italy",1.29694083165415,27950.9520435783
"Jamaica",3.72137404580153,7274.02173559466
"Japan",1.37732253914827,31079.6707954382
"Jordan",2.19867060090623,5037.16615728507
"Kazakhstan",4.52893192141087,10477.1827452162
"Kenya",2.95292710226767,1436.09866877488
"Korea, Dem. Rep.",2.05085885445321,1584.55230565388
"Korea, Rep.",1.57417555046329,23735.7702933565
"Kuwait",2.98281973309574,45620.5963949171
"Kyrgyzstan",1.26391764578708,2018.20054907352
"Laos",3.18606376838906,2185.00672943914
"Latvia",2.16178823122487,15987.0100149469
"Lebanon",2.09290686564448,12016.9832476878
"Lesotho",0.85935262102549,1625.46860323032
"Liberia",2.764121428817,437.713601161059
"Libya",3.01849252531309,11787.4844297538
"Lithuania",1.94168576521518,17445.1557543887
"Luxembourg",0.73367571533382,73998.7104751099
"Macedonia, FYR",1.79831857213505,8601.9909002895
"Madagascar",3.11975251515495,1089.08820974261
"Malawi",2.10807650547064,769.4260960504
"Malaysia",1.61813767064451,12969.6741467774
"Maldives",2.44541484716157,5654.0258050368
"Mali",4.42703051534987,1078.48845139799
"Malta",2.17391304347826,22214.5263028362
"Mauritania",2.63981771363998,1822.58284007474
"Mauritius",2.98474463851426,11617.6084152851
"Mexico",4.31896282411746,11870.9570323346
"Micronesia, Fed. Sts.",5.02152080344333,5330.06601704576
"Moldova",3.85034831185596,2769.37034345943
"Mongolia",4.37165075144043,3300.27451367588
"Montenegro",1.7143610708163,9809.7045983702
"Morocco",0.90030025477569,4011.37704345564
"Mozambique",2.21449197317966,872.109691194885
"Myanmar",2.05844452594974,1445.05661058846
"Namibia",0.52774041980899,5025.94060935855
"Nepal",0.7543735214894,1138.86976511345
"Netherlands",1.09145530976798,37692.2980578829
"New Zealand",0.84104289318755,25160.5345750121
"Nicaragua",2.73630063585054,2904.07317946706
"Niger",2.98381731297069,643.805349299792
"Nigeria",2.39767893133162,2100.10575071392
"Norway",0.94714908126539,48321.9058439174
"Oman",2.08574361648389,24358.5450044704
