"Country","Malaria","GDP_per_Person"
"Sierra Leone",24.7341748329771,861.047791368196
"Singapore",0,44103.9681300732
"Slovak Republic",0,20044.241683273
"Slovenia",0,26755.7402528574
"Solomon Islands",2.18508997429306,1892.28908676618
"Somalia",11.2307540540746,942.286156914339
"South Africa",0.046731241300888,9385.98429139242
"Spain",0,28204.1788697614
"Sri Lanka",0,4142.53174537974
"Sudan",26.5702440119726,2535.41404842076
"Suriname",0.20462451401678,8075.17601107188
"Swaziland",0.028538812785388,5121.00236505638
"Sweden",0,33563.3383888872
"Switzerland",0,38181.484831268
"Syria",0,4373.58162307192
"Tajikistan",0,1650.42895299145
"Tanzania",16.2275252022019,1149.13887173643
"Thailand",0.071660884315787,7652.23167390354
"Togo",24.1126951224671,897.758461395814
"Tonga",0,4752.19906970046
"Trinidad and Tobago",0,18620.5047789313
"Tunisia",0,7361.40337456853
"Turkey",0,8456.75389653093
"Turkmenistan",0,5726.43628207836
"Uganda",29.0311421754286,1150.60180988239
"Ukraine",0,6730.01074147509
"United Arab Emirates",0,35246.6937703782
"United Kingdom",0,32623.5160500435
"United States",0,42226.580034574
"Uruguay",0,10920.6417529365
"Uzbekistan",0,2428.749951047
"Vanuatu",0.70761392584206,3945.41216428879
"Venezuela",0.001670773986049,11862.3220001628
"Vietnam",0.018744832618687,2577.73250955309
"Yemen, Rep.",0.31093240707791,2295.80616983779
"Zambia",21.5846833361599,1302.85927025632
"Zimbabwe",3.23540625264763,408.134473316796
