"Country","Total","Energy_Consumption_per_Person"
"Albania",10.5263157894737,0.65565127521023
"Algeria",18.0905858970411,1.08761925022252
"Angola",166.795058383764,0.657618232301606
"Argentina",6.30683697689669,1.93017265469479
"Armenia",9.87135396764743,0.973201146963369
"Australia",2.2673022096843,5.77881731283578
"Austria",1.93778012127603,4.02380085897368
"Azerbaijan",18.4659948102106,1.5154813200356
"Bahrain",6.36805953062393,8.78470750000713
"Bangladesh",20.1347643897536,0.191053023028177
"Belarus",6.41711229946524,2.93119579254322
"Belgium",2.48007532703366,5.46958157597596
"Benin",82.2726288499915,0.392489450668862
"Bolivia",29.1606097737322,0.617864844560453
"Bosnia and Herzegovina",6.60613468366218,1.5775687013071
"Botswana",14.952241777326,1.10067208165245
"Brazil",10.7937164357063,1.29654122948752
"Brunei",3.21543408360129,9.43350966349966
"Bulgaria",6.36942675159236,2.59611957664531
"Cambodia",58.3697758095765,0.254186246856969
"Cameroon",95.8742671666522,0.340917516055683
"Canada",2.52616077370754,7.94584649320339
"Chile",4.23136785036164,1.80463244137912
"China",9.02064577429856,1.57483130701956
"Colombia",7.6834384176276,0.648981524196158
"Congo, Dem. Rep.",135.422798862811,0.355988687361025
"Congo, Rep.",89.840376187582,0.328359146571771
"Costa Rica",3.72501193064319,1.01446090377
"Cote d'Ivoire",69.1246346295039,0.541320704205776
"Croatia",2.08679155797961,2.04319418132612
"Cuba",3.11468155359635,0.932904821687944
"Cyprus",2.11672210462655,2.40126239437104
"Denmark",1.7808724670699,3.4950989520391
"Ecuador",13.6448285316498,0.784493844234154
"Egypt",8.74950684462442,0.917523723273246
"El Salvador",10.6083515635053,0.733985161905421
"Eritrea",39.5783436971282,0.13688552307307
"Estonia",2.8869084975524,4.05787234042553
"Ethiopia",64.6082073266539,0.395909373838486
"Finland",1.50821894594137,6.63882253149067
"France",1.87565348565591,4.11362153930258
"Gabon",48.8051586799848,1.37170880708262
"Georgia",11.8833135278108,0.685393389146155
"Germany",1.88766515192926,4.06895399234518
"Ghana",42.3679636226645,0.385049356572956
"Greece",1.71524978910863,2.7069802922357
"Guatemala",23.5208610398045,0.595795468008332
"Haiti",45.5077896216469,0.284842587537072
"Honduras",15.0340125928462,0.636409173431021
"Hungary",3.08322684030102,2.63577998339939
"Iceland",1.73047804455981,16.8684683095264
"India",30.6938969879138,0.525737714602009
"Indonesia",22.0145042867794,0.795563970713674
"Iran",13.9976046109078,2.81920322057108
"Iraq",19.566552973328,0.942801998204537
"Ireland",2.25756501353092,3.37930506997451
"Israel",2.40900122951992,3.13097526269702
"Italy",1.98571166880381,2.94163598821965
"Jamaica",22.8435114503817,1.58665972015481
"Japan",2.28167406590643,3.87890711210076
"Jordan",6.86367604978555,1.22152652496976
"Kazakhstan",15.1019174012213,4.47904226611218
"Kenya",92.2099286862794,0.461009577376067
"Kuwait",5.07466733812392,10.9350650675672
"Latvia",4.06416187470275,1.97895850745821
"Lebanon",5.47492303259172,1.30190752631143
"Libya",7.29752933320614,3.97938571814193
"Lithuania",3.81970970206264,2.80839548377587
"Luxembourg",1.6507703595011,8.6097963777755
"Macedonia, FYR",4.54075439464101,1.4668213380209
"Malaysia",3.21629833300946,2.65458089460231
"Malta",4.89130434782609,2.03077315208156
"Mexico",10.5601765073415,1.63692824866747
"Moldova",9.90407513743295,0.798450858755774
"Mongolia",27.2371973085136,1.18311481199067
"Montenegro",3.4287221416326,1.31137423810167
"Morocco",13.1564495994283,0.478550723684498
"Mozambique",83.1204599206616,0.420605250549638
"Myanmar",73.0046621463918,0.318153625007579
"Namibia",23.6802233533648,0.738270658991775
"Nepal",19.4661167393025,0.332069300093083
"Netherlands",1.7776673114538,4.8371668932826
"New Zealand",1.99104031856645,4.07914216777156
"Nicaragua",14.8889047653068,0.540914089187318
"Nigeria",129.142374815297,0.738125378611314
"Norway",1.89429816253078,6.25002516666625
"Oman",4.36702569701315,6.02556956620172
"Pakistan",33.8651558358165,0.487399250194058
"Panama",13.1018063099668,0.914719768488769
"Paraguay",12.8769048579571,0.697873694151848
"Peru",11.6938801315705,0.528553397356276
"Philippines",17.8781564191089,0.44369547787396
"Poland",2.91214666043403,2.56761348672429
"Portugal",1.81587071000545,2.29987941534565
"Qatar",4.33940850524067,15.3104307837772
"Romania",6.54947215655064,1.83841897937967
"Russia",4.89853813903436,4.85017759070095
"Saudi Arabia",9.35791528606234,5.88824579266753
"Senegal",69.9624008982953,0.261036726264755
"Serbia",2.82927425622397,2.29464324950229
"Singapore",1.69423154497781,4.92368992023805
