"Country","Meningitis","Energy_Production_per_Person"
"Albania",0.15192620727075,0.000362527216817
"Algeria",0.44369173921563,0.004706747653394
"Angola",3.47045396381422,0.005864105117407
"Argentina",0.12042039776453,0.002086386721477
"Armenia",1.37986668364964,0.000258865371456
"Australia",0.044897073459095,0.013992916970522
"Austria",0.092275243870287,0.001345537165453
"Azerbaijan",1.03795787822099,0.006555938660047
"Bahrain",0,0.016622412123619
"Bangladesh",1.14067742592959,0.000160813647121
"Belarus",0.2595919214994,0.000416531156354
"Belgium",0.16814070013788,0.001371882087879
"Benin",2.94656390269024,0.0002321532603
"Bolivia",1.36613061578623,0.001680905978147
"Bosnia and Herzegovina",0.087305744718002,0.001152223909719
"Botswana",2.94385496749052,0.000530446761905
"Brazil",0.29888606965463,0.001191397585079
"Brunei",0.12861736334405,0.054917269525208
"Bulgaria",0.17883919604903,0.001349447171389
"Cambodia",3.19125380570163,0.000261025965799
"Cameroon",3.41480106831448,0.000495881874608
"Canada",0.042480282069073,0.012184057353176
"Chile",0.099514766000979,0.000539191798706
"China",0.41045046704388,0.001497995339858
"Colombia",0.2874348508224,0.002079636278734
"Congo, Dem. Rep.",3.67697886222244,0.000362710778845
"Congo, Rep.",2.44713860721026,0.003452943548524
"Costa Rica",0.06628135107906,0.00059047319357
"Cote d'Ivoire",2.66252926427196,0.000601209079451
"Croatia",0.023713540431586,0.000895155630324
"Cuba",0.085100588896075,0.000505826222907
"Cyprus",0,7.6948860772e-05
"Czech Rep.",0.073332600007333,0.00316256053202
"Denmark",0.016043896099729,0.004842909407361
"Dominican Rep.",0.34347705840894,0.000194718171272
"Ecuador",0.54835688775419,0.002030823789869
"Egypt",0.9146016173015,0.00111700021876
"El Salvador",0.804272294428,0.000507348406787
"Eritrea",1.04370371997978,0.000110275630968
"Estonia",0.062758880381574,0.003148217964527
"Ethiopia",2.19747889650802,0.000372341011368
"Finland",0.033892560582952,0.003105915655412
"France",0.046558774466636,0.002210556443689
"Gabon",1.84599822986471,0.009315025063607
"Georgia",0.49833250277916,0.000245451884812
"Germany",0.070580956356941,0.001619068047682
"Ghana",0.78517940820737,0.000294805842253
"Greece",0.018745899334521,0.000873416894214
"Guatemala",1.10899523264599,0.000393332961309
"Haiti",1.79366287923158,0.000204309384684
"Honduras",0.69960256620175,0.00028455476039
"Hungary",0.13184851619708,0.001047357353696
"Iceland",0.21630975556998,0.014018708194653
