"Country","HIV","GDP_per_Person"
"Afghanistan",0.013400630775573,984.805841434435
"Albania",0,6365.53035936449
"Algeria",0.054586680849873,6162.71983982498
"Angola",3.8142680250338,5488.45774780583
"Argentina",0.021762722487566,13457.9487462775
"Armenia",0.084914872839978,5346.9806575419
"Australia",0,34444.3330639544
"Austria",0,36700.3072450903
"Azerbaijan",0.060346388268662,8330.51262498759
"Bahamas",0.17711654268509,22560.0774446243
"Bahrain",0,31538.9359959238
"Bangladesh",0.017495052544932,1470.33214791842
"Barbados",0.34977264777894,16959.9006892376
"Belarus",0,11533.7399896272
"Belgium",0,33506.6017580775
"Belize",0.80699394754539,7297.02262590738
"Benin",1.55082310667907,1447.6369264305
"Bhutan",0,4579.65710375918
"Bolivia",0.10655057727581,3956.39668706737
"Bosnia and Herzegovina",0,7739.97652360728
"Botswana",0,13240.0610624653
"Brazil",0.047989250407909,9681.54835486593
"Brunei",0,46525.232469598
"Bulgaria",0,11426.8799052783
"Burkina Faso",1.38043363652003,1220.95336872295
"Burundi",3.94571844506263,457.404497558135
"Cambodia",0.29615278162192,1797.20037839448
"Cameroon",6.19349782120073,2020.09822964906
"Canada",0,35978.2095484015
"Cape Verde",0,3444.57053913748
"Central African Rep.",11.4190694562626,711.440652945228
"Chad",5.7179658486966,1656.47627304093
"Chile",0.011941771920118,13653.2996248994
"China",0.065678692227498,6481.59866430443
"Colombia",0.052260881967709,7186.0910111867
"Comoros",0,1026.02534523246
"Congo, Dem. Rep.",2.17631966016011,359.658528305841
"Congo, Rep.",5.81395348837209,3668.40677919881
"Costa Rica",0,9831.54755185184
"Cote d'Ivoire",4.49803981326278,1509.22750818159
"Croatia",0,14918.4507352992
"Cuba",0.008510058889608,9259.94522002074
"Cyprus",0,25900.624193734
"Czech Rep.",0,23294.8763238796
"Denmark",0,34629.1011975181
"Djibouti",5.62401786452733,2105.68582245068
"Dominican Rep.",0.4282311377566,6195.69108185505
"Ecuador",0.22788857672902,7091.73586355785
"Egypt",0.016376480396609,5762.2594433321
"El Salvador",0.70775961909664,5827.17660993382
"Equatorial Guinea",4.26907117778487,15059.5907096556
"Eritrea",2.46643668563644,562.014933000928
"Estonia",0.062758880381574,18983.7765250644
"Ethiopia",2.93557575110973,765.941212073413
"Fiji",0.11314137014199,4185.99726160958
"Finland",0,33162.4027330664
"France",0,30459.7213215217
"Gabon",7.43456821342774,12453.3906250536
"Gambia",1.37488542621448,739.335423557237
"Georgia",0.076666538889102,4345.65577490643
"Germany",0.003003444951359,33157.2439621593
"Ghana",1.89949967945117,1391.187032899
"Greece",0,27256.4673706908
"Grenada",0,9298.8476250119
"Guatemala",0.94330869390406,5261.71061883662
"Guinea",2.58560678887526,970.901874681017
"Guinea-Bissau",3.55477586445686,582.437533438509
"Guyana",3.52371164293055,3669.78460650045
"Haiti",3.19564835422279,1191.83611868498
"Honduras",0.41678450752445,3620.99921333898
"Hungary",0,17922.2716764316
"Iceland",0,37921.9535050198
"India",0.31899269501155,2605.77092476447
"Indonesia",0.15048398968841,3686.60305387481
"Iran",0.17439355003293,11679.1893016507
"Iraq",0,3496.68419227387
"Ireland",0,38163.91179621
"Israel",0,26036.3923440958
"Italy",0,27950.9520435783
"Jamaica",1.16412213740458,7274.02173559466
"Japan",0,31079.6707954382
"Jordan",0,5037.16615728507
"Kazakhstan",0.052585566576614,10477.1827452162
"Kenya",5.8786352271988,1436.09866877488
"Korea, Dem. Rep.",0.042789901583226,1584.55230565388
"Korea, Rep.",0,23735.7702933565
"Kuwait",0,45620.5963949171
"Kyrgyzstan",0.099782972035822,2018.20054907352
"Laos",0.058892121411998,2185.00672943914
"Latvia",0,15987.0100149469
"Lebanon",0.090995950680195,12016.9832476878
"Lesotho",13.0419397779163,1625.46860323032
"Liberia",3.90552480489566,437.713601161059
"Libya",0,11787.4844297538
"Lithuania",0,17445.1557543887
"Luxembourg",0,73998.7104751099
"Macedonia, FYR",0,8601.9909002895
"Madagascar",0.11786378438785,1089.08820974261
"Malawi",12.8505804727303,769.4260960504
"Malaysia",0.23790800769296,12969.6741467774
"Maldives",0,5654.0258050368
"Mali",2.05771180971697,1078.48845139799
"Malta",0,22214.5263028362
"Mauritania",0.62058872566273,1822.58284007474
"Mauritius",0.11054609772275,11617.6084152851
"Mexico",0.038562168072477,11870.9570323346
"Micronesia, Fed. Sts.",0,5330.06601704576
"Moldova",0,2769.37034345943
"Mongolia",0.040291711994843,3300.27451367588
"Montenegro",0,9809.7045983702
"Morocco",0.034031968393583,4011.37704345564
"Mozambique",17.6885541227086,872.109691194885
"Myanmar",0.65018995745816,1445.05661058846
"Namibia",7.50753306889566,5025.94060935855
"Nepal",0.38128661683975,1138.86976511345
"Netherlands",0,37692.2980578829
"New Zealand",0,25160.5345750121
"Nicaragua",0.17860970207902,2904.07317946706
"Niger",0.72982729528787,643.805349299792
"Nigeria",4.88676595033804,2100.10575071392
"Norway",0,48321.9058439174
"Oman",0,24358.5450044704
"Pakistan",0.079633782036905,2660.74984002263
"Panama",0.15682249119656,10674.4244869141
"Papua New Guinea",1.74960368093415,1904.76281601853
"Paraguay",0.27979126270448,4318.76231813703
"Peru",0.3136541363755,7912.55775926635
"Philippines",0.014312543916028,3228.11859624304
"Poland",0,16210.6003726298
"Portugal",0.038228857052746,20601.2286182922
"Qatar",0,73806.5681349922
"Romania",0,11590.7804628416
"Russia",0.009706482441944,14756.2168715368
"Rwanda",0.69725836027662,1001.28001142359
"Saint Lucia",0,10626.2415661953
"Saint Vincent and the Grenadines",0,7264.52969676163
