"Country","Infections","Health_Spending_per_Person"
"Afghanistan",38.4803054082581,31.80972721
"Albania",2.14867064568638,275.14252038
"Algeria",4.26196008174006,185.84823354
"Angola",33.1315256813593,148.87881676
"Argentina",1.30576334925397,698.45126835
"Armenia",1.74075489321955,142.71827452
"Australia",0.4714192713205,4229.03306558
"Austria",0.3822831531769,5153.35866142
"Azerbaijan",3.85613421036751,233.86044575
"Bahamas",1.77116542685087,1833.42556935
"Bahrain",1.28792215226102,793.46605183
"Barbados",1.74886323889472,958.17848445
"Belarus",0.76839208763823,373.3470911
"Belgium",0.49601506540673,4754.27522232
"Belize",2.15198386012105,218.95707454
"Benin",11.2829696214236,33
"Bhutan",9.2228400922284,94.06479136
"Bolivia",5.87169788344889,85.35091165
"Bosnia and Herzegovina",1.33868808567604,505.60255386
"Botswana",2.5414575258911,535.99084407
"Brazil",4.04430213001415,714.98985619
"Brunei",0.51446945337621,877.06180369
"Bulgaria",1.19684692740504,474.17284604
"Burkina Faso",23.7975659972142,36.5127274
"Burundi",22.895977168884,18.31932186
"Cambodia",15.3362856352062,38.85543014
"Cameroon",14.978268802349,63.83446755
"Canada",0.74765296441568,4622.62643606
"Cape Verde",1.91093386507145,155.65526461
"Chad",18.8512305664398,28.03009406
"Chile",0.76427340288752,764.79717839
"China",0.76294265908264,156.59905287
"Colombia",1.62117610937332,376.99900347
"Comoros",13.7541961954495,34.45666035
"Congo, Dem. Rep.",20.0224180675071,13.70413496
"Congo, Rep.",12.5715748056684,80.40646768
"Costa Rica",0.49048199798505,617.698283
"Cote d'Ivoire",8.62343635280591,71.8341187
"Croatia",0.3557031064738,1224.05169259
"Cuba",0.42550294448038,584.63866145
"Cyprus",0.30238887208951,1917.63775016
"Denmark",0.30483402589485,6345.45678188
"Djibouti",11.7856256719874,82.4769433
"Ecuador",3.43613244599219,270.06460048
"Egypt",1.72747055335135,101.23318902
"El Salvador",2.51737228155964,215.93487107
"Equatorial Guinea",5.46600702202362,750.74928627
"Eritrea",8.72865900551515,10.65961855
"Estonia",0.37655328228944,1057.76180424
"Ethiopia",9.68352036313201,14.04323536
"Fiji",2.14968603269786,153.0510915
"Finland",0.16946280291476,4253.8644363
"France",0.45494573907399,4940.96210783
"Gabon",2.12416234669364,263.33276432
"Gambia",11.0809218279429,26.37122177
"Georgia",2.54916241806264,261.87692087
"Germany",0.44601157527684,4718.15917267
"Ghana",4.44141887470837,68.51149554
"Greece",0.084356547005343,3078.40821387
"Grenada",0.49701789264414,474.09007171
"Guatemala",3.89031992966054,198.5067007
"Guinea",9.3403132817062,25.97621308
"Guinea-Bissau",19.4204638136128,33.13959396
"Guyana",6.82719130817795,153.50783449
"Haiti",3.92409511538011,35.33440734
"Honduras",3.24000337396982,115.68858452
"Hungary",0.61867380677093,1118.72597813
"Iceland",0.43261951113995,4929.15294483
"India",3.12267281173798,43.12475092
"Indonesia",5.35865192887297,53.36093578
"Iran",2.91784910778242,276.56244084
"Iraq",1.99669512530983,160.73176522
"Ireland",0.26048827079203,5241.04343506
"Israel",0.39316043805221,2073.08312967
"Italy",0.4084997252244,3471.67858616
"Jamaica",5.22900763358779,272.32557757
"Japan",0.29403514880693,3253.10202246
"Jordan",1.54862885802961,329.55214282
"Kazakhstan",3.03352987188841,329.80684978
"Kenya",17.0888706248813,32.99259206
"Kuwait",1.22024443626644,1116.62940353
"Latvia",0.77824376324095,974.29906376
"Lebanon",0.97062347392208,555.76301814
"Lesotho",5.84696783325189,66.26062832
"Liberia",13.1192629009523,27.47533374
"Libya",1.51265313909595,468.62516883
"Lithuania",0.35014005602241,934.40671484
"Luxembourg",0.55025678650037,8054.81635894
"Macedonia, FYR",1.39369689340467,326.64042808
"Madagascar",13.6969358326276,21.642137
"Malawi",9.03867034160194,21.2317324
"Malaysia",0.5121378486215,306.35306225
"Maldives",2.79475982532751,454.99057309
"Mali",18.1192956577856,33.62161099
"Malta",1.08695652173913,1596.18750451
"Mauritania",10.8556714399511,47.27623307
"Mauritius",1.65819146584126,395.07092927
"Mexico",1.76068025616995,597.703288
"Micronesia, Fed. Sts.",4.30416068866571,306.0551423
"Moldova",0.35610157797512,193.56839177
"Mongolia",7.59498771102784,120.31288077
"Montenegro",0.65936964262165,573.91692048
"Morocco",2.80763739247058,147.36903771
"Mozambique",10.7724024784968,18.09859681
"Myanmar",9.58907602417177,10.65229369
"Namibia",1.95774671864626,275.23664539
"Netherlands",0.29177518181916,5236.86553894
"New Zealand",0.34328281354594,2820.19798906
"Nicaragua",3.32928484675288,105.21340786
"Niger",18.1950877690052,19.45087717
"Nigeria",16.2253502995149,79.29829413
"Norway",0.46496409443937,8070.92644725
"Oman",0.8310384721928,479.01366884
"Pakistan",4.97907880015687,22.06499551
"Panama",3.53563434697689,493.08817356
"Papua New Guinea",7.79105285543054,39.89054017
"Paraguay",2.98660906003149,162.0668094
"Peru",2.83438240515247,256.32945861
"Philippines",4.11306730786863,64.67885035
"Poland",0.59371255715491,972.5138999
"Portugal",0.27715921363241,2383.88095707
"Qatar",0.73436143934842,1635.51268344
"Romania",0.25748460944266,516.84724414
"Russia",0.32743200770824,560.70749417
"Rwanda",12.8508934087994,44.07976003
"Samoa",3.08641975308642,168.19193756
"Sao Tome and Principe",10.2992615623785,82.83053087
"Saudi Arabia",1.92169962903578,581.01746674
"Senegal",12.240974514274,65.58605669
"Serbia",0.75971253176384,673.41551388
"Sierra Leone",22.5564920487693,47.99418931
"Singapore",0.21514051364798,1434.29888612
"Slovak Republic",0.60053502211061,1398.66914518
"Slovenia",0.30811893390849,2257.5292104
"Solomon Islands",4.04884318766067,72.22520387
"South Africa",2.94406820195593,481.77771676
"Spain",0.48648725668004,3131.31302629
"Sri Lanka",1.49392170865243,67.73599135
"Sudan",8.44624182363512,96.75328571
"Suriname",3.17167996726008,403.79343468
"Swaziland",4.79452054794521,162.10472067
"Sweden",0.19572572302014,4865.99115069
"Switzerland",0.34451395970565,6998.97074141
"Syria",1.91285578016221,89.88517194
"Tajikistan",9.88409780382192,43.07761038
"Tanzania",8.45502330677954,26.75674493
"Thailand",0.80976799276839,158.41721834
"Togo",6.55696095435509,37.45616559
"Tonga",2.44669695910521,206.86163349
"Trinidad and Tobago",0.65712985896982,909.22308459
"Tunisia",1.9194092620666,246.21716072
"Turkey",1.4153347214691,623.77323607
"Turkmenistan",7.21985777151274,83.6494936
"Uganda",10.8444610622168,45.31764489
"Ukraine",1.07904965154326,259.64421464
"United Arab Emirates",0.41556116740722,1526.89647496
"United Kingdom",0.62988480375993,3801.44539817
"United States",0.86180557702555,7719.62742794
"Uruguay",1.60854714433235,720.56841515
"Uzbekistan",4.5780528184033,57.40209764
"Vanuatu",3.25502405887348,110.77253678
"Venezuela",1.11273547470866,598.30683221
"Vietnam",0.94259729739681,70.09052721
"Zambia",16.7622790653089,72.58389754
