"Country","Diarrhoea","Agriculture_Land"
"Afghanistan",69.5508502700227,58.123668031216
"Albania",0.26044492674986,43.1021897810219
"Algeria",5.16194048652129,17.344042590711
"Angola",52.4019160524976,46.274163792412
"Argentina",0.12042039776453,51.5220942086974
"Armenia",0.3821169277799,61.3412921348315
"Australia",0.01870711394129,54.3181078583237
"Austria",0.013182177695755,38.4596725288053
"Azerbaijan",4.16993542936455,57.5647542967804
"Bahamas",0.17711654268509,1.2987012987013
"Bahrain",0.071551230681168,9.21052631578947
"Bangladesh",5.35348607874931,69.0020742106476
"Barbados",0,44.1860465116279
"Belarus",0.051918384299881,43.9477575160177
"Belgium",0.06725628005515,45.3434610303831
"Belize",1.34498991257566,6.66374397194213
"Benin",14.5309199014496,30.6906526848671
"Bhutan",10.9182151091822,13.0763219588434
"Bolivia",7.87713196288996,33.9878150096926
"Bosnia and Herzegovina",0.174611489436,41.7647058823529
"Botswana",2.0755236461444,45.6160782030244
"Brazil",1.11889030816829,31.290561291436
"Brunei",0.12861736334405,2.08728652751423
"Bulgaria",0.19259605728357,46.9662093729859
"Burkina Faso",30.1336870203167,45.1754385964912
"Burundi",37.1618213003935,85.2803738317757
"Cambodia",5.87600332133961,31.4695218672105
"Cameroon",20.0756225799993,19.4897505870407
"Canada",0.002832018804605,7.43387316888638
"Cape Verde",2.2432701894317,23.0769230769231
"Central African Rep.",28.00854806337,8.36302931073229
"Chad",42.1925690519613,39.09625158831
"Chile",0.023883543840235,21.1652522426802
"China",0.5730755412495,56.0219909343145
"Colombia",0.80459982862786,38.408292023434
"Comoros",20.3748601268184,80.6451612903226
"Congo, Dem. Rep.",33.993690370799,9.90273703711872
"Congo, Rep.",17.1939477303989,30.8931185944363
"Costa Rica",0.13256270215812,35.2526439482961
"Cote d'Ivoire",13.7254630335102,63.8364779874214
"Croatia",0.023713540431586,23.0164403145104
"Cuba",0.085100588896075,61.3491168733559
"Cyprus",0,12.4458874458874
"Czech Rep.",0.045832875004583,54.9385113268608
"Denmark",0.016043896099729,62.880037709168
"Djibouti",16.7066413034488,73.3822260569456
"Dominican Rep.",2.93070684902176,50.6415562913907
"Ecuador",1.38157449641966,29.9766468030279
"Egypt",1.06496748276127,3.55818976342358
"El Salvador",0.65950328143096,74.9517374517375
"Equatorial Guinea",12.128949888286,11.0516934046346
"Eritrea",11.9366746500846,74.970297029703
"Estonia",0,21.3965557914602
"Ethiopia",22.9362870139569,34.513
"Fiji",0.96170164620694,23.4263820470717
"Finland",0,7.55511681474169
"France",0.029265515379028,53.5350399883139
"Gabon",4.19774939941838,19.9479954981178
"Gambia",13.6997512112086,65.5
"Georgia",1.62916395139341,36.3073823571737
"Germany",0.010512057329757,48.5385652410865
"Ghana",6.43476996490486,68.1198910081744
"Greece",0,63.8401861908456
"Grenada",0,35.2941176470588
"Guatemala",6.48828485713402,39.3617021276596
"Guinea",18.3593381458598,57.9521406478919
"Guinea-Bissau",34.7321607189573,57.9658605974396
"Guyana",8.66245778887094,8.50901701803404
"Haiti",13.8953965093124,64.2235123367199
"Honduras",2.92741499332649,28.4565197962284
"Hungary",0.020284387107244,64.6133244057583
"Iceland",0,22.7531172069825
"India",7.55052179178996,60.4428240374816
"Indonesia",6.08192301002105,28.7043834905634
"Iran",3.1434077076184,29.6546007184305
"Iraq",4.8831642056649,21.6064201934289
"Ireland",0,60.9667586006677
"Israel",0,23.7985212569316
"Italy",0.001831837332845,49.1160671788944
"Jamaica",4.40839694656489,41.4589104339797
"Japan",0.0435249397905,12.6968449931413
"Jordan",0.75838203335606,11.0154125113327
"Kazakhstan",0.68361236549598,76.9715153535578
"Kenya",25.1835289337729,47.7914045753242
"Korea, Dem. Rep.",6.33901827740082,24.4996262768873
"Korea, Rep.",0.011070151550375,18.6024940739977
"Kuwait",0.038737918611633,8.47362514029181
"Kyrgyzstan",5.33838900391648,55.9280500521376
"Laos",4.19311904453422,9.86568457538995
"Latvia",0.086471529248995,29.34555394758
"Lebanon",0.31848582738068,67.1554252199414
"Lesotho",6.87482096820395,77.7997364953887
"Liberia",23.0549730119985,27.0971760797342
"Libya",0.60642400621414,8.83753708355593
"Lithuania",0,42.6360299984043
"Luxembourg",0,50.5791505791506
"Macedonia, FYR",0.40462167873039,42.1323820848197
"Madagascar",22.6385772531627,70.2359253017849
"Malawi",9.90060970516997,58.0398812049215
"Malaysia",0.063563208162242,23.9537361132248
"Maldives",2.2707423580786,26.6666666666667
"Mali",34.199317783719,33.1923716798204
"Malta",0,28.125
"Mauritania",17.0059835868176,38.4796740079558
"Mauritius",0.27636524430688,48.2758620689655
"Mexico",0.95185098406748,52.9344890557885
"Micronesia, Fed. Sts.",1.79340028694405,31.4285714285714
"Moldova",0.37835792659856,75.4332623897841
"Mongolia",1.85341875176276,74.5545714359278
"Montenegro",0,38.1412639405204
"Morocco",4.2725589410489,67.1767869146314
"Mozambique",14.1163880392334,62.3744245784481
"Myanmar",14.2168986625504,18.7859591137226
"Namibia",2.51953490747519,47.1377036038334
"Nepal",6.931490038033,29.3686780606906
"Netherlands",0,57.1386255924171
"New Zealand",0.017164140677297,43.1962325775702
"Nicaragua",2.45052511252411,42.7621738407844
"Niger",30.5578815023564,34.5638272677035
"Nigeria",31.88134931609,85.0928335364582
"Norway",0.10332535431986,3.35221134644973
"Oman",0.21183333604915,5.7092084006462
"Pakistan",12.5204916458541,34.0909090909091
"Panama",1.29734969989878,29.9973096583266
"Papua New Guinea",3.14155357073812,2.62774367354149
"Paraguay",2.37497234621241,52.4465139692927
