"Country","Pertussis","GDP_per_Person"
"Sao Tome and Principe",0.1943256898562,1746.87152047107
"Saudi Arabia",0,23293.7748532448
"Senegal",0.74432610840791,1723.33796731707
"Serbia",0,9877.97205855904
"Sierra Leone",4.70487021279456,861.047791368196
"Singapore",0,44103.9681300732
"Slovak Republic",0,20044.241683273
"Slovenia",0,26755.7402528574
"Solomon Islands",0.06426735218509,1892.28908676618
"Somalia",7.56558229183266,942.286156914339
"South Africa",0.000916298849037,9385.98429139242
"Spain",0.002035511534226,28204.1788697614
"Sri Lanka",0.016416722073104,4142.53174537974
"Sudan",0.91360773973908,2535.41404842076
"Suriname",0,8075.17601107188
"Swaziland",0.4851598173516,5121.00236505638
"Sweden",0,33563.3383888872
"Switzerland",0,38181.484831268
"Syria",0.001694292099347,4373.58162307192
"Tajikistan",0.046672025306609,1650.42895299145
"Tanzania",0.8507524953807,1149.13887173643
"Thailand",0.015355903781954,7652.23167390354
"Togo",0.77085419104963,897.758461395814
"Tonga",0,4752.19906970046
"Trinidad and Tobago",0,18620.5047789313
"Tunisia",0,7361.40337456853
"Turkey",0.023737269961746,8456.75389653093
"Turkmenistan",0.018072234722185,5726.43628207836
"Uganda",4.41583943592973,1150.60180988239
"Ukraine",0.006539694857838,6730.01074147509
"United Arab Emirates",0,35246.6937703782
"United Kingdom",0.006729538501709,32623.5160500435
"United States",0.008411186059073,42226.580034574
"Uruguay",0,10920.6417529365
"Uzbekistan",0.016266275312132,2428.749951047
"Vanuatu",0,3945.41216428879
"Venezuela",0.01670773986049,11862.3220001628
"Vietnam",0.02945616554365,2577.73250955309
"Yemen, Rep.",4.02793426203208,2295.80616983779
"Zambia",1.04706637073523,1302.85927025632
"Zimbabwe",4.78691858002203,408.134473316796
