"Country","Total","Health_Spending_per_Person"
"Syria",8.35624863397699,89.88517194
"Tajikistan",40.0031114683538,43.07761038
"Tanzania",65.3261622481544,26.75674493
"Thailand",4.16042619799083,158.41721834
"Togo",60.9397840668199,37.45616559
"Tonga",10.8353722474659,206.86163349
"Trinidad and Tobago",10.7668199969671,909.22308459
"Tunisia",9.33419727126021,246.21716072
"Turkey",7.82662298019941,623.77323607
"Turkmenistan",27.2348577263321,83.6494936
"Uganda",98.9217628151113,45.31764489
"Ukraine",7.55334756080281,259.64421464
"United Arab Emirates",2.65319822267685,1526.89647496
"United Kingdom",2.59087232315782,3801.44539817
"United States",3.6322684014018,7719.62742794
"Uruguay",7.8640082611804,720.56841515
"Uzbekistan",18.6303073241616,57.40209764
"Vanuatu",18.9640532125672,110.77253678
"Venezuela",8.15838937387745,598.30683221
"Vietnam",5.25792554954159,70.09052721
"Zambia",105.545396226137,72.58389754
