"Country","Injury","Energy_Consumption_per_Person"
"Albania",1.4758545849159,0.65565127521023
"Algeria",0.90277972174789,1.08761925022252
"Angola",6.2067485788588,0.657618232301606
"Argentina",0.9416004596287,1.93017265469479
"Armenia",1.01897847407974,0.973201146963369
"Australia",0.40407366113186,5.77881731283578
"Austria",0.31637226469813,4.02380085897368
"Azerbaijan",0.89916118520307,1.5154813200356
"Bahrain",1.21637092157985,8.78470750000713
"Bangladesh",1.20103535720961,0.191053023028177
"Belarus",1.98328228025544,2.93119579254322
"Belgium",0.45397989037226,5.46958157597596
"Benin",2.51350386535344,0.392489450668862
"Bolivia",1.49170808186129,0.617864844560453
"Bosnia and Herzegovina",0.93126127699203,1.5775687013071
"Botswana",1.5036957028189,1.10067208165245
"Brazil",0.86058575228142,1.29654122948752
"Brunei",0.77170418006431,9.43350966349966
"Bulgaria",0.57778817185071,2.59611957664531
"Cambodia",3.03072239136452,0.254186246856969
"Cameroon",2.32291665187629,0.340917516055683
"Canada",0.33134620013877,7.94584649320339
"Chile",0.51349619256505,1.80463244137912
"China",2.0026762274843,1.57483130701956
"Colombia",0.9820690736432,0.648981524196158
"Congo, Dem. Rep.",3.6250049808303,0.355988687361025
"Congo, Rep.",1.78337225296696,0.328359146571771
"Costa Rica",0.31815048517949,1.01446090377
"Cote d'Ivoire",1.37559394350783,0.541320704205776
"Croatia",0.33198956604221,2.04319418132612
"Cuba",0.4510331211492,0.932904821687944
"Cyprus",0.40318516278601,2.40126239437104
"Denmark",0.19252675319675,3.4950989520391
"Ecuador",1.54893016995503,0.784493844234154
"Egypt",0.99846904721141,0.917523723273246
"El Salvador",1.18228027280916,0.733985161905421
"Eritrea",2.54334117026653,0.13688552307307
"Estonia",0.94138320572361,4.05787234042553
"Ethiopia",2.6038686232861,0.395909373838486
"Finland",0.18640908320624,6.63882253149067
"France",0.2647198891103,4.11362153930258
"Gabon",0.70805411556455,1.37170880708262
"Georgia",1.05416490972515,0.685393389146155
"Germany",0.24027559610874,4.06895399234518
"Ghana",1.36943748636841,0.385049356572956
"Greece",0.28118849001781,2.7069802922357
"Guatemala",1.68337523361802,0.595795468008332
"Haiti",1.68384678458475,0.284842587537072
"Honduras",1.15111911601991,0.636409173431021
"Hungary",0.33469238726952,2.63577998339939
"Iceland",0,16.8684683095264
"India",1.8173851724764,0.525737714602009
"Indonesia",0.82635853865116,0.795563970713674
"Iran",1.19048820105126,2.81920322057108
"Iraq",2.15240556744275,0.942801998204537
"Ireland",0.26048827079203,3.37930506997451
"Israel",0.20015440482658,3.13097526269702
"Italy",0.18867924528302,2.94163598821965
"Jamaica",1.52671755725191,1.58665972015481
"Japan",0.34723229743977,3.87890711210076
"Jordan",0.88584119862599,1.22152652496976
"Kazakhstan",1.86350101555875,4.47904226611218
"Kenya",4.25611862694201,0.461009577376067
"Kuwait",0.48422398264541,10.9350650675672
"Latvia",0.73500799861646,1.97895850745821
"Lebanon",0.94029149036201,1.30190752631143
"Libya",1.20603425954947,3.97938571814193
"Lithuania",1.14591291061879,2.80839548377587
"Luxembourg",0.36683785766691,8.6097963777755
"Macedonia, FYR",0.31470575012363,1.4668213380209
"Malaysia",0.53937922354817,2.65458089460231
"Malta",1.08695652173913,2.03077315208156
"Mexico",1.52296157450797,1.63692824866747
"Moldova",2.3814293027086,0.798450858755774
"Mongolia",1.95414803174987,1.18311481199067
"Montenegro",0.52749571409732,1.31137423810167
"Morocco",0.91731623897248,0.478550723684498
"Mozambique",2.18596940783732,0.420605250549638
"Myanmar",27.0657505820328,0.318153625007579
"Namibia",0.57881207333889,0.738270658991775
"Nepal",1.05229639772977,0.332069300093083
"Netherlands",0.25395247306483,4.8371668932826
"New Zealand",0.48059593896432,4.07914216777156
"Nicaragua",1.20740158605415,0.540914089187318
"Nigeria",2.51131693506525,0.738125378611314
"Norway",0.30997606295958,6.25002516666625
"Oman",0.78215385618146,6.02556956620172
"Pakistan",1.39424699326261,0.487399250194058
"Panama",1.05498766804956,0.914719768488769
"Paraguay",1.0410837682027,0.697873694151848
"Peru",1.31045026611337,0.528553397356276
"Philippines",1.38250228888886,0.44369547787396
"Poland",0.37610750227008,2.56761348672429
"Portugal",0.2867164278956,2.29987941534565
"Qatar",0.86788170104813,15.3104307837772
"Romania",1.00653074600314,1.83841897937967
"Russia",1.31037512966243,4.85017759070095
"Saudi Arabia",1.48995213528765,5.88824579266753
"Senegal",1.70982340331417,0.261036726264755
"Serbia",0.22704052673402,2.29464324950229
"Singapore",0.13446282102999,4.92368992023805
"Slovak Republic",0.56413896016451,3.38548847284795
"Slovenia",0.15405946695424,3.82902574362445
"South Africa",1.15270395208857,3.02759624111825
"Spain",0.27072303405207,3.05189880014179
"Sri Lanka",2.7087591420621,0.442296285304447
"Sudan",2.81644277875646,0.36427407931
"Sweden",0.093202725247686,5.3799591025113
"Switzerland",0.24805005098807,3.50133367330594
"Syria",1.15889579595301,1.17385156038036
"Tajikistan",1.84095210931626,0.369288802250525
"Tanzania",3.2364724990163,0.448657102366213
"Thailand",0.61321242435938,1.57695718909635
"Togo",1.48530441690051,0.443614905527021
"Trinidad and Tobago",2.78016478794925,14.5308255198942
"Tunisia",1.17365152330187,0.912673953663991
"Turkey",1.04592345768943,1.38884019495309
"Turkmenistan",1.35541760416384,4.4937471484606
"Ukraine",1.88343211905732,2.94314450194776
"United Arab Emirates",0.5274430201707,9.39784694511008
"United Kingdom",0.22476658595707,3.39436448025191
"United States",0.87180806855526,7.48793030309585
"Uruguay",1.46953689729129,1.24567553235522
