"Country","Diarrhoea","Energy_Consumption_per_Person"
"Albania",0.26044492674986,0.65565127521023
"Algeria",5.16194048652129,1.08761925022252
"Angola",52.4019160524976,0.657618232301606
"Argentina",0.12042039776453,1.93017265469479
"Armenia",0.3821169277799,0.973201146963369
"Australia",0.01870711394129,5.77881731283578
"Austria",0.013182177695755,4.02380085897368
"Azerbaijan",4.16993542936455,1.5154813200356
"Bahrain",0.071551230681168,8.78470750000713
"Bangladesh",5.35348607874931,0.191053023028177
"Belarus",0.051918384299881,2.93119579254322
"Belgium",0.06725628005515,5.46958157597596
"Benin",14.5309199014496,0.392489450668862
"Bolivia",7.87713196288996,0.617864844560453
"Bosnia and Herzegovina",0.174611489436,1.5775687013071
"Botswana",2.0755236461444,1.10067208165245
"Brazil",1.11889030816829,1.29654122948752
"Brunei",0.12861736334405,9.43350966349966
"Bulgaria",0.19259605728357,2.59611957664531
"Cambodia",5.87600332133961,0.254186246856969
"Cameroon",20.0756225799993,0.340917516055683
"Canada",0.002832018804605,7.94584649320339
"Chile",0.023883543840235,1.80463244137912
"China",0.5730755412495,1.57483130701956
"Colombia",0.80459982862786,0.648981524196158
"Congo, Dem. Rep.",33.993690370799,0.355988687361025
"Congo, Rep.",17.1939477303989,0.328359146571771
"Costa Rica",0.13256270215812,1.01446090377
"Cote d'Ivoire",13.7254630335102,0.541320704205776
"Croatia",0.023713540431586,2.04319418132612
"Cuba",0.085100588896075,0.932904821687944
"Cyprus",0,2.40126239437104
"Denmark",0.016043896099729,3.4950989520391
"Ecuador",1.38157449641966,0.784493844234154
"Egypt",1.06496748276127,0.917523723273246
"El Salvador",0.65950328143096,0.733985161905421
"Eritrea",11.9366746500846,0.13688552307307
"Estonia",0,4.05787234042553
"Ethiopia",22.9362870139569,0.395909373838486
"Finland",0,6.63882253149067
"France",0.029265515379028,4.11362153930258
"Gabon",4.19774939941838,1.37170880708262
"Georgia",1.62916395139341,0.685393389146155
"Germany",0.010512057329757,4.06895399234518
"Ghana",6.43476996490486,0.385049356572956
"Greece",0,2.7069802922357
"Guatemala",6.48828485713402,0.595795468008332
"Haiti",13.8953965093124,0.284842587537072
"Honduras",2.92741499332649,0.636409173431021
"Hungary",0.020284387107244,2.63577998339939
"Iceland",0,16.8684683095264
"India",7.55052179178996,0.525737714602009
"Indonesia",6.08192301002105,0.795563970713674
"Iran",3.1434077076184,2.81920322057108
"Iraq",4.8831642056649,0.942801998204537
"Ireland",0,3.37930506997451
"Israel",0,3.13097526269702
"Italy",0.001831837332845,2.94163598821965
"Jamaica",4.40839694656489,1.58665972015481
"Japan",0.0435249397905,3.87890711210076
"Jordan",0.75838203335606,1.22152652496976
"Kazakhstan",0.68361236549598,4.47904226611218
"Kenya",25.1835289337729,0.461009577376067
"Kuwait",0.038737918611633,10.9350650675672
"Latvia",0.086471529248995,1.97895850745821
"Lebanon",0.31848582738068,1.30190752631143
"Libya",0.60642400621414,3.97938571814193
"Lithuania",0,2.80839548377587
"Luxembourg",0,8.6097963777755
"Macedonia, FYR",0.40462167873039,1.4668213380209
"Malaysia",0.063563208162242,2.65458089460231
"Malta",0,2.03077315208156
"Mexico",0.95185098406748,1.63692824866747
"Moldova",0.37835792659856,0.798450858755774
"Mongolia",1.85341875176276,1.18311481199067
"Montenegro",0,1.31137423810167
"Morocco",4.2725589410489,0.478550723684498
"Mozambique",14.1163880392334,0.420605250549638
"Myanmar",14.2168986625504,0.318153625007579
"Namibia",2.51953490747519,0.738270658991775
"Nepal",6.931490038033,0.332069300093083
"Netherlands",0,4.8371668932826
"New Zealand",0.017164140677297,4.07914216777156
"Nicaragua",2.45052511252411,0.540914089187318
"Nigeria",31.88134931609,0.738125378611314
"Norway",0.10332535431986,6.25002516666625
"Oman",0.21183333604915,6.02556956620172
"Pakistan",12.5204916458541,0.487399250194058
"Panama",1.29734969989878,0.914719768488769
"Paraguay",2.37497234621241,0.697873694151848
"Peru",1.08054671065488,0.528553397356276
"Philippines",2.17013947126779,0.44369547787396
"Poland",0.016118892954432,2.56761348672429
"Portugal",0,2.29987941534565
"Qatar",0.13352026169971,15.3104307837772
"Romania",0.14980922731209,1.83841897937967
"Russia",0.11841908579172,4.85017759070095
"Saudi Arabia",1.01079707359856,5.88824579266753
"Senegal",14.9226751505665,0.261036726264755
"Serbia",0.026196983853926,2.29464324950229
"Singapore",0,4.92368992023805
"Slovak Republic",0.018198030973049,3.38548847284795
"Slovenia",0,3.82902574362445
"South Africa",5.66914097899202,3.02759624111825
"Spain",0,3.05189880014179
"Sri Lanka",0.55269630979449,0.442296285304447
"Sudan",10.7024825592745,0.36427407931
"Sweden",0.027960817574306,5.3799591025113
"Switzerland",0,3.50133367330594
"Syria",0.76073715260658,1.17385156038036
"Tajikistan",11.6628205460627,0.369288802250525
"Tanzania",10.830581701313,0.448657102366213
"Thailand",0.27231136039999,1.57695718909635
"Togo",10.4488345530691,0.443614905527021
"Trinidad and Tobago",0,14.5308255198942
"Tunisia",1.02083231453861,0.912673953663991
"Turkey",0.28855618797247,1.38884019495309
"Turkmenistan",6.00901804512637,4.4937471484606
"Ukraine",0.098095422867569,2.94314450194776
"United Arab Emirates",0.063932487293418,9.39784694511008
"United Kingdom",0.005383630801367,3.39436448025191
"United States",0.007274539294333,7.48793030309585
"Uruguay",0.31773770752244,1.24567553235522
"Uzbekistan",4.50575826146049,1.84971962479901
"Venezuela",1.27145900338332,2.51181449794165
"Vietnam",0.31531486297862,0.575456290537262
"Zambia",20.0362049005656,0.617251413049133
