"Country","Pneumonia","GDP_per_Person"
"Afghanistan",57.3200157339171,984.805841434435
"Albania",2.30059685295713,6365.53035936449
"Algeria",5.18433502225457,6162.71983982498
"Angola",38.6596938762321,5488.45774780583
"Argentina",0.92273943347281,13457.9487462775
"Armenia",2.58990362161933,5346.9806575419
"Australia",0.11224268364774,34444.3330639544
"Austria",0.039546533087266,36700.3072450903
"Azerbaijan",6.47516746122744,8330.51262498759
"Bahamas",0.88558271342543,22560.0774446243
"Bahrain",0.14310246136234,31538.9359959238
"Bangladesh",5.80281734494499,1470.33214791842
"Barbados",0.34977264777894,16959.9006892376
"Belarus",0.10383676859976,11533.7399896272
"Belgium",0.042035175034469,33506.6017580775
"Belize",2.01748486886348,7297.02262590738
"Benin",16.4065380361313,1447.6369264305
"Bhutan",15.3940051539401,4579.65710375918
"Bolivia",8.6305967593403,3956.39668706737
"Bosnia and Herzegovina",1.42599383039404,7739.97652360728
"Botswana",2.16023889700743,13240.0610624653
"Brazil",1.66931734808182,9681.54835486593
"Brunei",0.12861736334405,46525.232469598
"Bulgaria",2.03601546271203,11426.8799052783
"Burkina Faso",26.9593833415651,1220.95336872295
"Burundi",24.1931996713703,457.404497558135
"Cambodia",23.62856352062,1797.20037839448
"Cameroon",20.3865753591931,2020.09822964906
"Canada",0.022656150436839,35978.2095484015
"Cape Verde",2.65869059488202,3444.57053913748
"Central African Rep.",27.8266743746468,711.440652945228
"Chad",32.8572374400366,1656.47627304093
"Chile",0.41796201720411,13653.2996248994
"China",3.10796424454201,6481.59866430443
"Colombia",1.91405480206735,7186.0910111867
"Comoros",19.9552405818724,1026.02534523246
"Congo, Dem. Rep.",30.5325763626252,359.658528305841
"Congo, Rep.",17.393877355171,3668.40677919881
"Costa Rica",0.34466302561111,9831.54755185184
"Cote d'Ivoire",12.5105628437253,1509.22750818159
"Croatia",0.11856770215793,14918.4507352992
"Cuba",0.35742247336352,9259.94522002074
"Cyprus",0.1007962906965,25900.624193734
"Czech Rep.",0.18333150001833,23294.8763238796
"Denmark",0.048131688299187,34629.1011975181
"Djibouti",14.3495161690514,2105.68582245068
"Dominican Rep.",4.08603877276093,6195.69108185505
"Ecuador",3.03020591869363,7091.73586355785
"Egypt",1.46792815191419,5762.2594433321
"El Salvador",1.8498262771844,5827.17660993382
"Equatorial Guinea",14.044047239068,15059.5907096556
"Eritrea",9.50319702928962,562.014933000928
"Estonia",0.062758880381574,18983.7765250644
"Ethiopia",12.7681380108565,765.941212073413
"Fiji",1.58397918198789,4185.99726160958
"Finland",0.08473140145738,33162.4027330664
"France",0.06518228425329,30459.7213215217
"Gabon",6.06903527626754,12453.3906250536
"Gambia",11.5719523373052,739.335423557237
"Georgia",4.08249319584467,4345.65577490643
"Germany",0.060068899027184,33157.2439621593
"Ghana",5.43148516552877,1391.187032899
"Greece",0.25306964101603,27256.4673706908
"Grenada",0.49701789264414,9298.8476250119
"Guatemala",5.91832316386178,5261.71061883662
"Guinea",17.0257362222092,970.901874681017
"Guinea-Bissau",30.2848437283597,582.437533438509
"Guyana",8.8826897665541,3669.78460650045
"Haiti",12.8301803912381,1191.83611868498
"Honduras",4.10830443131242,3620.99921333898
"Hungary",0.34483458082314,17922.2716764316
"Iceland",0,37921.9535050198
"India",7.56471575911604,2605.77092476447
"Indonesia",7.26707329731513,3686.60305387481
"Iran",3.69685500689647,11679.1893016507
"Iraq",6.01127047009724,3496.68419227387
"Ireland",0,38163.91179621
"Israel",0.071483716009493,26036.3923440958
"Italy",0.054955119985345,27950.9520435783
"Jamaica",6.27862595419847,7274.02173559466
"Japan",0.2089197109944,31079.6707954382
"Jordan",1.17899727874682,5037.16615728507
"Kazakhstan",4.27257728434988,10477.1827452162
"Kenya",18.6987735527139,1436.09866877488
"Korea, Dem. Rep.",9.22122379118528,1584.55230565388
"Korea, Rep.",0.17269436418585,23735.7702933565
"Kuwait",0.3486412675047,45620.5963949171
"Kyrgyzstan",7.00143853784685,2018.20054907352
"Laos",15.5239632042025,2185.00672943914
"Latvia",0.30265035237148,15987.0100149469
"Lebanon",0.57630768764123,12016.9832476878
"Lesotho",8.55982610746963,1625.46860323032
