"Country","Injury","Agriculture_Land"
"Afghanistan",9.50735339907,58.123668031216
"Albania",1.4758545849159,43.1021897810219
"Algeria",0.90277972174789,17.344042590711
"Angola",6.2067485788588,46.274163792412
"Argentina",0.9416004596287,51.5220942086974
"Armenia",1.01897847407974,61.3412921348315
"Australia",0.40407366113186,54.3181078583237
"Austria",0.31637226469813,38.4596725288053
"Azerbaijan",0.89916118520307,57.5647542967804
"Bahamas",1.41693234148069,1.2987012987013
"Bahrain",1.21637092157985,9.21052631578947
"Bangladesh",1.20103535720961,69.0020742106476
"Barbados",0.69954529555789,44.1860465116279
"Belarus",1.98328228025544,43.9477575160177
"Belgium",0.45397989037226,45.3434610303831
"Belize",2.01748486886348,6.66374397194213
"Benin",2.51350386535344,30.6906526848671
"Bhutan",2.78041502780415,13.0763219588434
"Bolivia",1.49170808186129,33.9878150096926
"Bosnia and Herzegovina",0.93126127699203,41.7647058823529
"Botswana",1.5036957028189,45.6160782030244
"Brazil",0.86058575228142,31.290561291436
"Brunei",0.77170418006431,2.08728652751423
"Bulgaria",0.57778817185071,46.9662093729859
"Burkina Faso",4.05528393924427,45.1754385964912
"Burundi",6.13297972008821,85.2803738317757
"Cambodia",3.03072239136452,31.4695218672105
"Cameroon",2.32291665187629,19.4897505870407
"Canada",0.33134620013877,7.43387316888638
"Cape Verde",0.83084081090063,23.0769230769231
"Central African Rep.",1.89668275382747,8.36302931073229
"Chad",2.79678750634494,39.09625158831
"Chile",0.51349619256505,21.1652522426802
"China",2.0026762274843,56.0219909343145
"Colombia",0.9820690736432,38.408292023434
"Comoros",1.8183513614323,80.6451612903226
"Congo, Dem. Rep.",3.6250049808303,9.90273703711872
"Congo, Rep.",1.78337225296696,30.8931185944363
"Costa Rica",0.31815048517949,35.2526439482961
"Cote d'Ivoire",1.37559394350783,63.8364779874214
"Croatia",0.33198956604221,23.0164403145104
"Cuba",0.4510331211492,61.3491168733559
"Cyprus",0.40318516278601,12.4458874458874
"Czech Rep.",0.439995600044,54.9385113268608
"Denmark",0.19252675319675,62.880037709168
"Djibouti",2.10900669919775,73.3822260569456
"Dominican Rep.",0.90106968569619,50.6415562913907
"Ecuador",1.54893016995503,29.9766468030279
"Egypt",0.99846904721141,3.55818976342358
"El Salvador",1.18228027280916,74.9517374517375
"Equatorial Guinea",1.79540376635812,11.0516934046346
"Eritrea",2.54334117026653,74.970297029703
"Estonia",0.94138320572361,21.3965557914602
"Ethiopia",2.6038686232861,34.513
"Fiji",1.24455507156192,23.4263820470717
"Finland",0.18640908320624,7.55511681474169
"France",0.2647198891103,53.5350399883139
"Gabon",0.70805411556455,19.9479954981178
"Gambia",2.81524158701061,65.5
"Georgia",1.05416490972515,36.3073823571737
"Germany",0.24027559610874,48.5385652410865
"Ghana",1.36943748636841,68.1198910081744
"Greece",0.28118849001781,63.8401861908456
"Grenada",0.49701789264414,35.2941176470588
"Guatemala",1.68337523361802,39.3617021276596
"Guinea",1.88438206802645,57.9521406478919
"Guinea-Bissau",3.72405090562147,57.9658605974396
"Guyana",2.71619439142564,8.50901701803404
"Haiti",1.68384678458475,64.2235123367199
"Honduras",1.15111911601991,28.4565197962284
"Hungary",0.33469238726952,64.6133244057583
"Iceland",0,22.7531172069825
"India",1.8173851724764,60.4428240374816
"Indonesia",0.82635853865116,28.7043834905634
"Iran",1.19048820105126,29.6546007184305
"Iraq",2.15240556744275,21.6064201934289
"Ireland",0.26048827079203,60.9667586006677
"Israel",0.20015440482658,23.7985212569316
"Italy",0.18867924528302,49.1160671788944
"Jamaica",1.52671755725191,41.4589104339797
"Japan",0.34723229743977,12.6968449931413
"Jordan",0.88584119862599,11.0154125113327
"Kazakhstan",1.86350101555875,76.9715153535578
"Kenya",4.25611862694201,47.7914045753242
"Korea, Dem. Rep.",1.31731768445504,24.4996262768873
"Korea, Rep.",0.63764072930158,18.6024940739977
"Kuwait",0.48422398264541,8.47362514029181
"Kyrgyzstan",1.04772120637613,55.9280500521376
"Laos",1.62542255097113,9.86568457538995
"Latvia",0.73500799861646,29.34555394758
"Lebanon",0.94029149036201,67.1554252199414
"Lesotho",1.48280452255379,77.7997364953887
"Liberia",1.91150685873414,27.0971760797342
"Libya",1.20603425954947,8.83753708355593
"Lithuania",1.14591291061879,42.6360299984043
"Luxembourg",0.36683785766691,50.5791505791506
"Macedonia, FYR",0.31470575012363,42.1323820848197
"Madagascar",1.99349857544883,70.2359253017849
"Malawi",2.16988223502882,58.0398812049215
"Malaysia",0.53937922354817,23.9537361132248
"Maldives",1.22270742358079,26.6666666666667
"Mali",4.26661749792569,33.1923716798204
"Malta",1.08695652173913,28.125
"Mauritania",2.72318037828125,38.4796740079558
"Mauritius",0.60800353747513,48.2758620689655
"Mexico",1.52296157450797,52.9344890557885
"Micronesia, Fed. Sts.",1.43472022955524,31.4285714285714
"Moldova",2.3814293027086,75.4332623897841
"Mongolia",1.95414803174987,74.5545714359278
"Montenegro",0.52749571409732,38.1412639405204
"Morocco",0.91731623897248,67.1767869146314
"Mozambique",2.18596940783732,62.3744245784481
"Myanmar",27.0657505820328,18.7859591137226
"Namibia",0.57881207333889,47.1377036038334
"Nepal",1.05229639772977,29.3686780606906
"Netherlands",0.25395247306483,57.1386255924171
"New Zealand",0.48059593896432,43.1962325775702
"Nicaragua",1.20740158605415,42.7621738407844
"Niger",2.515817140949,34.5638272677035
"Nigeria",2.51131693506525,85.0928335364582
"Norway",0.30997606295958,3.35221134644973
"Oman",0.78215385618146,5.7092084006462
"Pakistan",1.39424699326261,34.0909090909091
