"Country","Diarrhoea","Health_Spending_per_Person"
"Lesotho",6.87482096820395,66.26062832
"Liberia",23.0549730119985,27.47533374
"Libya",0.60642400621414,468.62516883
"Lithuania",0,934.40671484
"Luxembourg",0,8054.81635894
"Macedonia, FYR",0.40462167873039,326.64042808
"Madagascar",22.6385772531627,21.642137
"Malawi",9.90060970516997,21.2317324
"Malaysia",0.063563208162242,306.35306225
"Maldives",2.2707423580786,454.99057309
"Mali",34.199317783719,33.62161099
"Malta",0,1596.18750451
"Mauritania",17.0059835868176,47.27623307
"Mauritius",0.27636524430688,395.07092927
"Mexico",0.95185098406748,597.703288
"Micronesia, Fed. Sts.",1.79340028694405,306.0551423
"Moldova",0.37835792659856,193.56839177
"Mongolia",1.85341875176276,120.31288077
"Montenegro",0,573.91692048
"Morocco",4.2725589410489,147.36903771
"Mozambique",14.1163880392334,18.09859681
"Myanmar",14.2168986625504,10.65229369
"Namibia",2.51953490747519,275.23664539
"Netherlands",0,5236.86553894
"New Zealand",0.017164140677297,2820.19798906
"Nicaragua",2.45052511252411,105.21340786
"Niger",30.5578815023564,19.45087717
"Nigeria",31.88134931609,79.29829413
"Norway",0.10332535431986,8070.92644725
"Oman",0.21183333604915,479.01366884
"Pakistan",12.5204916458541,22.06499551
"Panama",1.29734969989878,493.08817356
"Papua New Guinea",3.14155357073812,39.89054017
"Paraguay",2.37497234621241,162.0668094
"Peru",1.08054671065488,256.32945861
"Philippines",2.17013947126779,64.67885035
"Poland",0.016118892954432,972.5138999
"Portugal",0,2383.88095707
"Qatar",0.13352026169971,1635.51268344
"Romania",0.14980922731209,516.84724414
"Russia",0.11841908579172,560.70749417
"Rwanda",22.4412975457002,44.07976003
"Samoa",1.89933523266857,168.19193756
"Sao Tome and Principe",13.6027982899339,82.83053087
"Saudi Arabia",1.01079707359856,581.01746674
"Senegal",14.9226751505665,65.58605669
"Serbia",0.026196983853926,673.41551388
"Sierra Leone",38.9787295058094,47.99418931
"Singapore",0,1434.29888612
"Slovak Republic",0.018198030973049,1398.66914518
"Slovenia",0,2257.5292104
"Solomon Islands",1.34961439588689,72.22520387
"South Africa",5.66914097899202,481.77771676
"Spain",0,3131.31302629
"Sri Lanka",0.55269630979449,67.73599135
"Sudan",10.7024825592745,96.75328571
"Suriname",1.43237159811745,403.79343468
"Swaziland",6.76369863013699,162.10472067
"Sweden",0.027960817574306,4865.99115069
"Switzerland",0,6998.97074141
"Syria",0.76073715260658,89.88517194
"Tajikistan",11.6628205460627,43.07761038
"Tanzania",10.830581701313,26.75674493
"Thailand",0.27231136039999,158.41721834
"Togo",10.4488345530691,37.45616559
"Tonga",1.39811254806012,206.86163349
"Trinidad and Tobago",0,909.22308459
"Tunisia",1.02083231453861,246.21716072
"Turkey",0.28855618797247,623.77323607
"Turkmenistan",6.00901804512637,83.6494936
"Uganda",20.2485888349948,45.31764489
"Ukraine",0.098095422867569,259.64421464
"United Arab Emirates",0.063932487293418,1526.89647496
"United Kingdom",0.005383630801367,3801.44539817
"United States",0.007274539294333,7719.62742794
"Uruguay",0.31773770752244,720.56841515
"Uzbekistan",4.50575826146049,57.40209764
"Vanuatu",2.12284177752618,110.77253678
"Venezuela",1.27145900338332,598.30683221
"Vietnam",0.31531486297862,70.09052721
"Zambia",20.0362049005656,72.58389754
