"Country","Injury","GDP_per_Person"
"Afghanistan",9.50735339907,984.805841434435
"Albania",1.4758545849159,6365.53035936449
"Algeria",0.90277972174789,6162.71983982498
"Angola",6.2067485788588,5488.45774780583
"Argentina",0.9416004596287,13457.9487462775
"Armenia",1.01897847407974,5346.9806575419
"Australia",0.40407366113186,34444.3330639544
"Austria",0.31637226469813,36700.3072450903
"Azerbaijan",0.89916118520307,8330.51262498759
"Bahamas",1.41693234148069,22560.0774446243
"Bahrain",1.21637092157985,31538.9359959238
"Bangladesh",1.20103535720961,1470.33214791842
"Barbados",0.69954529555789,16959.9006892376
"Belarus",1.98328228025544,11533.7399896272
"Belgium",0.45397989037226,33506.6017580775
"Belize",2.01748486886348,7297.02262590738
"Benin",2.51350386535344,1447.6369264305
"Bhutan",2.78041502780415,4579.65710375918
"Bolivia",1.49170808186129,3956.39668706737
"Bosnia and Herzegovina",0.93126127699203,7739.97652360728
"Botswana",1.5036957028189,13240.0610624653
"Brazil",0.86058575228142,9681.54835486593
"Brunei",0.77170418006431,46525.232469598
"Bulgaria",0.57778817185071,11426.8799052783
"Burkina Faso",4.05528393924427,1220.95336872295
"Burundi",6.13297972008821,457.404497558135
"Cambodia",3.03072239136452,1797.20037839448
"Cameroon",2.32291665187629,2020.09822964906
"Canada",0.33134620013877,35978.2095484015
"Cape Verde",0.83084081090063,3444.57053913748
"Central African Rep.",1.89668275382747,711.440652945228
"Chad",2.79678750634494,1656.47627304093
"Chile",0.51349619256505,13653.2996248994
"China",2.0026762274843,6481.59866430443
"Colombia",0.9820690736432,7186.0910111867
"Comoros",1.8183513614323,1026.02534523246
"Congo, Dem. Rep.",3.6250049808303,359.658528305841
"Congo, Rep.",1.78337225296696,3668.40677919881
"Costa Rica",0.31815048517949,9831.54755185184
"Cote d'Ivoire",1.37559394350783,1509.22750818159
"Croatia",0.33198956604221,14918.4507352992
"Cuba",0.4510331211492,9259.94522002074
"Cyprus",0.40318516278601,25900.624193734
"Czech Rep.",0.439995600044,23294.8763238796
"Denmark",0.19252675319675,34629.1011975181
"Djibouti",2.10900669919775,2105.68582245068
"Dominican Rep.",0.90106968569619,6195.69108185505
"Ecuador",1.54893016995503,7091.73586355785
"Egypt",0.99846904721141,5762.2594433321
"El Salvador",1.18228027280916,5827.17660993382
"Equatorial Guinea",1.79540376635812,15059.5907096556
"Eritrea",2.54334117026653,562.014933000928
"Estonia",0.94138320572361,18983.7765250644
"Ethiopia",2.6038686232861,765.941212073413
"Fiji",1.24455507156192,4185.99726160958
"Finland",0.18640908320624,33162.4027330664
"France",0.2647198891103,30459.7213215217
"Gabon",0.70805411556455,12453.3906250536
"Gambia",2.81524158701061,739.335423557237
"Georgia",1.05416490972515,4345.65577490643
"Germany",0.24027559610874,33157.2439621593
"Ghana",1.36943748636841,1391.187032899
"Greece",0.28118849001781,27256.4673706908
"Grenada",0.49701789264414,9298.8476250119
"Guatemala",1.68337523361802,5261.71061883662
"Guinea",1.88438206802645,970.901874681017
"Guinea-Bissau",3.72405090562147,582.437533438509
"Guyana",2.71619439142564,3669.78460650045
"Haiti",1.68384678458475,1191.83611868498
"Honduras",1.15111911601991,3620.99921333898
"Hungary",0.33469238726952,17922.2716764316
"Iceland",0,37921.9535050198
"India",1.8173851724764,2605.77092476447
"Indonesia",0.82635853865116,3686.60305387481
"Iran",1.19048820105126,11679.1893016507
"Iraq",2.15240556744275,3496.68419227387
"Ireland",0.26048827079203,38163.91179621
"Israel",0.20015440482658,26036.3923440958
"Italy",0.18867924528302,27950.9520435783
"Jamaica",1.52671755725191,7274.02173559466
"Japan",0.34723229743977,31079.6707954382
"Jordan",0.88584119862599,5037.16615728507
"Kazakhstan",1.86350101555875,10477.1827452162
"Kenya",4.25611862694201,1436.09866877488
"Korea, Dem. Rep.",1.31731768445504,1584.55230565388
"Korea, Rep.",0.63764072930158,23735.7702933565
"Kuwait",0.48422398264541,45620.5963949171
"Kyrgyzstan",1.04772120637613,2018.20054907352
"Laos",1.62542255097113,2185.00672943914
"Latvia",0.73500799861646,15987.0100149469
"Lebanon",0.94029149036201,12016.9832476878
"Lesotho",1.48280452255379,1625.46860323032
"Liberia",1.91150685873414,437.713601161059
"Libya",1.20603425954947,11787.4844297538
"Lithuania",1.14591291061879,17445.1557543887
"Luxembourg",0.36683785766691,73998.7104751099
"Macedonia, FYR",0.31470575012363,8601.9909002895
"Madagascar",1.99349857544883,1089.08820974261
"Malawi",2.16988223502882,769.4260960504
"Malaysia",0.53937922354817,12969.6741467774
"Maldives",1.22270742358079,5654.0258050368
"Mali",4.26661749792569,1078.48845139799
"Malta",1.08695652173913,22214.5263028362
"Mauritania",2.72318037828125,1822.58284007474
"Mauritius",0.60800353747513,11617.6084152851
"Mexico",1.52296157450797,11870.9570323346
"Micronesia, Fed. Sts.",1.43472022955524,5330.06601704576
"Moldova",2.3814293027086,2769.37034345943
"Mongolia",1.95414803174987,3300.27451367588
"Montenegro",0.52749571409732,9809.7045983702
"Morocco",0.91731623897248,4011.37704345564
"Mozambique",2.18596940783732,872.109691194885
"Myanmar",27.0657505820328,1445.05661058846
"Namibia",0.57881207333889,5025.94060935855
"Nepal",1.05229639772977,1138.86976511345
"Netherlands",0.25395247306483,37692.2980578829
"New Zealand",0.48059593896432,25160.5345750121
"Nicaragua",1.20740158605415,2904.07317946706
"Niger",2.515817140949,643.805349299792
"Nigeria",2.51131693506525,2100.10575071392
"Norway",0.30997606295958,48321.9058439174
"Oman",0.78215385618146,24358.5450044704
"Pakistan",1.39424699326261,2660.74984002263
