"Country","Meningitis","Energy_Consumption_per_Person"
"Albania",0.15192620727075,0.65565127521023
"Algeria",0.44369173921563,1.08761925022252
"Angola",3.47045396381422,0.657618232301606
"Argentina",0.12042039776453,1.93017265469479
"Armenia",1.37986668364964,0.973201146963369
"Australia",0.044897073459095,5.77881731283578
"Austria",0.092275243870287,4.02380085897368
"Azerbaijan",1.03795787822099,1.5154813200356
"Bahrain",0,8.78470750000713
"Bangladesh",1.14067742592959,0.191053023028177
"Belarus",0.2595919214994,2.93119579254322
"Belgium",0.16814070013788,5.46958157597596
"Benin",2.94656390269024,0.392489450668862
"Bolivia",1.36613061578623,0.617864844560453
"Bosnia and Herzegovina",0.087305744718002,1.5775687013071
"Botswana",2.94385496749052,1.10067208165245
"Brazil",0.29888606965463,1.29654122948752
"Brunei",0.12861736334405,9.43350966349966
"Bulgaria",0.17883919604903,2.59611957664531
"Cambodia",3.19125380570163,0.254186246856969
"Cameroon",3.41480106831448,0.340917516055683
"Canada",0.042480282069073,7.94584649320339
"Chile",0.099514766000979,1.80463244137912
"China",0.41045046704388,1.57483130701956
"Colombia",0.2874348508224,0.648981524196158
"Congo, Dem. Rep.",3.67697886222244,0.355988687361025
"Congo, Rep.",2.44713860721026,0.328359146571771
"Costa Rica",0.06628135107906,1.01446090377
"Cote d'Ivoire",2.66252926427196,0.541320704205776
"Croatia",0.023713540431586,2.04319418132612
"Cuba",0.085100588896075,0.932904821687944
"Cyprus",0,2.40126239437104
"Denmark",0.016043896099729,3.4950989520391
"Ecuador",0.54835688775419,0.784493844234154
"Egypt",0.9146016173015,0.917523723273246
"El Salvador",0.804272294428,0.733985161905421
"Eritrea",1.04370371997978,0.13688552307307
"Estonia",0.062758880381574,4.05787234042553
"Ethiopia",2.19747889650802,0.395909373838486
"Finland",0.033892560582952,6.63882253149067
"France",0.046558774466636,4.11362153930258
"Gabon",1.84599822986471,1.37170880708262
"Georgia",0.49833250277916,0.685393389146155
"Germany",0.070580956356941,4.06895399234518
"Ghana",0.78517940820737,0.385049356572956
"Greece",0.018745899334521,2.7069802922357
"Guatemala",1.10899523264599,0.595795468008332
"Haiti",1.79366287923158,0.284842587537072
"Honduras",0.69960256620175,0.636409173431021
"Hungary",0.13184851619708,2.63577998339939
"Iceland",0.21630975556998,16.8684683095264
"India",1.11006485305417,0.525737714602009
"Indonesia",0.71829444526862,0.795563970713674
"Iran",0.32356489241647,2.81920322057108
"Iraq",1.03065483126073,0.942801998204537
"Ireland",0.14471570599557,3.37930506997451
"Israel",0.050038601206645,3.13097526269702
"Italy",0.036636746656897,2.94163598821965
"Jamaica",0.47709923664122,1.58665972015481
"Japan",0.012573871495033,3.87890711210076
"Jordan",0.28678312185733,1.22152652496976
"Kazakhstan",0.66717937594079,4.47904226611218
"Kenya",2.43908592035329,0.461009577376067
"Kuwait",0,10.9350650675672
"Latvia",0.043235764624497,1.97895850745821
"Lebanon",0.37914979450081,1.30190752631143
"Libya",0.068137528788106,3.97938571814193
"Lithuania",0.12732365673542,2.80839548377587
"Luxembourg",0,8.6097963777755
"Macedonia, FYR",0,1.4668213380209
"Malaysia",0.023609191603119,2.65458089460231
"Malta",0.27173913043478,2.03077315208156
"Mexico",0.062968603561387,1.63692824866747
"Moldova",0.28933253210478,0.798450858755774
"Mongolia",1.49079334380918,1.18311481199067
"Montenegro",0,1.31137423810167
"Morocco",0.49346354170695,0.478550723684498
"Mozambique",2.95493776946694,0.420605250549638
"Myanmar",1.93291765633489,0.318153625007579
"Namibia",0.85119422549837,0.738270658991775
"Nepal",1.07279567820503,0.332069300093083
"Netherlands",0.07024217340091,4.8371668932826
"New Zealand",0.12014898474108,4.07914216777156
"Nicaragua",0.73587197256555,0.540914089187318
"Nigeria",2.92588828007305,0.738125378611314
"Norway",0.068883569546574,6.25002516666625
"Oman",0.065179488015122,6.02556956620172
"Pakistan",1.16508907460111,0.487399250194058
"Panama",0.27087521206678,0.914719768488769
"Paraguay",0.48150124279375,0.697873694151848
"Peru",0.75703956475973,0.528553397356276
"Philippines",1.10966942048957,0.44369547787396
"Poland",0.048356678863296,2.56761348672429
"Portugal",0.047786071315933,2.29987941534565
"Qatar",0,15.3104307837772
"Romania",0.070223075302544,1.83841897937967
"Russia",0.18054057342016,4.85017759070095
"Saudi Arabia",0.079576989043772,5.88824579266753
"Senegal",0.98038381707442,0.261036726264755
"Serbia",0.078590951561777,2.29464324950229
"Singapore",0.026892564205997,4.92368992023805
"Slovak Republic",0.072792123892195,3.38548847284795
"Slovenia",0,3.82902574362445
"South Africa",0.55619340136547,3.02759624111825
"Spain",0.095669042108627,3.05189880014179
"Sri Lanka",0.09029197140207,0.442296285304447
"Sudan",1.91440946139583,0.36427407931
"Sweden",0.046601362623843,5.3799591025113
"Switzerland",0.013780558388226,3.50133367330594
"Syria",0.21686938871635,1.17385156038036
"Tajikistan",1.9394819405191,0.369288802250525
"Tanzania",3.05638620437367,0.448657102366213
"Thailand",0.037877895995487,1.57695718909635
"Togo",1.76262391246105,0.443614905527021
"Trinidad and Tobago",0,14.5308255198942
"Tunisia",0.92914078928065,0.912673953663991
"Turkey",0.52370351853102,1.38884019495309
"Turkmenistan",1.14758690485872,4.4937471484606
"Ukraine",0.33134453946379,2.94314450194776
"United Arab Emirates",0.063932487293418,9.39784694511008
"United Kingdom",0.092867631323579,3.39436448025191
"United States",0.036600025824614,7.48793030309585
"Uruguay",0.13901024704107,1.24567553235522
"Uzbekistan",1.13863927184922,1.84971962479901
"Venezuela",0.17543126853515,2.51181449794165
