"Country","Infections","Water_per_Person"
"South Africa",2.94406820195593,1035.57
"Spain",0.48648725668004,2540.62
"Sri Lanka",1.49392170865243,2603.15
"Sudan",8.44624182363512,1710.53
"Suriname",3.17167996726008,267971.08
"Swaziland",4.79452054794521,3978.426
"Sweden",0.19572572302014,19166.84
"Switzerland",0.34451395970565,7176.58
"Syria",1.91285578016221,865.4875
"Tajikistan",9.88409780382192,2406.685
"Tanzania",8.45502330677954,2439.765
"Thailand",0.80976799276839,6461.5144
"Togo",6.55696095435509,2293.13
"Trinidad and Tobago",0.65712985896982,2890.625
"Tunisia",1.9194092620666,449.8189
"Turkey",1.4153347214691,2889.0272
"Turkmenistan",7.21985777151274,5045.458
"Uganda",10.8444610622168,2207.46
"Ukraine",1.07904965154326,2997.373
"United Arab Emirates",0.41556116740722,35.306
"United Kingdom",0.62988480375993,2429.26
"United States",0.86180557702555,10074.58
"Uruguay",1.60854714433235,41726.76
"Uzbekistan",4.5780528184033,1868.385
"Venezuela",1.11273547470866,45351.788
"Vietnam",0.94259729739681,10338.159
"Yemen, Rep.",3.70636158246861,96.63
"Zambia",16.7622790653089,8994.4
"Zimbabwe",5.64739896636448,1511.92
