"Country","Meningitis","Agriculture_Land"
"Afghanistan",5.95697451594163,58.123668031216
"Albania",0.15192620727075,43.1021897810219
"Algeria",0.44369173921563,17.344042590711
"Angola",3.47045396381422,46.274163792412
"Argentina",0.12042039776453,51.5220942086974
"Armenia",1.37986668364964,61.3412921348315
"Australia",0.044897073459095,54.3181078583237
"Austria",0.092275243870287,38.4596725288053
"Azerbaijan",1.03795787822099,57.5647542967804
"Bahamas",0.17711654268509,1.2987012987013
"Bahrain",0,9.21052631578947
"Bangladesh",1.14067742592959,69.0020742106476
"Barbados",0,44.1860465116279
"Belarus",0.2595919214994,43.9477575160177
"Belgium",0.16814070013788,45.3434610303831
"Belize",0.13449899125757,6.66374397194213
"Benin",2.94656390269024,30.6906526848671
"Bhutan",2.9838600298386,13.0763219588434
"Bolivia",1.36613061578623,33.9878150096926
"Bosnia and Herzegovina",0.087305744718002,41.7647058823529
"Botswana",2.94385496749052,45.6160782030244
"Brazil",0.29888606965463,31.290561291436
"Brunei",0.12861736334405,2.08728652751423
"Bulgaria",0.17883919604903,46.9662093729859
"Burkina Faso",1.95203027797355,45.1754385964912
"Burundi",3.69348073624584,85.2803738317757
"Cambodia",3.19125380570163,31.4695218672105
"Cameroon",3.41480106831448,19.4897505870407
"Canada",0.042480282069073,7.43387316888638
"Cape Verde",1.08009305417082,23.0769230769231
"Central African Rep.",3.13082564159191,8.36302931073229
"Chad",3.07365743165024,39.09625158831
"Chile",0.099514766000979,21.1652522426802
"China",0.41045046704388,56.0219909343145
"Colombia",0.2874348508224,38.408292023434
"Comoros",4.14957105557628,80.6451612903226
"Congo, Dem. Rep.",3.67697886222244,9.90273703711872
"Congo, Rep.",2.44713860721026,30.8931185944363
"Costa Rica",0.06628135107906,35.2526439482961
"Cote d'Ivoire",2.66252926427196,63.8364779874214
"Croatia",0.023713540431586,23.0164403145104
"Cuba",0.085100588896075,61.3491168733559
"Cyprus",0,12.4458874458874
"Czech Rep.",0.073332600007333,54.9385113268608
"Denmark",0.016043896099729,62.880037709168
"Djibouti",1.44735753866512,73.3822260569456
"Dominican Rep.",0.34347705840894,50.6415562913907
"Ecuador",0.54835688775419,29.9766468030279
"Egypt",0.9146016173015,3.55818976342358
"El Salvador",0.804272294428,74.9517374517375
"Equatorial Guinea",2.43376954995212,11.0516934046346
"Eritrea",1.04370371997978,74.970297029703
"Estonia",0.062758880381574,21.3965557914602
"Ethiopia",2.19747889650802,34.513
"Fiji",0.11314137014199,23.4263820470717
"Finland",0.033892560582952,7.55511681474169
"France",0.046558774466636,53.5350399883139
"Gabon",1.84599822986471,19.9479954981178
"Gambia",1.0966348042425,65.5
"Georgia",0.49833250277916,36.3073823571737
"Germany",0.070580956356941,48.5385652410865
"Ghana",0.78517940820737,68.1198910081744
"Greece",0.018745899334521,63.8401861908456
"Grenada",0,35.2941176470588
"Guatemala",1.10899523264599,39.3617021276596
"Guinea",2.59070660502689,57.9521406478919
"Guinea-Bissau",5.46296723758521,57.9658605974396
"Guyana",0.80751725150492,8.50901701803404
"Haiti",1.79366287923158,64.2235123367199
"Honduras",0.69960256620175,28.4565197962284
"Hungary",0.13184851619708,64.6133244057583
"Iceland",0.21630975556998,22.7531172069825
"India",1.11006485305417,60.4428240374816
"Indonesia",0.71829444526862,28.7043834905634
"Iran",0.32356489241647,29.6546007184305
"Iraq",1.03065483126073,21.6064201934289
"Ireland",0.14471570599557,60.9667586006677
"Israel",0.050038601206645,23.7985212569316
"Italy",0.036636746656897,49.1160671788944
"Jamaica",0.47709923664122,41.4589104339797
"Japan",0.012573871495033,12.6968449931413
"Jordan",0.28678312185733,11.0154125113327
"Kazakhstan",0.66717937594079,76.9715153535578
"Kenya",2.43908592035329,47.7914045753242
"Korea, Dem. Rep.",1.93777125741182,24.4996262768873
"Korea, Rep.",0.026568363720899,18.6024940739977
"Kuwait",0,8.47362514029181
"Kyrgyzstan",1.3470701224836,55.9280500521376
"Laos",2.56769649356309,9.86568457538995
"Latvia",0.043235764624497,29.34555394758
"Lebanon",0.37914979450081,67.1554252199414
"Lesotho",2.10625642408209,77.7997364953887
"Liberia",2.38594561144154,27.0971760797342
"Libya",0.068137528788106,8.83753708355593
"Lithuania",0.12732365673542,42.6360299984043
"Luxembourg",0,50.5791505791506
"Macedonia, FYR",0,42.1323820848197
"Madagascar",2.91603733226237,70.2359253017849
"Malawi",2.65597594587823,58.0398812049215
"Malaysia",0.023609191603119,23.9537361132248
"Maldives",0.69868995633188,26.6666666666667
"Mali",1.9581451092468,33.1923716798204
"Malta",0.27173913043478,28.125
"Mauritania",2.53793001241177,38.4796740079558
"Mauritius",0.2210921954455,48.2758620689655
"Mexico",0.062968603561387,52.9344890557885
"Micronesia, Fed. Sts.",1.79340028694405,31.4285714285714
"Moldova",0.28933253210478,75.4332623897841
"Mongolia",1.49079334380918,74.5545714359278
"Montenegro",0,38.1412639405204
"Morocco",0.49346354170695,67.1767869146314
"Mozambique",2.95493776946694,62.3744245784481
"Myanmar",1.93291765633489,18.7859591137226
"Namibia",0.85119422549837,47.1377036038334
"Nepal",1.07279567820503,29.3686780606906
"Netherlands",0.07024217340091,57.1386255924171
"New Zealand",0.12014898474108,43.1962325775702
"Nicaragua",0.73587197256555,42.7621738407844
"Niger",3.58589320994994,34.5638272677035
"Nigeria",2.92588828007305,85.0928335364582
"Norway",0.068883569546574,3.35221134644973
"Oman",0.065179488015122,5.7092084006462
"Pakistan",1.16508907460111,34.0909090909091
"Panama",0.27087521206678,29.9973096583266
