"Country","NCD","Energy_Consumption_per_Person"
"Albania",4.21052631578947,0.65565127521023
"Algeria",1.1869103938639,1.08761925022252
"Angola",6.99131675615311,0.657618232301606
"Argentina",2.80303865639853,1.93017265469479
"Armenia",2.6960472126693,0.973201146963369
"Australia",1.21596240618382,5.77881731283578
"Austria",1.09412074874769,4.02380085897368
"Azerbaijan",1.72590670448374,1.5154813200356
"Bahrain",3.57756153405839,8.78470750000713
"Bangladesh",0.80972934862129,0.191053023028177
"Belarus",3.2604745340325,2.93119579254322
"Belgium",1.24424118102028,5.46958157597596
"Benin",1.87269205334831,0.392489450668862
"Bolivia",2.80836878676946,0.617864844560453
"Bosnia and Herzegovina",2.64827425644607,1.5775687013071
"Botswana",3.43096765995298,1.10067208165245
"Brazil",2.7299119896472,1.29654122948752
"Brunei",1.67202572347267,9.43350966349966
"Bulgaria",2.17358407505744,2.59611957664531
"Cambodia",5.80404096318849,0.254186246856969
"Cameroon",2.33569553321302,0.340917516055683
"Canada",1.37636113903796,7.94584649320339
"Chile",2.34058729634303,1.80463244137912
"China",2.0499362100527,1.57483130701956
"Colombia",1.99135735664459,0.648981524196158
"Congo, Dem. Rep.",3.57372408452339,0.355988687361025
"Congo, Rep.",2.15124276254758,0.328359146571771
"Costa Rica",2.28007847711968,1.01446090377
"Cote d'Ivoire",1.30355881252857,0.541320704205776
"Croatia",1.20939056201091,2.04319418132612
"Cuba",1.71903189570072,0.932904821687944
"Cyprus",1.31035177905453,2.40126239437104
"Denmark",1.20329220747966,3.4950989520391
"Ecuador",3.4717400361061,0.784493844234154
"Egypt",2.40585384735632,0.917523723273246
"El Salvador",2.88733753699653,0.733985161905421
"Eritrea",1.90063940585792,0.13688552307307
"Estonia",1.25517760763148,4.05787234042553
"Ethiopia",3.23656925598673,0.395909373838486
"Finland",1.03372309778004,6.63882253149067
"France",1.01498128337266,4.11362153930258
"Gabon",0.78391705651789,1.37170880708262
"Georgia",1.97416337639437,0.685393389146155
"Germany",1.05871434535412,4.06895399234518
"Ghana",0.74552388254033,0.385049356572956
"Greece",1.07788921173493,2.7069802922357
"Guatemala",2.80120708166358,0.595795468008332
"Haiti",1.93276326578423,0.284842587537072
"Honduras",2.46597500285299,0.636409173431021
"Hungary",1.65317754924035,2.63577998339939
"Iceland",1.08154877784988,16.8684683095264
"India",2.75708526063505,0.525737714602009
"Indonesia",1.08632851768767,0.795563970713674
"Iran",2.54239853105863,2.81920322057108
"Iraq",0.92684786983878,0.942801998204537
"Ireland",1.56292962475217,3.37930506997451
"Israel",1.65127383981929,3.13097526269702
"Italy",1.29694083165415,2.94163598821965
"Jamaica",3.72137404580153,1.58665972015481
"Japan",1.37732253914827,3.87890711210076
"Jordan",2.19867060090623,1.22152652496976
"Kazakhstan",4.52893192141087,4.47904226611218
"Kenya",2.95292710226767,0.461009577376067
"Kuwait",2.98281973309574,10.9350650675672
"Latvia",2.16178823122487,1.97895850745821
"Lebanon",2.09290686564448,1.30190752631143
"Libya",3.01849252531309,3.97938571814193
"Lithuania",1.94168576521518,2.80839548377587
"Luxembourg",0.73367571533382,8.6097963777755
"Macedonia, FYR",1.79831857213505,1.4668213380209
"Malaysia",1.61813767064451,2.65458089460231
"Malta",2.17391304347826,2.03077315208156
"Mexico",4.31896282411746,1.63692824866747
"Moldova",3.85034831185596,0.798450858755774
"Mongolia",4.37165075144043,1.18311481199067
"Montenegro",1.7143610708163,1.31137423810167
"Morocco",0.90030025477569,0.478550723684498
"Mozambique",2.21449197317966,0.420605250549638
"Myanmar",2.05844452594974,0.318153625007579
"Namibia",0.52774041980899,0.738270658991775
"Nepal",0.7543735214894,0.332069300093083
"Netherlands",1.09145530976798,4.8371668932826
"New Zealand",0.84104289318755,4.07914216777156
"Nicaragua",2.73630063585054,0.540914089187318
"Nigeria",2.39767893133162,0.738125378611314
"Norway",0.94714908126539,6.25002516666625
"Oman",2.08574361648389,6.02556956620172
"Pakistan",2.44391392731141,0.487399250194058
"Panama",3.70671342828222,0.914719768488769
"Paraguay",2.24483687518707,0.697873694151848
"Peru",2.95426068764153,0.528553397356276
"Philippines",2.88174126409282,0.44369547787396
"Poland",1.61457577760226,2.56761348672429
"Portugal",1.08952242600327,2.29987941534565
"Qatar",2.33660457974498,15.3104307837772
"Romania",1.80239226609864,1.83841897937967
"Russia",2.39038307603605,4.85017759070095
"Saudi Arabia",3.59789578123439,5.88824579266753
"Senegal",1.8544353329477,0.261036726264755
"Serbia",1.37970781630675,2.29464324950229
"Singapore",0.99502487562189,4.92368992023805
"Slovak Republic",2.1655656857928,3.38548847284795
"Slovenia",0.56488471216556,3.82902574362445
"South Africa",2.42361045570291,3.02759624111825
"Spain",1.30272738190471,3.05189880014179
"Sri Lanka",2.42967486681934,0.442296285304447
"Sudan",2.14821279344054,0.36427407931
"Sweden",1.08115161287316,5.3799591025113
"Switzerland",1.00598076234049,3.50133367330594
"Syria",2.97517692645247,1.17385156038036
"Tajikistan",2.35434438768896,0.369288802250525
"Tanzania",1.8336059090886,0.448657102366213
"Thailand",1.55606491657137,1.57695718909635
"Togo",1.24088723437258,0.443614905527021
"Trinidad and Tobago",4.49881211140879,14.5308255198942
"Tunisia",2.85466281969778,0.912673953663991
"Turkey",2.64448023167576,1.38884019495309
"Turkmenistan",1.60842889027443,4.4937471484606
"Ukraine",3.89111844041357,2.94314450194776
"United Arab Emirates",1.47044720774862,9.39784694511008
"United Kingdom",1.47646074727487,3.39436448025191
"United States",1.66586949840233,7.48793030309585
"Uruguay",3.35610453570577,1.24567553235522
