"Country","Pneumonia","Health_Spending_per_Person"
"Afghanistan",57.3200157339171,31.80972721
"Albania",2.30059685295713,275.14252038
"Algeria",5.18433502225457,185.84823354
"Angola",38.6596938762321,148.87881676
"Argentina",0.92273943347281,698.45126835
"Armenia",2.58990362161933,142.71827452
"Australia",0.11224268364774,4229.03306558
"Austria",0.039546533087266,5153.35866142
"Azerbaijan",6.47516746122744,233.86044575
"Bahamas",0.88558271342543,1833.42556935
"Bahrain",0.14310246136234,793.46605183
"Barbados",0.34977264777894,958.17848445
"Belarus",0.10383676859976,373.3470911
"Belgium",0.042035175034469,4754.27522232
"Belize",2.01748486886348,218.95707454
"Benin",16.4065380361313,33
"Bhutan",15.3940051539401,94.06479136
"Bolivia",8.6305967593403,85.35091165
"Bosnia and Herzegovina",1.42599383039404,505.60255386
"Botswana",2.16023889700743,535.99084407
"Brazil",1.66931734808182,714.98985619
"Brunei",0.12861736334405,877.06180369
"Bulgaria",2.03601546271203,474.17284604
"Burkina Faso",26.9593833415651,36.5127274
"Burundi",24.1931996713703,18.31932186
"Cambodia",23.62856352062,38.85543014
"Cameroon",20.3865753591931,63.83446755
"Canada",0.022656150436839,4622.62643606
"Cape Verde",2.65869059488202,155.65526461
"Chad",32.8572374400366,28.03009406
"Chile",0.41796201720411,764.79717839
"China",3.10796424454201,156.59905287
"Colombia",1.91405480206735,376.99900347
"Comoros",19.9552405818724,34.45666035
"Congo, Dem. Rep.",30.5325763626252,13.70413496
"Congo, Rep.",17.393877355171,80.40646768
"Costa Rica",0.34466302561111,617.698283
"Cote d'Ivoire",12.5105628437253,71.8341187
"Croatia",0.11856770215793,1224.05169259
"Cuba",0.35742247336352,584.63866145
"Cyprus",0.1007962906965,1917.63775016
"Denmark",0.048131688299187,6345.45678188
"Djibouti",14.3495161690514,82.4769433
"Ecuador",3.03020591869363,270.06460048
"Egypt",1.46792815191419,101.23318902
"El Salvador",1.8498262771844,215.93487107
"Equatorial Guinea",14.044047239068,750.74928627
"Eritrea",9.50319702928962,10.65961855
"Estonia",0.062758880381574,1057.76180424
"Ethiopia",12.7681380108565,14.04323536
"Fiji",1.58397918198789,153.0510915
"Finland",0.08473140145738,4253.8644363
"France",0.06518228425329,4940.96210783
"Gabon",6.06903527626754,263.33276432
"Gambia",11.5719523373052,26.37122177
"Georgia",4.08249319584467,261.87692087
"Germany",0.060068899027184,4718.15917267
"Ghana",5.43148516552877,68.51149554
"Greece",0.25306964101603,3078.40821387
"Grenada",0.49701789264414,474.09007171
"Guatemala",5.91832316386178,198.5067007
"Guinea",17.0257362222092,25.97621308
"Guinea-Bissau",30.2848437283597,33.13959396
"Guyana",8.8826897665541,153.50783449
"Haiti",12.8301803912381,35.33440734
"Honduras",4.10830443131242,115.68858452
"Hungary",0.34483458082314,1118.72597813
"Iceland",0,4929.15294483
"India",7.56471575911604,43.12475092
"Indonesia",7.26707329731513,53.36093578
"Iran",3.69685500689647,276.56244084
"Iraq",6.01127047009724,160.73176522
"Ireland",0,5241.04343506
"Israel",0.071483716009493,2073.08312967
"Italy",0.054955119985345,3471.67858616
"Jamaica",6.27862595419847,272.32557757
"Japan",0.2089197109944,3253.10202246
"Jordan",1.17899727874682,329.55214282
"Kazakhstan",4.27257728434988,329.80684978
"Kenya",18.6987735527139,32.99259206
"Kuwait",0.3486412675047,1116.62940353
"Latvia",0.30265035237148,974.29906376
"Lebanon",0.57630768764123,555.76301814
"Lesotho",8.55982610746963,66.26062832
"Liberia",19.5826314160965,27.47533374
"Libya",0.899415380003,468.62516883
"Lithuania",0.2864782276547,934.40671484
"Luxembourg",0,8054.81635894
"Macedonia, FYR",0.62941150024727,326.64042808
"Madagascar",19.3689485677368,21.642137
"Malawi",10.4284640440992,21.2317324
"Malaysia",0.17797698285428,306.35306225
"Maldives",3.14410480349345,454.99057309
"Mali",25.1369042131465,33.62161099
"Malta",0.54347826086957,1596.18750451
"Mauritania",16.5891702636113,47.27623307
"Mauritius",1.05018792836613,395.07092927
"Mexico",1.90174945329585,597.703288
"Micronesia, Fed. Sts.",10.0430416068867,306.0551423
"Moldova",2.67076183481338,193.56839177
"Mongolia",9.9117611507313,120.31288077
"Montenegro",0.39562178557299,573.91692048
"Morocco",3.41557210059231,147.36903771
"Mozambique",16.0559224825128,18.09859681
"Myanmar",14.0344924301414,10.65229369
"Namibia",3.91549343729252,275.23664539
"Netherlands",0.064838929293148,5236.86553894
"New Zealand",0.17164140677297,2820.19798906
"Nicaragua",4.08658998356791,105.21340786
"Niger",28.4746483041951,19.45087717
"Nigeria",26.7711229408918,79.29829413
"Norway",0,8070.92644725
"Oman",0.37478205608695,479.01366884
"Pakistan",9.78483701588048,22.06499551
"Panama",2.73726530088533,493.08817356
"Papua New Guinea",13.4458492827592,39.89054017
"Paraguay",3.44858998217144,162.0668094
"Peru",2.41727166882064,256.32945861
"Philippines",6.05823147945636,64.67885035
"Poland",0.26596173374813,972.5138999
"Portugal",0.086014928368679,2383.88095707
"Qatar",0.26704052339943,1635.51268344
"Romania",3.26303223239156,516.84724414
"Russia",0.5603875863149,560.70749417
"Rwanda",13.8186185351619,44.07976003
"Samoa",3.79867046533713,168.19193756
"Sao Tome and Principe",22.1531286436067,82.83053087
"Saudi Arabia",1.25799367786219,581.01746674
"Senegal",13.4021232433904,65.58605669
"Serbia",0.34929311805234,673.41551388
"Sierra Leone",31.2717040143745,47.99418931
"Singapore",0.32271077047196,1434.29888612
"Slovak Republic",0.76431730086805,1398.66914518
"Slovenia",0,2257.5292104
