"Country","Total","Energy_Production_per_Person"
"Albania",10.5263157894737,0.000362527216817
"Algeria",18.0905858970411,0.004706747653394
"Angola",166.795058383764,0.005864105117407
"Argentina",6.30683697689669,0.002086386721477
"Armenia",9.87135396764743,0.000258865371456
"Australia",2.2673022096843,0.013992916970522
"Austria",1.93778012127603,0.001345537165453
"Azerbaijan",18.4659948102106,0.006555938660047
"Bahrain",6.36805953062393,0.016622412123619
"Bangladesh",20.1347643897536,0.000160813647121
"Belarus",6.41711229946524,0.000416531156354
"Belgium",2.48007532703366,0.001371882087879
"Benin",82.2726288499915,0.0002321532603
"Bolivia",29.1606097737322,0.001680905978147
"Bosnia and Herzegovina",6.60613468366218,0.001152223909719
"Botswana",14.952241777326,0.000530446761905
"Brazil",10.7937164357063,0.001191397585079
"Brunei",3.21543408360129,0.054917269525208
"Bulgaria",6.36942675159236,0.001349447171389
"Cambodia",58.3697758095765,0.000261025965799
"Cameroon",95.8742671666522,0.000495881874608
"Canada",2.52616077370754,0.012184057353176
"Chile",4.23136785036164,0.000539191798706
"China",9.02064577429856,0.001497995339858
"Colombia",7.6834384176276,0.002079636278734
"Congo, Dem. Rep.",135.422798862811,0.000362710778845
"Congo, Rep.",89.840376187582,0.003452943548524
"Costa Rica",3.72501193064319,0.00059047319357
"Cote d'Ivoire",69.1246346295039,0.000601209079451
"Croatia",2.08679155797961,0.000895155630324
"Cuba",3.11468155359635,0.000505826222907
"Cyprus",2.11672210462655,7.6948860772e-05
"Czech Rep.",1.9249807501925,0.00316256053202
"Denmark",1.7808724670699,0.004842909407361
"Dominican Rep.",14.2297638483705,0.000194718171272
"Ecuador",13.6448285316498,0.002030823789869
"Egypt",8.74950684462442,0.00111700021876
"El Salvador",10.6083515635053,0.000507348406787
"Eritrea",39.5783436971282,0.000110275630968
"Estonia",2.8869084975524,0.003148217964527
"Ethiopia",64.6082073266539,0.000372341011368
"Finland",1.50821894594137,0.003105915655412
"France",1.87565348565591,0.002210556443689
"Gabon",48.8051586799848,0.009315025063607
