"Country","NCD","Agriculture_Land"
"Afghanistan",12.0243071676821,58.123668031216
"Albania",4.21052631578947,43.1021897810219
"Algeria",1.1869103938639,17.344042590711
"Angola",6.99131675615311,46.274163792412
"Argentina",2.80303865639853,51.5220942086974
"Armenia",2.6960472126693,61.3412921348315
"Australia",1.21596240618382,54.3181078583237
"Austria",1.09412074874769,38.4596725288053
"Azerbaijan",1.72590670448374,57.5647542967804
"Bahamas",3.36521431101665,1.2987012987013
"Bahrain",3.57756153405839,9.21052631578947
"Bangladesh",0.80972934862129,69.0020742106476
"Barbados",1.04931794333683,44.1860465116279
"Belarus",3.2604745340325,43.9477575160177
"Belgium",1.24424118102028,45.3434610303831
"Belize",2.55548083389375,6.66374397194213
"Benin",1.87269205334831,30.6906526848671
"Bhutan",4.068900040689,13.0763219588434
"Bolivia",2.80836878676946,33.9878150096926
"Bosnia and Herzegovina",2.64827425644607,41.7647058823529
"Botswana",3.43096765995298,45.6160782030244
"Brazil",2.7299119896472,31.290561291436
"Brunei",1.67202572347267,2.08728652751423
"Bulgaria",2.17358407505744,46.9662093729859
"Burkina Faso",4.184309394718,45.1754385964912
"Burundi",4.06463050779054,85.2803738317757
"Cambodia",5.80404096318849,31.4695218672105
"Cameroon",2.33569553321302,19.4897505870407
"Canada",1.37636113903796,7.43387316888638
"Cape Verde",1.66168162180126,23.0769230769231
"Central African Rep.",2.54623164212454,8.36302931073229
"Chad",2.69847861982349,39.09625158831
"Chile",2.34058729634303,21.1652522426802
"China",2.0499362100527,56.0219909343145
"Colombia",1.99135735664459,38.408292023434
"Comoros",2.89071242073853,80.6451612903226
"Congo, Dem. Rep.",3.57372408452339,9.90273703711872
"Congo, Rep.",2.15124276254758,30.8931185944363
"Costa Rica",2.28007847711968,35.2526439482961
"Cote d'Ivoire",1.30355881252857,63.8364779874214
"Croatia",1.20939056201091,23.0164403145104
"Cuba",1.71903189570072,61.3491168733559
"Cyprus",1.31035177905453,12.4458874458874
"Czech Rep.",0.769992300077,54.9385113268608
"Denmark",1.20329220747966,62.880037709168
"Djibouti",3.80448267306261,73.3822260569456
"Dominican Rep.",2.01179419925238,50.6415562913907
"Ecuador",3.4717400361061,29.9766468030279
"Egypt",2.40585384735632,3.55818976342358
"El Salvador",2.88733753699653,74.9517374517375
"Equatorial Guinea",1.1171401212895,11.0516934046346
"Eritrea",1.90063940585792,74.970297029703
"Estonia",1.25517760763148,21.3965557914602
"Ethiopia",3.23656925598673,34.513
"Fiji",3.11138767890479,23.4263820470717
"Finland",1.03372309778004,7.55511681474169
"France",1.01498128337266,53.5350399883139
"Gabon",0.78391705651789,19.9479954981178
"Gambia",1.554929946314,65.5
"Georgia",1.97416337639437,36.3073823571737
"Germany",1.05871434535412,48.5385652410865
"Ghana",0.74552388254033,68.1198910081744
"Greece",1.07788921173493,63.8401861908456
"Grenada",0.99403578528827,35.2941176470588
"Guatemala",2.80120708166358,39.3617021276596
"Guinea",1.80788482575203,57.9521406478919
"Guinea-Bissau",3.37011218318637,57.9658605974396
"Guyana",5.57921010130671,8.50901701803404
"Haiti",1.93276326578423,64.2235123367199
"Honduras",2.46597500285299,28.4565197962284
"Hungary",1.65317754924035,64.6133244057583
"Iceland",1.08154877784988,22.7531172069825
"India",2.75708526063505,60.4428240374816
"Indonesia",1.08632851768767,28.7043834905634
"Iran",2.54239853105863,29.6546007184305
"Iraq",0.92684786983878,21.6064201934289
"Ireland",1.56292962475217,60.9667586006677
"Israel",1.65127383981929,23.7985212569316
"Italy",1.29694083165415,49.1160671788944
"Jamaica",3.72137404580153,41.4589104339797
"Japan",1.37732253914827,12.6968449931413
"Jordan",2.19867060090623,11.0154125113327
"Kazakhstan",4.52893192141087,76.9715153535578
"Kenya",2.95292710226767,47.7914045753242
"Korea, Dem. Rep.",2.05085885445321,24.4996262768873
"Korea, Rep.",1.57417555046329,18.6024940739977
"Kuwait",2.98281973309574,8.47362514029181
"Kyrgyzstan",1.26391764578708,55.9280500521376
"Laos",3.18606376838906,9.86568457538995
"Latvia",2.16178823122487,29.34555394758
"Lebanon",2.09290686564448,67.1554252199414
"Lesotho",0.85935262102549,77.7997364953887
"Liberia",2.764121428817,27.0971760797342
"Libya",3.01849252531309,8.83753708355593
"Lithuania",1.94168576521518,42.6360299984043
"Luxembourg",0.73367571533382,50.5791505791506
"Macedonia, FYR",1.79831857213505,42.1323820848197
"Madagascar",3.11975251515495,70.2359253017849
"Malawi",2.10807650547064,58.0398812049215
"Malaysia",1.61813767064451,23.9537361132248
"Maldives",2.44541484716157,26.6666666666667
"Mali",4.42703051534987,33.1923716798204
"Malta",2.17391304347826,28.125
"Mauritania",2.63981771363998,38.4796740079558
"Mauritius",2.98474463851426,48.2758620689655
"Mexico",4.31896282411746,52.9344890557885
"Micronesia, Fed. Sts.",5.02152080344333,31.4285714285714
"Moldova",3.85034831185596,75.4332623897841
"Mongolia",4.37165075144043,74.5545714359278
"Montenegro",1.7143610708163,38.1412639405204
"Morocco",0.90030025477569,67.1767869146314
"Mozambique",2.21449197317966,62.3744245784481
"Myanmar",2.05844452594974,18.7859591137226
"Namibia",0.52774041980899,47.1377036038334
"Nepal",0.7543735214894,29.3686780606906
"Netherlands",1.09145530976798,57.1386255924171
"New Zealand",0.84104289318755,43.1962325775702
"Nicaragua",2.73630063585054,42.7621738407844
"Niger",2.98381731297069,34.5638272677035
"Nigeria",2.39767893133162,85.0928335364582
"Norway",0.94714908126539,3.35221134644973
"Oman",2.08574361648389,5.7092084006462
"Pakistan",2.44391392731141,34.0909090909091
"Panama",3.70671342828222,29.9973096583266
"Papua New Guinea",3.95352433979043,2.62774367354149
"Paraguay",2.24483687518707,52.4465139692927
"Peru",2.95426068764153,16.7421875
"Philippines",2.88174126409282,39.5747392427139
"Poland",1.61457577760226,53.099730458221
"Portugal",1.08952242600327,40.8002623811086
"Qatar",2.33660457974498,5.52200172562554
"Romania",1.80239226609864,58.9212701174424
"Russia",2.39038307603605,13.1584362579663
"Rwanda",2.7195557397266,81.0701256586948
"Saint Lucia",0.98846787479407,18.0327868852459
"Saint Vincent and the Grenadines",1.04329681794471,25.6410256410256
"Samoa",3.79867046533713,23.321554770318
"Sao Tome and Principe",9.52195880295375,57.2916666666667
"Saudi Arabia",3.59789578123439,80.7232670757179
"Senegal",1.8544353329477,48.3249363735522
"Serbia",1.37970781630675,57.8092842442259
"Sierra Leone",4.91994999395088,47.6682490924323
"Singapore",0.99502487562189,0
"Slovak Republic",2.1655656857928,40.2702702702703
"Slovenia",0.56488471216556,24.428997020854
"Solomon Islands",3.2133676092545,3.03679885673455
"Somalia",4.46447768140577,70.1804444161061
"South Africa",2.42361045570291,81.8282872364076
"Spain",1.30272738190471,56.4194065757819
"Sri Lanka",2.42967486681934,42.1782809759209
"Sudan",2.14821279344054,56.8371212121212
"Suriname",4.09249028033558,0.455128205128205
"Swaziland",1.51255707762557,71.1627906976744
"Sweden",1.08115161287316,7.53765170346542
"Switzerland",1.00598076234049,38.125
"Syria",2.97517692645247,75.6806795905032
"Tajikistan",2.35434438768896,33.7739354101172
"Tanzania",1.8336059090886,39.4558591104087
"Thailand",1.55606491657137,38.6247528822251
"Togo",1.24088723437258,62.6034197462769
"Tonga",3.4952813701503,41.6666666666667
"Trinidad and Tobago",4.49881211140879,10.5263157894737
"Tunisia",2.85466281969778,63.6006694129763
"Turkey",2.64448023167576,50.8322180788171
"Turkmenistan",1.60842889027443,69.399697827336
"Uganda",1.74805015989678,68.8754316600771
"Ukraine",3.89111844041357,71.2766691983705
"United Arab Emirates",1.47044720774862,6.80622009569378
"United Kingdom",1.47646074727487,73.0955234985326
"United States",1.66586949840233,44.2049233554379
"Uruguay",3.35610453570577,85.0759913152783
"Uzbekistan",1.06272998705927,62.5763986835919
"Vanuatu",3.96263798471554,15.3404429860541
"Venezuela",2.56296729459922,24.2049770421178
"Vietnam",1.49958660949493,33.0248008514206
