"Country","Total","GDP_per_Person"
"Afghanistan",195.188069970211,984.805841434435
"Albania",10.5263157894737,6365.53035936449
"Algeria",18.0905858970411,6162.71983982498
"Angola",166.795058383764,5488.45774780583
"Argentina",6.30683697689669,13457.9487462775
"Armenia",9.87135396764743,5346.9806575419
"Australia",2.2673022096843,34444.3330639544
"Austria",1.93778012127603,36700.3072450903
"Azerbaijan",18.4659948102106,8330.51262498759
"Bahamas",7.79312787814382,22560.0774446243
"Bahrain",6.36805953062393,31538.9359959238
"Bangladesh",20.1347643897536,1470.33214791842
"Barbados",4.19727177334732,16959.9006892376
"Belarus",6.41711229946524,11533.7399896272
"Belgium",2.48007532703366,33506.6017580775
"Belize",11.0289172831204,7297.02262590738
"Benin",82.2726288499915,1447.6369264305
"Bhutan",45.8429404584294,4579.65710375918
"Bolivia",29.1606097737322,3956.39668706737
"Bosnia and Herzegovina",6.60613468366218,7739.97652360728
"Botswana",14.952241777326,13240.0610624653
"Brazil",10.7937164357063,9681.54835486593
"Brunei",3.21543408360129,46525.232469598
"Bulgaria",6.36942675159236,11426.8799052783
"Burkina Faso",126.769591058675,1220.95336872295
"Burundi",119.358883812105,457.404497558135
"Cambodia",58.3697758095765,1797.20037839448
"Cameroon",95.8742671666522,2020.09822964906
"Canada",2.52616077370754,35978.2095484015
"Cape Verde",12.3795280824194,3444.57053913748
"Central African Rep.",121.34872331166,711.440652945228
"Chad",153.562493354119,1656.47627304093
"Chile",4.23136785036164,13653.2996248994
"China",9.02064577429856,6481.59866430443
"Colombia",7.6834384176276,7186.0910111867
"Comoros",64.2017903767251,1026.02534523246
"Congo, Dem. Rep.",135.422798862811,359.658528305841
"Congo, Rep.",89.840376187582,3668.40677919881
"Costa Rica",3.72501193064319,9831.54755185184
"Cote d'Ivoire",69.1246346295039,1509.22750818159
"Croatia",2.08679155797961,14918.4507352992
"Cuba",3.11468155359635,9259.94522002074
"Cyprus",2.11672210462655,25900.624193734
"Czech Rep.",1.9249807501925,23294.8763238796
"Denmark",1.7808724670699,34629.1011975181
"Djibouti",57.0672400959391,2105.68582245068
"Dominican Rep.",14.2297638483705,6195.69108185505
"Ecuador",13.6448285316498,7091.73586355785
"Egypt",8.74950684462442,5762.2594433321
"El Salvador",10.6083515635053,5827.17660993382
