"Country","Infections","GDP_per_Person"
"Senegal",12.240974514274,1723.33796731707
"Serbia",0.75971253176384,9877.97205855904
"Sierra Leone",22.5564920487693,861.047791368196
"Singapore",0.21514051364798,44103.9681300732
"Slovak Republic",0.60053502211061,20044.241683273
"Slovenia",0.30811893390849,26755.7402528574
"Solomon Islands",4.04884318766067,1892.28908676618
"Somalia",17.5467884849359,942.286156914339
"South Africa",2.94406820195593,9385.98429139242
"Spain",0.48648725668004,28204.1788697614
"Sri Lanka",1.49392170865243,4142.53174537974
"Sudan",8.44624182363512,2535.41404842076
"Suriname",3.17167996726008,8075.17601107188
"Swaziland",4.79452054794521,5121.00236505638
"Sweden",0.19572572302014,33563.3383888872
"Switzerland",0.34451395970565,38181.484831268
"Syria",1.91285578016221,4373.58162307192
"Tajikistan",9.88409780382192,1650.42895299145
"Tanzania",8.45502330677954,1149.13887173643
"Thailand",0.80976799276839,7652.23167390354
"Togo",6.55696095435509,897.758461395814
"Tonga",2.44669695910521,4752.19906970046
"Trinidad and Tobago",0.65712985896982,18620.5047789313
"Tunisia",1.9194092620666,7361.40337456853
"Turkey",1.4153347214691,8456.75389653093
"Turkmenistan",7.21985777151274,5726.43628207836
"Uganda",10.8444610622168,1150.60180988239
"Ukraine",1.07904965154326,6730.01074147509
"United Arab Emirates",0.41556116740722,35246.6937703782
"United Kingdom",0.62988480375993,32623.5160500435
"United States",0.86180557702555,42226.580034574
"Uruguay",1.60854714433235,10920.6417529365
"Uzbekistan",4.5780528184033,2428.749951047
"Vanuatu",3.25502405887348,3945.41216428879
"Venezuela",1.11273547470866,11862.3220001628
"Vietnam",0.94259729739681,2577.73250955309
"Yemen, Rep.",3.70636158246861,2295.80616983779
"Zambia",16.7622790653089,1302.85927025632
"Zimbabwe",5.64739896636448,408.134473316796
