"Country","Infections","GDP_per_Person"
"Afghanistan",38.4803054082581,984.805841434435
"Albania",2.14867064568638,6365.53035936449
"Algeria",4.26196008174006,6162.71983982498
"Angola",33.1315256813593,5488.45774780583
"Argentina",1.30576334925397,13457.9487462775
"Armenia",1.74075489321955,5346.9806575419
"Australia",0.4714192713205,34444.3330639544
"Austria",0.3822831531769,36700.3072450903
"Azerbaijan",3.85613421036751,8330.51262498759
"Bahamas",1.77116542685087,22560.0774446243
"Bahrain",1.28792215226102,31538.9359959238
"Bangladesh",3.88565117022949,1470.33214791842
"Barbados",1.74886323889472,16959.9006892376
"Belarus",0.76839208763823,11533.7399896272
"Belgium",0.49601506540673,33506.6017580775
"Belize",2.15198386012105,7297.02262590738
"Benin",11.2829696214236,1447.6369264305
"Bhutan",9.2228400922284,4579.65710375918
"Bolivia",5.87169788344889,3956.39668706737
"Bosnia and Herzegovina",1.33868808567604,7739.97652360728
"Botswana",2.5414575258911,13240.0610624653
"Brazil",4.04430213001415,9681.54835486593
"Brunei",0.51446945337621,46525.232469598
"Bulgaria",1.19684692740504,11426.8799052783
"Burkina Faso",23.7975659972142,1220.95336872295
"Burundi",22.895977168884,457.404497558135
"Cambodia",15.3362856352062,1797.20037839448
"Cameroon",14.978268802349,2020.09822964906
"Canada",0.74765296441568,35978.2095484015
"Cape Verde",1.91093386507145,3444.57053913748
"Central African Rep.",17.0831357622131,711.440652945228
"Chad",18.8512305664398,1656.47627304093
"Chile",0.76427340288752,13653.2996248994
"China",0.76294265908264,6481.59866430443
"Colombia",1.62117610937332,7186.0910111867
"Comoros",13.7541961954495,1026.02534523246
"Congo, Dem. Rep.",20.0224180675071,359.658528305841
"Congo, Rep.",12.5715748056684,3668.40677919881
"Costa Rica",0.49048199798505,9831.54755185184
"Cote d'Ivoire",8.62343635280591,1509.22750818159
"Croatia",0.3557031064738,14918.4507352992
"Cuba",0.42550294448038,9259.94522002074
"Cyprus",0.30238887208951,25900.624193734
"Czech Rep.",0.40332930004033,23294.8763238796
"Denmark",0.30483402589485,34629.1011975181
"Djibouti",11.7856256719874,2105.68582245068
"Dominican Rep.",3.47491725325411,6195.69108185505
"Ecuador",3.43613244599219,7091.73586355785
"Egypt",1.72747055335135,5762.2594433321
"El Salvador",2.51737228155964,5827.17660993382
"Equatorial Guinea",5.46600702202362,15059.5907096556
"Eritrea",8.72865900551515,562.014933000928
"Estonia",0.37655328228944,18983.7765250644
"Ethiopia",9.68352036313201,765.941212073413
"Fiji",2.14968603269786,4185.99726160958
"Finland",0.16946280291476,33162.4027330664
"France",0.45494573907399,30459.7213215217
"Gabon",2.12416234669364,12453.3906250536
"Gambia",11.0809218279429,739.335423557237
"Georgia",2.54916241806264,4345.65577490643
"Germany",0.44601157527684,33157.2439621593
"Ghana",4.44141887470837,1391.187032899
"Greece",0.084356547005343,27256.4673706908
"Grenada",0.49701789264414,9298.8476250119
"Guatemala",3.89031992966054,5261.71061883662
"Guinea",9.3403132817062,970.901874681017
"Guinea-Bissau",19.4204638136128,582.437533438509
"Guyana",6.82719130817795,3669.78460650045
"Haiti",3.92409511538011,1191.83611868498
"Honduras",3.24000337396982,3620.99921333898
"Hungary",0.61867380677093,17922.2716764316
"Iceland",0.43261951113995,37921.9535050198
"India",3.12267281173798,2605.77092476447
"Indonesia",5.35865192887297,3686.60305387481
"Iran",2.91784910778242,11679.1893016507
"Iraq",1.99669512530983,3496.68419227387
"Ireland",0.26048827079203,38163.91179621
"Israel",0.39316043805221,26036.3923440958
"Italy",0.4084997252244,27950.9520435783
"Jamaica",5.22900763358779,7274.02173559466
"Japan",0.29403514880693,31079.6707954382
"Jordan",1.54862885802961,5037.16615728507
"Kazakhstan",3.03352987188841,10477.1827452162
"Kenya",17.0888706248813,1436.09866877488
"Korea, Dem. Rep.",5.50155877498625,1584.55230565388
"Korea, Rep.",0.72398791139451,23735.7702933565
"Kuwait",1.22024443626644,45620.5963949171
"Kyrgyzstan",4.9891486017911,2018.20054907352
"Laos",10.465129974912,2185.00672943914
"Latvia",0.77824376324095,15987.0100149469
"Lebanon",0.97062347392208,12016.9832476878
"Lesotho",5.84696783325189,1625.46860323032
"Liberia",13.1192629009523,437.713601161059
"Libya",1.51265313909595,11787.4844297538
"Lithuania",0.35014005602241,17445.1557543887
"Luxembourg",0.55025678650037,73998.7104751099
"Macedonia, FYR",1.39369689340467,8601.9909002895
"Madagascar",13.6969358326276,1089.08820974261
"Malawi",9.03867034160194,769.4260960504
"Malaysia",0.5121378486215,12969.6741467774
"Maldives",2.79475982532751,5654.0258050368
"Mali",18.1192956577856,1078.48845139799
"Malta",1.08695652173913,22214.5263028362
"Mauritania",10.8556714399511,1822.58284007474
"Mauritius",1.65819146584126,11617.6084152851
"Mexico",1.76068025616995,11870.9570323346
"Micronesia, Fed. Sts.",4.30416068866571,5330.06601704576
"Moldova",0.35610157797512,2769.37034345943
"Mongolia",7.59498771102784,3300.27451367588
"Montenegro",0.65936964262165,9809.7045983702
"Morocco",2.80763739247058,4011.37704345564
"Mozambique",10.7724024784968,872.109691194885
"Myanmar",9.58907602417177,1445.05661058846
"Namibia",1.95774671864626,5025.94060935855
"Nepal",2.8876653096143,1138.86976511345
"Netherlands",0.29177518181916,37692.2980578829
"New Zealand",0.34328281354594,25160.5345750121
"Nicaragua",3.32928484675288,2904.07317946706
"Niger",18.1950877690052,643.805349299792
"Nigeria",16.2253502995149,2100.10575071392
"Norway",0.46496409443937,48321.9058439174
"Oman",0.8310384721928,24358.5450044704
