"Country","Meningitis","GDP_per_Person"
"Afghanistan",5.95697451594163,984.805841434435
"Albania",0.15192620727075,6365.53035936449
"Algeria",0.44369173921563,6162.71983982498
"Angola",3.47045396381422,5488.45774780583
"Argentina",0.12042039776453,13457.9487462775
"Armenia",1.37986668364964,5346.9806575419
"Australia",0.044897073459095,34444.3330639544
"Austria",0.092275243870287,36700.3072450903
"Azerbaijan",1.03795787822099,8330.51262498759
"Bahamas",0.17711654268509,22560.0774446243
"Bahrain",0,31538.9359959238
"Bangladesh",1.14067742592959,1470.33214791842
"Barbados",0,16959.9006892376
"Belarus",0.2595919214994,11533.7399896272
"Belgium",0.16814070013788,33506.6017580775
"Belize",0.13449899125757,7297.02262590738
"Benin",2.94656390269024,1447.6369264305
"Bhutan",2.9838600298386,4579.65710375918
"Bolivia",1.36613061578623,3956.39668706737
"Bosnia and Herzegovina",0.087305744718002,7739.97652360728
"Botswana",2.94385496749052,13240.0610624653
"Brazil",0.29888606965463,9681.54835486593
"Brunei",0.12861736334405,46525.232469598
"Bulgaria",0.17883919604903,11426.8799052783
"Burkina Faso",1.95203027797355,1220.95336872295
"Burundi",3.69348073624584,457.404497558135
"Cambodia",3.19125380570163,1797.20037839448
"Cameroon",3.41480106831448,2020.09822964906
"Canada",0.042480282069073,35978.2095484015
"Cape Verde",1.08009305417082,3444.57053913748
"Central African Rep.",3.13082564159191,711.440652945228
"Chad",3.07365743165024,1656.47627304093
"Chile",0.099514766000979,13653.2996248994
"China",0.41045046704388,6481.59866430443
"Colombia",0.2874348508224,7186.0910111867
"Comoros",4.14957105557628,1026.02534523246
"Congo, Dem. Rep.",3.67697886222244,359.658528305841
"Congo, Rep.",2.44713860721026,3668.40677919881
"Costa Rica",0.06628135107906,9831.54755185184
"Cote d'Ivoire",2.66252926427196,1509.22750818159
"Croatia",0.023713540431586,14918.4507352992
"Cuba",0.085100588896075,9259.94522002074
"Cyprus",0,25900.624193734
"Czech Rep.",0.073332600007333,23294.8763238796
"Denmark",0.016043896099729,34629.1011975181
"Djibouti",1.44735753866512,2105.68582245068
"Dominican Rep.",0.34347705840894,6195.69108185505
"Ecuador",0.54835688775419,7091.73586355785
"Egypt",0.9146016173015,5762.2594433321
"El Salvador",0.804272294428,5827.17660993382
"Equatorial Guinea",2.43376954995212,15059.5907096556
"Eritrea",1.04370371997978,562.014933000928
"Estonia",0.062758880381574,18983.7765250644
"Ethiopia",2.19747889650802,765.941212073413
"Fiji",0.11314137014199,4185.99726160958
"Finland",0.033892560582952,33162.4027330664
"France",0.046558774466636,30459.7213215217
"Gabon",1.84599822986471,12453.3906250536
"Gambia",1.0966348042425,739.335423557237
"Georgia",0.49833250277916,4345.65577490643
"Germany",0.070580956356941,33157.2439621593
"Ghana",0.78517940820737,1391.187032899
"Greece",0.018745899334521,27256.4673706908
"Grenada",0,9298.8476250119
"Guatemala",1.10899523264599,5261.71061883662
"Guinea",2.59070660502689,970.901874681017
"Guinea-Bissau",5.46296723758521,582.437533438509
"Guyana",0.80751725150492,3669.78460650045
"Haiti",1.79366287923158,1191.83611868498
"Honduras",0.69960256620175,3620.99921333898
"Hungary",0.13184851619708,17922.2716764316
"Iceland",0.21630975556998,37921.9535050198
"India",1.11006485305417,2605.77092476447
"Indonesia",0.71829444526862,3686.60305387481
"Iran",0.32356489241647,11679.1893016507
"Iraq",1.03065483126073,3496.68419227387
"Ireland",0.14471570599557,38163.91179621
"Israel",0.050038601206645,26036.3923440958
"Italy",0.036636746656897,27950.9520435783
"Jamaica",0.47709923664122,7274.02173559466
"Japan",0.012573871495033,31079.6707954382
"Jordan",0.28678312185733,5037.16615728507
"Kazakhstan",0.66717937594079,10477.1827452162
"Kenya",2.43908592035329,1436.09866877488
"Korea, Dem. Rep.",1.93777125741182,1584.55230565388
"Korea, Rep.",0.026568363720899,23735.7702933565
"Kuwait",0,45620.5963949171
"Kyrgyzstan",1.3470701224836,2018.20054907352
"Laos",2.56769649356309,2185.00672943914
"Latvia",0.043235764624497,15987.0100149469
"Lebanon",0.37914979450081,12016.9832476878
"Lesotho",2.10625642408209,1625.46860323032
"Liberia",2.38594561144154,437.713601161059
"Libya",0.068137528788106,11787.4844297538
"Lithuania",0.12732365673542,17445.1557543887
"Luxembourg",0,73998.7104751099
"Macedonia, FYR",0,8601.9909002895
"Madagascar",2.91603733226237,1089.08820974261
"Malawi",2.65597594587823,769.4260960504
"Malaysia",0.023609191603119,12969.6741467774
"Maldives",0.69868995633188,5654.0258050368
"Mali",1.9581451092468,1078.48845139799
"Malta",0.27173913043478,22214.5263028362
"Mauritania",2.53793001241177,1822.58284007474
"Mauritius",0.2210921954455,11617.6084152851
"Mexico",0.062968603561387,11870.9570323346
"Micronesia, Fed. Sts.",1.79340028694405,5330.06601704576
"Moldova",0.28933253210478,2769.37034345943
"Mongolia",1.49079334380918,3300.27451367588
"Montenegro",0,9809.7045983702
"Morocco",0.49346354170695,4011.37704345564
"Mozambique",2.95493776946694,872.109691194885
"Myanmar",1.93291765633489,1445.05661058846
"Namibia",0.85119422549837,5025.94060935855
"Nepal",1.07279567820503,1138.86976511345
"Netherlands",0.07024217340091,37692.2980578829
"New Zealand",0.12014898474108,25160.5345750121
"Nicaragua",0.73587197256555,2904.07317946706
"Niger",3.58589320994994,643.805349299792
"Nigeria",2.92588828007305,2100.10575071392
"Norway",0.068883569546574,48321.9058439174
"Oman",0.065179488015122,24358.5450044704
"Pakistan",1.16508907460111,2660.74984002263
"Panama",0.27087521206678,10674.4244869141
