"Country","Diarrhoea","Water_per_Person"
"Swaziland",6.76369863013699,3978.426
"Sweden",0.027960817574306,19166.84
"Switzerland",0,7176.58
"Syria",0.76073715260658,865.4875
"Tajikistan",11.6628205460627,2406.685
"Tanzania",10.830581701313,2439.765
"Thailand",0.27231136039999,6461.5144
"Togo",10.4488345530691,2293.13
"Trinidad and Tobago",0,2890.625
"Tunisia",1.02083231453861,449.8189
"Turkey",0.28855618797247,2889.0272
"Turkmenistan",6.00901804512637,5045.458
"Uganda",20.2485888349948,2207.46
"Ukraine",0.098095422867569,2997.373
"United Arab Emirates",0.063932487293418,35.306
"United Kingdom",0.005383630801367,2429.26
"United States",0.007274539294333,10074.58
"Uruguay",0.31773770752244,41726.76
"Uzbekistan",4.50575826146049,1868.385
"Venezuela",1.27145900338332,45351.788
"Vietnam",0.31531486297862,10338.159
"Yemen, Rep.",13.0745303797513,96.63
"Zambia",20.0362049005656,8994.4
"Zimbabwe",8.36122172329069,1511.92
